t_s,mx,my,mz,yaw_deg
0.001086,1722,-2117,650,139.977
0.001385,1723,-2119,649,139.971
0.006501,1724,-2120,650,139.971
0.010970,1724,-2118,649,139.971
0.016577,1724,-2115,649,139.971
0.021046,1724,-2111,650,139.971
0.026809,1724,-2109,649,139.971
0.031228,1722,-2107,647,139.971
0.035638,1721,-2106,645,139.971
0.041416,1719,-2105,645,139.966
0.045793,1718,-2103,645,139.966
0.051391,1716,-2100,645,139.966
0.055881,1716,-2097,643,139.966
0.061545,1715,-2094,641,139.966
0.066151,1714,-2094,640,139.966
0.071673,1712,-2095,639,139.960
0.077680,1711,-2098,641,139.960
0.085400,1709,-2101,645,139.960
0.087627,1708,-2101,646,139.960
0.090723,1707,-2100,646,139.960
0.097200,1707,-2099,648,139.960
0.102601,1706,-2097,650,139.960
0.106918,1705,-2096,649,139.960
0.110951,1706,-2096,651,139.966
0.115317,1708,-2097,649,139.966
0.121089,1708,-2098,647,139.966
0.125620,1710,-2100,646,139.966
0.131211,1712,-2100,644,139.966
0.135716,1712,-2101,643,139.966
0.141381,1712,-2102,645,139.971
0.145978,1713,-2102,645,139.966
0.151714,1713,-2102,647,139.971
0.156194,1712,-2104,649,139.971
0.160553,1712,-2105,649,139.971
0.166331,1712,-2106,653,139.971
0.170733,1712,-2106,655,139.977
0.176466,1713,-2106,657,139.977
0.180897,1714,-2106,658,139.977
0.186568,1714,-2107,657,139.977
0.191062,1714,-2108,658,139.982
0.195455,1712,-2110,657,139.982
0.201105,1709,-2111,657,139.982
0.205521,1706,-2112,653,139.982
0.211222,1706,-2113,650,139.982
0.215827,1707,-2114,646,139.982
0.221412,1708,-2115,643,139.982
0.225795,1709,-2114,641,139.982
0.231498,1709,-2113,641,139.982
0.236016,1708,-2113,642,139.982
0.240398,1706,-2113,644,139.982
0.246099,1704,-2114,644,139.982
0.250496,1701,-2114,644,139.988
0.256168,1700,-2115,644,139.988
0.260606,1699,-2114,642,139.988
0.266303,1699,-2112,638,139.988
0.270783,1702,-2110,635,139.988
0.275243,1704,-2108,635,139.993
0.280924,1707,-2107,634,139.993
0.285436,1711,-2108,632,139.993
0.291019,1713,-2110,630,139.999
0.295494,1716,-2112,628,139.999
0.301109,1718,-2113,623,139.999
0.305606,1720,-2115,618,139.999
0.311324,1722,-2117,618,139.993
0.315736,1723,-2118,617,139.993
0.320156,1722,-2120,618,139.988
0.325839,1722,-2121,620,139.988
0.330311,1720,-2120,620,139.982
0.336044,1720,-2119,621,139.982
0.340438,1720,-2118,622,139.982
0.346123,1721,-2117,622,139.982
0.350617,1722,-2118,623,139.982
0.354965,1721,-2117,623,139.982
0.360720,1720,-2116,624,139.988
0.365029,1720,-2115,621,139.988
0.370799,1717,-2113,620,139.988
0.375178,1714,-2113,619,139.993
0.380971,1713,-2112,618,139.993
0.385428,1714,-2112,619,139.993
0.391261,1716,-2111,619,139.993
0.395573,1717,-2109,619,139.988
0.399929,1718,-2106,620,139.988
0.405675,1719,-2104,623,139.988
0.410160,1719,-2103,625,139.988
0.415748,1719,-2103,629,139.988
0.420219,1718,-2104,628,139.988
0.425964,1716,-2103,629,139.988
0.430284,1713,-2102,629,139.988
0.434777,1711,-2100,628,139.988
0.440495,1711,-2098,629,139.988
0.445081,1711,-2098,630,139.988
0.450599,1710,-2100,633,139.993
0.455071,1711,-2103,635,139.993
0.460744,1711,-2104,635,139.993
0.465201,1712,-2106,633,139.993
0.470745,1714,-2109,628,139.993
0.475373,1715,-2111,623,139.993
0.479716,1717,-2113,619,139.993
0.485424,1717,-2115,615,139.993
0.489897,1716,-2114,615,139.993
0.495577,1716,-2114,616,139.993
0.500029,1715,-2114,616,139.993
0.505688,1715,-2115,618,139.993
0.510121,1715,-2116,617,139.993
0.514553,1715,-2116,614,139.993
0.520295,1714,-2116,613,139.993
0.524563,1712,-2116,616,139.993
0.530332,1711,-2116,617,139.993
0.534868,1712,-2118,620,139.993
0.540496,1714,-2119,621,139.993
0.544978,1717,-2120,621,139.993
0.550731,1720,-2119,622,139.993
0.555293,1723,-2118,624,139.993
0.559502,1724,-2116,625,139.993
0.565270,1724,-2114,626,139.993
0.569686,1723,-2112,627,139.993
0.575350,1721,-2111,626,139.993
0.579775,1720,-2110,627,139.993
0.585496,1720,-2110,630,139.993
0.589887,1719,-2110,631,139.993
0.594504,1719,-2112,630,139.999
0.600100,1721,-2112,630,139.993
0.604553,1723,-2111,631,139.993
