t_s,mx,my,mz,yaw_deg
0.000676,7194,-181,5262,65.435
0.004555,7205,-180,5256,65.330
0.009022,7215,-179,5253,65.231
0.013528,7226,-179,5249,65.132
0.019229,7235,-180,5247,65.039
0.023527,7245,-181,5248,64.946
0.029293,7254,-184,5248,64.852
0.033652,7262,-186,5248,64.764
0.039379,7271,-187,5245,64.677
0.043769,7280,-185,5241,64.589
0.048169,7288,-183,5237,64.495
0.053971,7296,-180,5235,64.402
0.058360,7304,-176,5232,64.308
0.064061,7312,-173,5235,64.210
0.068512,7319,-170,5238,64.105
0.074216,7327,-168,5241,64.001
0.078884,7334,-165,5243,63.891
0.084635,7342,-161,5242,63.781
0.089044,7350,-157,5240,63.671
0.093467,7358,-153,5238,63.556
0.099208,7366,-148,5236,63.441
0.103649,7375,-144,5232,63.325
0.109308,7385,-140,5230,63.204
0.113795,7395,-138,5227,63.083
0.119176,7406,-135,5225,62.957
0.123576,7414,-130,5223,62.831
0.128004,7423,-125,5224,62.699
0.133767,7431,-118,5224,62.562
0.138184,7437,-111,5223,62.419
0.143830,7443,-105,5224,62.271
0.148316,7450,-99,5223,62.122
0.154288,7460,-95,5225,61.963
0.158689,7471,-92,5227,61.798
0.164405,7482,-89,5227,61.633
0.168820,7493,-88,5228,61.469
0.173229,7503,-85,5226,61.298
0.178976,7511,-83,5224,61.128
0.183392,7520,-80,5221,60.963
0.189064,7530,-76,5220,60.793
0.193555,7540,-72,5216,60.628
0.199213,7549,-68,5215,60.469
0.203641,7559,-63,5212,60.320
0.208088,7570,-58,5209,60.172
0.213819,7579,-53,5208,60.035
0.218207,7590,-48,5204,59.903
0.223890,7603,-42,5203,59.782
0.228404,7614,-37,5203,59.661
0.234030,7626,-31,5204,59.546
0.238474,7640,-25,5206,59.436
0.244179,7654,-18,5207,59.321
0.248639,7667,-11,5207,59.211
0.253028,7681,-3,5205,59.095
0.258775,7694,4,5204,58.980
0.263156,7708,12,5197,58.859
0.268838,7721,21,5193,58.733
0.273257,7735,31,5190,58.601
0.278979,7748,40,5189,58.464
0.283410,7759,49,5189,58.321
0.287836,7771,58,5193,58.167
0.293566,7785,65,5198,58.013
0.297998,7798,75,5200,57.859
0.303669,7814,83,5200,57.700
0.308109,7830,91,5195,57.535
0.313820,7844,99,5186,57.371
0.318262,7855,107,5177,57.206
0.323952,7868,114,5170,57.036
0.328423,7878,123,5162,56.871
0.332811,7888,132,5158,56.706
0.338562,7900,141,5157,56.536
0.342977,7908,149,5153,56.371
0.348634,7916,156,5154,56.201
0.353070,7924,162,5153,56.030
0.358809,7931,166,5152,55.860
0.363204,7939,172,5150,55.690
0.367607,7949,177,5148,55.514
0.373343,7958,183,5148,55.338
0.377794,7967,192,5151,55.162
0.383417,7977,202,5154,54.981
0.387875,7985,213,5159,54.800
0.393565,7992,223,5162,54.619
0.397987,8001,234,5168,54.437
0.403705,8008,245,5176,54.256
0.408150,8015,258,5182,54.075
0.412557,8022,271,5188,53.899
0.418281,8027,284,5192,53.718
0.422744,8032,298,5198,53.542
0.428401,8038,313,5205,53.366
0.432863,8044,327,5214,53.185
0.438574,8050,343,5221,53.015
0.443135,8056,359,5221,52.839
0.447387,8061,373,5221,52.663
0.453135,8067,387,5220,52.493
0.457511,8074,401,5218,52.317
0.463196,8083,415,5219,52.147
0.467650,8093,430,5220,51.971
0.473335,8101,444,5223,51.795
0.477772,8108,458,5224,51.619
0.483504,8113,473,5227,51.443
0.487935,8118,487,5231,51.273
0.492397,8123,503,5234,51.097
0.498057,8130,518,5239,50.927
0.502458,8136,531,5241,50.751
0.508157,8142,544,5242,50.587
0.512603,8148,557,5239,50.416
0.518308,8153,571,5237,50.257
0.522775,8159,585,5237,50.098
0.527166,8165,599,5241,49.938
0.532865,8172,615,5249,49.790
0.537320,8179,631,5256,49.636
0.542989,8187,646,5260,49.488
0.547461,8192,663,5259,49.340
0.553088,8198,681,5256,49.197
0.557546,8202,698,5253,49.048
0.563308,8206,715,5253,48.900
0.567474,8209,731,5256,48.752
0.572091,8215,746,5262,48.604
0.577834,8222,760,5267,48.455
0.582239,8229,775,5270,48.307
0.587919,8237,789,5271,48.159
0.592374,8246,805,5271,48.005
0.598086,8255,820,5269,47.856
0.602510,8263,836,5271,47.703
0.606899,8272,850,5273,47.549
0.612643,8279,865,5277,47.395
0.617072,8285,879,5281,47.241
0.622742,8291,892,5284,47.087
0.627237,8296,907,5285,46.939
0.632925,8302,921,5287,46.785
0.637356,8307,934,5285,46.637
0.643092,8312,946,5287,46.494
0.647494,8317,958,5290,46.351
0.651584,8321,970,5293,46.208
