# note=Lokacija: kalenic
# started_utc=2025-10-30T15:10:52Z
t_s,mx,my,mz,yaw_deg
0.000495,4599,1463,-9088,82.123
0.003152,4599,1461,-9086,82.123
0.007503,4597,1459,-9086,82.123
0.013381,4594,1460,-9086,82.123
0.017715,4593,1461,-9089,82.123
0.023366,4592,1463,-9093,82.123
0.027785,4590,1464,-9096,82.123
0.033509,4590,1464,-9098,82.123
0.038169,4589,1463,-9097,82.123
0.043932,4589,1461,-9095,82.123
0.048083,4589,1460,-9092,82.123
0.052762,4590,1459,-9090,82.123
0.058259,4592,1457,-9089,82.123
0.062622,4592,1457,-9089,82.123
0.068611,4593,1456,-9089,82.123
0.073036,4594,1455,-9089,82.123
0.078823,4595,1455,-9089,82.123
0.083185,4596,1455,-9088,82.123
0.087550,4598,1455,-9089,82.123
0.093314,4601,1456,-9088,82.123
0.097492,4602,1455,-9085,82.123
0.103402,4603,1456,-9081,82.123
0.107879,4602,1457,-9074,82.123
0.113558,4600,1458,-9069,82.123
0.117995,4598,1459,-9065,82.123
0.123684,4597,1460,-9065,82.123
0.128181,4596,1459,-9067,82.123
0.132539,4595,1458,-9069,82.123
0.138271,4593,1456,-9070,82.123
0.142794,4592,1456,-9068,82.123
0.148410,4590,1457,-9067,82.123
0.152806,4587,1460,-9068,82.123
0.158505,4585,1463,-9070,82.123
0.162999,4584,1465,-9071,82.123
0.167371,4584,1465,-9073,82.123
0.173032,4587,1464,-9077,82.123
0.177504,4590,1462,-9079,82.123
0.183197,4591,1460,-9081,82.123
0.187627,4592,1459,-9082,82.123
0.193348,4590,1460,-9081,82.123
0.197737,4590,1461,-9080,82.123
0.203471,4591,1464,-9079,82.123
0.207905,4593,1465,-9081,82.123
0.212391,4594,1467,-9085,82.123
0.218009,4595,1468,-9089,82.123
0.222482,4593,1470,-9093,82.123
0.228151,4590,1472,-9090,82.123
0.232579,4588,1474,-9088,82.123
0.238326,4585,1475,-9085,82.123
0.242761,4583,1475,-9080,82.123
0.247220,4582,1474,-9078,82.123
0.252882,4583,1472,-9078,82.123
0.257318,4583,1472,-9079,82.123
0.263011,4583,1473,-9082,82.123
0.267446,4582,1473,-9084,82.123
0.273141,4582,1473,-9087,82.123
0.277568,4581,1471,-9090,82.123
0.283265,4581,1470,-9089,82.123
0.287690,4581,1467,-9091,82.123
0.292108,4582,1465,-9091,82.123
0.297833,4582,1463,-9089,82.123
0.302269,4581,1461,-9089,82.123
0.307932,4581,1460,-9086,82.123
0.312528,4580,1459,-9080,82.123
0.318116,4580,1459,-9077,82.123
0.322512,4580,1461,-9077,82.123
0.326912,4580,1461,-9077,82.123
0.332678,4580,1462,-9076,82.123
0.337105,4581,1461,-9075,82.123
0.342763,4583,1460,-9072,82.123
0.347222,4586,1460,-9069,82.123
0.352923,4589,1460,-9070,82.123
0.357353,4590,1461,-9074,82.123
0.363051,4590,1463,-9079,82.123
0.367493,4588,1461,-9081,82.123
0.371948,4588,1460,-9081,82.123
0.377652,4589,1459,-9080,82.123
0.382027,4589,1457,-9078,82.123
0.387720,4589,1456,-9075,82.123
0.391971,4589,1457,-9076,82.123
0.397855,4590,1458,-9076,82.123
0.402288,4591,1458,-9073,82.123
0.406473,4593,1460,-9069,82.123
0.412467,4594,1461,-9066,82.123
0.416619,4595,1462,-9062,82.123
0.422548,4596,1463,-9061,82.123
