t_s,mx,my,mz,yaw_deg
0.000618,4700,-2338,-10745,146.036
0.003921,4699,-2337,-10744,146.036
0.009641,4699,-2336,-10743,146.036
0.014085,4700,-2336,-10742,146.036
0.019816,4703,-2336,-10741,146.036
0.024229,4706,-2336,-10744,146.036
0.028639,4710,-2337,-10746,146.036
0.034364,4712,-2338,-10748,146.036
0.038814,4712,-2338,-10750,146.036
0.044448,4712,-2338,-10750,146.036
0.048955,4712,-2338,-10746,146.036
0.054625,4712,-2338,-10743,146.036
0.059022,4711,-2338,-10741,146.036
0.064800,4712,-2338,-10743,146.036
0.070758,4713,-2337,-10745,146.036
0.076848,4714,-2334,-10746,146.036
0.079405,4715,-2332,-10749,146.036
0.083833,4715,-2330,-10751,146.036
0.089678,4714,-2330,-10755,146.036
0.094949,4713,-2333,-10756,146.036
0.099585,4714,-2336,-10755,146.036
0.104050,4714,-2339,-10755,146.036
0.108530,4715,-2343,-10753,146.036
0.114182,4715,-2346,-10754,146.036
0.118756,4714,-2347,-10753,146.036
0.124299,4712,-2349,-10753,146.036
0.129054,4711,-2350,-10753,146.036
0.134674,4709,-2349,-10756,146.036
0.139164,4709,-2349,-10762,146.036
0.144860,4710,-2350,-10764,146.036
0.149294,4711,-2350,-10766,146.036
0.153668,4710,-2347,-10764,146.036
0.159449,4709,-2346,-10762,146.036
0.163821,4707,-2344,-10761,146.036
0.169462,4706,-2343,-10758,146.036
0.173963,4706,-2341,-10756,146.036
0.179653,4705,-2341,-10755,146.036
0.184068,4705,-2341,-10752,146.036
0.188500,4704,-2341,-10751,146.036
0.194276,4703,-2341,-10749,146.036
0.198730,4702,-2342,-10744,146.036
0.204376,4701,-2342,-10742,146.036
0.208836,4700,-2341,-10739,146.036
0.214498,4699,-2341,-10737,146.036
0.218928,4697,-2340,-10739,146.036
0.224687,4698,-2340,-10742,146.036
0.229108,4698,-2340,-10744,146.036
0.233490,4701,-2339,-10749,146.036
0.239249,4702,-2336,-10754,146.036
0.243575,4703,-2334,-10757,146.036
0.249317,4702,-2331,-10758,146.036
0.253778,4700,-2330,-10760,146.036
0.259451,4700,-2329,-10760,146.036
0.263906,4700,-2331,-10759,146.036
0.268323,4701,-2333,-10758,146.036
0.274021,4701,-2333,-10757,146.036
0.278444,4701,-2335,-10754,146.036
0.284096,4700,-2335,-10755,146.036
0.288591,4699,-2334,-10758,146.036
0.294325,4698,-2336,-10759,146.036
0.298737,4697,-2338,-10761,146.036
0.304473,4698,-2340,-10762,146.036
0.308860,4698,-2342,-10761,146.036
0.313301,4700,-2345,-10758,146.036
0.319067,4703,-2346,-10760,146.036
0.323415,4705,-2346,-10760,146.036
0.329124,4707,-2347,-10761,146.036
0.333563,4709,-2349,-10761,146.036
0.339282,4710,-2350,-10759,146.036
0.343688,4710,-2350,-10759,146.036
0.348112,4711,-2352,-10758,146.036
0.353803,4711,-2352,-10758,146.036
0.358273,4711,-2351,-10760,146.036
0.363977,4712,-2351,-10759,146.036
0.368380,4712,-2350,-10761,146.036
0.374122,4712,-2350,-10766,146.036
0.378499,4710,-2349,-10766,146.036
0.384229,4706,-2347,-10769,146.036
0.388695,4699,-2346,-10769,146.036
0.393056,4695,-2343,-10766,146.036
0.398851,4692,-2342,-10768,146.036
0.403391,4692,-2343,-10765,146.036
0.408975,4694,-2343,-10764,146.036
0.413357,4694,-2344,-10765,146.036
0.419077,4696,-2344,-10763,146.036
0.423649,4698,-2343,-10761,146.036
0.427891,4700,-2342,-10759,146.036
0.433684,4701,-2339,-10757,146.036
0.438026,4700,-2338,-10755,146.036
0.443745,4699,-2336,-10755,146.036
0.448153,4697,-2337,-10756,146.036
0.453937,4697,-2337,-10757,146.036
0.458309,4696,-2335,-10760,146.036
0.463999,4695,-2336,-10762,146.036
0.468454,4696,-2334,-10762,146.036
0.472918,4697,-2332,-10762,146.036
0.478571,4700,-2332,-10760,146.036
0.483054,4703,-2332,-10758,146.036
0.488669,4705,-2332,-10756,146.036
0.493150,4704,-2332,-10757,146.036
0.498883,4705,-2332,-10758,146.036
0.503318,4705,-2331,-10762,146.036
0.507855,4705,-2331,-10763,146.036
0.513450,4708,-2332,-10762,146.036
0.517856,4710,-2334,-10759,146.036
0.523543,4710,-2335,-10759,146.036
0.528020,4711,-2338,-10758,146.036
0.533686,4709,-2341,-10758,146.036
0.538245,4707,-2342,-10763,146.036
0.543888,4707,-2344,-10765,146.036
0.548297,4708,-2345,-10766,146.036
0.552664,4708,-2345,-10766,146.036
0.558413,4709,-2345,-10766,146.036
0.562809,4710,-2346,-10765,146.036
0.568528,4710,-2348,-10763,146.036
0.572979,4709,-2348,-10762,146.036
0.578694,4710,-2349,-10762,146.036
0.583141,4709,-2348,-10760,146.036
0.587489,4710,-2347,-10760,146.036
0.593262,4711,-2347,-10760,146.036
0.597712,4710,-2348,-10758,146.036
0.603339,4710,-2348,-10755,146.036
0.607814,4709,-2348,-10752,146.036
0.613521,4709,-2349,-10746,146.036
0.617941,4708,-2349,-10742,146.036
0.623638,4707,-2348,-10742,146.036
0.628085,4706,-2348,-10743,146.036
0.632465,4706,-2348,-10746,146.036
0.638223,4707,-2350,-10747,146.036
0.642619,4709,-2351,-10750,146.036
0.648374,4711,-2351,-10750,146.036
0.652735,4713,-2352,-10752,146.036
0.658443,4714,-2350,-10754,146.036
0.662875,4715,-2350,-10755,146.036
0.667325,4715,-2349,-10756,146.036
0.672995,4713,-2347,-10758,146.036
0.677439,4712,-2346,-10758,146.036
0.683160,4710,-2344,-10758,146.036
0.687615,4709,-2342,-10756,146.036
0.693321,4707,-2339,-10753,146.036
0.697701,4706,-2338,-10753,146.036
0.703472,4706,-2337,-10755,146.036
0.707874,4707,-2338,-10756,146.036
0.712259,4708,-2340,-10758,146.036
0.718049,4710,-2342,-10760,146.036
0.722425,4711,-2341,-10759,146.036
0.728128,4711,-2341,-10758,146.036
0.732560,4711,-2342,-10755,146.036
0.738339,4711,-2342,-10751,146.036
0.742684,4709,-2344,-10748,146.036
