# note=Lokacija: Glaveja
# started_utc=2025-11-14T11:33:28Z
t_s,mx,my,mz,yaw_deg
0.000674,-34,-2142,-9686,170.359
0.004763,-33,-2142,-9686,170.359
0.009367,-31,-2143,-9687,170.359
0.013627,-31,-2144,-9690,170.359
0.019396,-32,-2143,-9692,170.359
0.023770,-31,-2142,-9695,170.359
0.034303,-33,-2141,-9697,170.359
0.034720,-33,-2139,-9696,170.359
0.039712,-33,-2139,-9698,170.359
0.044008,-33,-2137,-9700,170.359
0.049728,-32,-2136,-9703,170.359
0.054590,-31,-2135,-9706,170.359
0.058965,-31,-2135,-9707,170.359
0.064877,-31,-2137,-9706,170.359
0.069584,-33,-2139,-9702,170.359
0.074406,-34,-2139,-9695,170.359
0.078842,-35,-2138,-9689,170.359
0.084558,-37,-2137,-9687,170.359
0.089049,-39,-2136,-9685,170.359
0.093426,-40,-2135,-9688,170.359
0.099154,-41,-2134,-9692,170.359
0.103863,-39,-2133,-9696,170.359
0.109460,-40,-2131,-9702,170.359
0.113811,-40,-2130,-9709,170.359
0.119653,-40,-2128,-9715,170.359
0.124032,-39,-2126,-9719,170.359
0.129904,-37,-2126,-9722,170.359
0.134230,-36,-2126,-9723,170.359
0.138529,-35,-2127,-9723,170.359
0.144324,-36,-2130,-9725,170.359
0.148732,-38,-2133,-9724,170.359
0.154441,-41,-2136,-9723,170.359
0.158911,-44,-2137,-9720,170.359
0.164580,-47,-2137,-9717,170.359
0.169020,-49,-2136,-9712,170.359
0.173479,-51,-2138,-9707,170.359
0.179217,-52,-2140,-9702,170.359
0.183564,-52,-2142,-9699,170.359
0.189293,-51,-2143,-9694,170.359
0.193697,-51,-2142,-9691,170.359
0.199401,-51,-2142,-9688,170.359
0.203842,-50,-2142,-9687,170.359
0.209580,-51,-2143,-9686,170.359
0.213986,-51,-2143,-9687,170.359
0.218366,-51,-2141,-9689,170.359
0.224080,-50,-2140,-9691,170.359
0.228574,-50,-2137,-9694,170.359
0.234231,-48,-2136,-9696,170.359
0.238714,-48,-2135,-9695,170.359
0.244372,-48,-2135,-9696,170.359
0.248776,-49,-2135,-9697,170.359
0.253211,-51,-2134,-9697,170.359
0.258902,-53,-2133,-9693,170.359
0.263485,-54,-2132,-9689,170.359
0.269016,-55,-2133,-9686,170.359
0.273573,-54,-2132,-9688,170.359
0.279181,-53,-2133,-9690,170.359
0.283620,-54,-2133,-9692,170.359
0.289323,-56,-2132,-9695,170.359
0.293782,-59,-2131,-9697,170.359
0.298174,-61,-2130,-9696,170.359
0.303885,-64,-2130,-9696,170.359
0.308317,-64,-2130,-9696,170.359
0.313773,-64,-2131,-9693,170.359
0.318443,-63,-2132,-9691,170.359
0.324154,-60,-2133,-9689,170.359
0.328523,-58,-2134,-9688,170.359
0.333022,-58,-2134,-9689,170.359
0.338712,-58,-2135,-9689,170.359
0.343170,-58,-2137,-9691,170.359
0.348782,-56,-2138,-9695,170.359
0.353222,-54,-2139,-9697,170.359
0.358902,-52,-2139,-9697,170.359
0.363392,-49,-2140,-9694,170.359
0.369115,-48,-2140,-9692,170.359
0.373538,-48,-2140,-9691,170.359
0.377989,-46,-2139,-9692,170.359
0.383673,-45,-2139,-9696,170.359
0.387919,-46,-2138,-9699,170.359
0.393795,-45,-2137,-9700,170.359
0.398201,-47,-2137,-9700,170.359
0.403927,-48,-2136,-9699,170.359
0.408353,-47,-2137,-9698,170.359
0.412699,-46,-2139,-9697,170.359
0.418534,-46,-2139,-9696,170.359
0.422858,-46,-2139,-9695,170.359
0.428583,-45,-2140,-9696,170.359
0.433057,-44,-2143,-9697,170.359
0.438678,-43,-2146,-9698,170.359
0.443140,-42,-2149,-9699,170.359
0.448856,-41,-2153,-9699,170.359
0.453290,-41,-2154,-9697,170.359
0.457920,-42,-2154,-9695,170.359
0.463383,-42,-2155,-9692,170.359
0.467805,-43,-2155,-9691,170.359
0.473519,-44,-2156,-9691,170.359
0.477979,-45,-2156,-9691,170.359
0.483681,-47,-2157,-9691,170.359
0.488140,-50,-2158,-9691,170.359
0.492578,-52,-2159,-9689,170.359
0.498236,-54,-2159,-9690,170.359
0.502685,-56,-2158,-9693,170.359
0.508366,-56,-2157,-9699,170.359
0.513019,-55,-2154,-9703,170.359
0.518516,-54,-2152,-9708,170.359
0.522882,-55,-2151,-9708,170.359
0.528636,-58,-2152,-9705,170.359
0.533103,-59,-2152,-9700,170.359
0.537507,-60,-2154,-9696,170.359
0.543161,-60,-2154,-9695,170.359
0.547603,-58,-2155,-9699,170.359
0.553367,-57,-2157,-9702,170.359
0.557706,-57,-2157,-9705,170.359
0.563445,-56,-2159,-9708,170.359
0.567861,-57,-2160,-9708,170.359
0.572305,-56,-2160,-9709,170.359
0.578067,-53,-2159,-9710,170.359
0.582313,-51,-2157,-9709,170.359
0.588146,-47,-2155,-9709,170.359
0.592569,-45,-2152,-9708,170.359
0.598036,-44,-2150,-9707,170.359
0.602741,-45,-2149,-9705,170.359
0.608459,-46,-2146,-9704,170.359
0.612855,-48,-2144,-9702,170.359
0.617274,-47,-2141,-9698,170.359
0.622976,-46,-2140,-9694,170.359
0.627392,-44,-2140,-9694,170.359
0.633063,-43,-2141,-9693,170.359
0.637576,-41,-2141,-9696,170.359
0.643228,-41,-2141,-9704,170.359
0.647654,-41,-2142,-9711,170.359
0.652081,-42,-2143,-9715,170.359
0.657526,-42,-2144,-9718,170.359
0.662174,-43,-2146,-9718,170.359
0.667851,-43,-2148,-9717,170.359
0.672372,-44,-2149,-9712,170.359
0.678073,-45,-2149,-9707,170.359
0.682483,-45,-2150,-9703,170.359
0.688199,-45,-2150,-9699,170.359
0.692680,-44,-2152,-9697,170.359
0.697023,-42,-2154,-9699,170.359
0.702717,-39,-2155,-9701,170.359
0.707198,-36,-2157,-9704,170.359
0.712895,-35,-2158,-9705,170.359
0.717305,-34,-2158,-9706,170.359
0.722805,-35,-2156,-9706,170.359
0.727418,-36,-2152,-9707,170.359
0.731889,-37,-2149,-9709,170.359
0.737622,-39,-2148,-9711,170.359
0.741961,-42,-2147,-9709,170.359
0.747535,-45,-2149,-9708,170.359
0.752136,-48,-2150,-9703,170.359
0.757804,-51,-2152,-9699,170.359
0.762280,-54,-2153,-9696,170.359
0.767967,-56,-2153,-9691,170.359
0.772403,-58,-2154,-9689,170.359
0.776815,-59,-2153,-9686,170.359
0.782524,-59,-2151,-9685,170.359
0.786996,-59,-2150,-9687,170.359
0.792660,-59,-2149,-9689,170.359
0.797122,-58,-2148,-9693,170.359
0.802784,-58,-2148,-9696,170.359
0.807216,-57,-2147,-9696,170.359
0.811624,-58,-2146,-9694,170.359
0.817374,-60,-2144,-9693,170.359
0.821729,-61,-2143,-9693,170.359
0.827484,-62,-2143,-9697,170.359
0.831875,-63,-2141,-9700,170.359
0.837655,-63,-2143,-9703,170.359
0.842044,-62,-2144,-9704,170.359
0.847646,-61,-2144,-9702,170.359
0.852141,-59,-2144,-9700,170.359
0.856575,-58,-2143,-9698,170.359
0.862288,-56,-2142,-9699,170.359
0.866704,-54,-2142,-9700,170.359
0.872408,-53,-2142,-9697,170.359
0.876834,-52,-2141,-9697,170.359
0.882527,-49,-2141,-9695,170.359
0.886778,-47,-2140,-9693,170.359
0.891135,-47,-2140,-9693,170.359
0.896860,-47,-2141,-9695,170.359
0.901276,-46,-2142,-9697,170.359
0.906933,-45,-2142,-9699,170.359
0.911402,-43,-2142,-9702,170.359
0.917134,-40,-2142,-9700,170.359
0.921509,-38,-2142,-9697,170.359
0.927255,-36,-2141,-9695,170.359
0.931654,-35,-2141,-9693,170.359
0.936049,-34,-2140,-9693,170.359
0.941803,-33,-2140,-9691,170.359
0.946166,-33,-2140,-9692,170.359
0.951938,-33,-2140,-9692,170.359
0.956322,-34,-2141,-9693,170.359
0.962293,-34,-2141,-9694,170.359
0.966580,-35,-2142,-9695,170.359
0.971218,-35,-2142,-9694,170.359
0.976618,-37,-2143,-9694,170.359
0.981051,-39,-2144,-9693,170.359
0.986968,-41,-2144,-9692,170.359
0.991138,-43,-2143,-9693,170.359
0.996844,-44,-2141,-9694,170.359
1.001266,-46,-2140,-9696,170.359
1.007003,-47,-2139,-9696,170.359
1.011420,-48,-2139,-9696,170.359
