# note=Lokacija: Glaveja
# started_utc=2025-11-14T12:51:19Z
t_s,mx,my,mz,yaw_deg
0.000596,5983,914,-9934,106.809
0.000917,5981,914,-9935,106.809
0.006244,5979,914,-9935,106.809
0.010139,5978,915,-9936,106.809
0.015703,5978,915,-9938,106.809
0.020070,5978,917,-9940,106.809
0.025870,5979,919,-9942,106.809
0.030220,5978,922,-9944,106.809
0.034722,5978,923,-9946,106.809
0.040342,5978,922,-9947,106.809
0.044702,5977,923,-9947,106.809
0.050482,5975,924,-9945,106.809
0.054923,5974,925,-9946,106.809
0.060904,5972,926,-9946,106.809
0.065099,5971,926,-9947,106.809
0.071100,5971,927,-9948,106.809
0.075434,5971,925,-9950,106.809
0.079895,5972,925,-9948,106.809
0.085565,5972,925,-9948,106.809
0.089995,5973,923,-9946,106.809
0.095809,5973,924,-9944,106.809
0.100117,5972,925,-9941,106.809
0.105847,5971,924,-9938,106.809
0.110295,5971,924,-9933,106.809
0.114620,5971,922,-9930,106.809
0.120447,5972,921,-9928,106.809
0.124855,5973,919,-9925,106.809
0.130526,5976,917,-9925,106.809
0.134995,5977,915,-9925,106.809
0.140862,5980,914,-9924,106.809
0.145153,5981,915,-9925,106.809
0.150828,5983,914,-9922,106.809
0.155269,5985,914,-9921,106.809
0.159714,5986,915,-9922,106.809
0.165399,5986,914,-9922,106.809
0.169821,5986,914,-9924,106.809
0.175537,5984,914,-9927,106.809
0.179945,5982,914,-9929,106.809
0.185477,5979,915,-9931,106.809
0.190177,5979,914,-9933,106.809
0.194459,5978,914,-9934,106.809
0.200222,5980,915,-9935,106.809
0.204654,5981,916,-9934,106.809
0.210274,5983,918,-9932,106.809
0.214779,5986,920,-9931,106.809
0.220473,5987,920,-9933,106.809
0.224896,5988,921,-9938,106.809
0.230583,5989,922,-9942,106.809
0.234991,5988,923,-9945,106.809
0.239436,5987,924,-9945,106.809
0.245130,5987,924,-9944,106.809
0.249602,5987,923,-9943,106.809
0.255259,5988,922,-9942,106.809
0.259715,5990,921,-9943,106.809
0.265275,5991,921,-9943,106.809
0.269616,5990,920,-9942,106.809
0.273988,5989,919,-9940,106.809
0.279731,5986,918,-9939,106.809
0.284105,5985,918,-9939,106.809
0.289817,5984,919,-9937,106.809
0.294295,5983,922,-9936,106.809
0.299957,5982,923,-9933,106.809
0.304695,5980,924,-9928,106.809
0.310405,5978,924,-9922,106.809
0.314787,5976,923,-9918,106.809
0.319225,5976,922,-9916,106.809
0.324937,5977,922,-9917,106.809
0.329365,5978,923,-9917,106.809
0.335057,5978,923,-9919,106.809
0.339471,5978,923,-9920,106.809
0.345158,5978,924,-9922,106.809
0.349630,5977,925,-9922,106.809
0.354046,5977,925,-9923,106.809
0.359540,5978,926,-9924,106.809
0.363856,5979,927,-9926,106.809
0.369562,5980,927,-9926,106.809
0.374242,5979,927,-9926,106.809
0.379887,5979,928,-9925,106.809
0.384154,5979,930,-9924,106.809
0.389920,5979,930,-9923,106.809
0.394590,5981,932,-9920,106.809
0.399018,5982,933,-9920,106.809
0.404744,5984,934,-9919,106.809
0.409245,5986,935,-9920,106.809
0.414876,5986,936,-9921,106.809
0.419272,5985,936,-9923,106.809
0.425007,5983,934,-9928,106.809
0.429434,5982,932,-9933,106.809
0.433807,5982,930,-9939,106.809
0.439586,5981,929,-9944,106.809
0.443977,5982,928,-9948,106.809
0.449686,5982,927,-9951,106.809
0.454185,5982,926,-9952,106.809
0.459774,5983,925,-9952,106.809
0.464282,5983,924,-9948,106.809
0.469970,5984,921,-9945,106.809
0.474546,5985,920,-9939,106.809
0.478825,5986,918,-9932,106.809
0.484536,5986,918,-9930,106.809
0.488950,5986,919,-9929,106.809
0.494621,5986,920,-9930,106.809
0.499060,5985,921,-9932,106.809
0.504508,5984,921,-9932,106.809
0.508883,5984,922,-9931,106.809
0.513253,5983,923,-9931,106.809
0.519147,5981,922,-9934,106.809
0.523509,5980,920,-9937,106.809
0.529399,5978,920,-9938,106.809
0.533604,5974,918,-9939,106.809
0.539593,5973,918,-9939,106.809
0.543971,5973,920,-9937,106.809
0.549673,5975,921,-9936,106.809
0.554170,5976,923,-9933,106.809
0.558594,5974,925,-9931,106.809
0.564277,5972,927,-9930,106.809
0.568696,5971,927,-9932,106.809
0.574434,5971,927,-9935,106.809
0.578860,5973,926,-9941,106.809
0.584571,5974,925,-9944,106.809
0.588937,5974,924,-9947,106.809
0.593379,5976,923,-9946,106.809
0.599141,5977,921,-9945,106.809
0.603572,5977,919,-9946,106.809
0.609204,5978,920,-9948,106.809
0.613674,5980,921,-9949,106.809
0.619309,5981,923,-9951,106.809
0.623799,5982,926,-9948,106.809
0.629511,5984,929,-9947,106.809
0.633971,5983,931,-9945,106.809
0.638415,5981,932,-9942,106.809
0.643921,5979,932,-9937,106.809
0.648271,5978,929,-9934,106.809
0.653878,5977,926,-9929,106.809
0.658614,5976,922,-9925,106.809
0.664333,5977,919,-9923,106.809
0.668765,5977,920,-9923,106.809
0.673174,5979,919,-9924,106.809
0.678932,5980,918,-9924,106.809
0.683294,5981,917,-9924,106.809
0.689012,5982,916,-9924,106.809
0.693452,5983,914,-9923,106.809
0.699153,5984,914,-9923,106.809
0.703512,5984,915,-9923,106.809
0.709285,5985,914,-9923,106.809
0.713675,5982,914,-9922,106.809
0.718126,5982,914,-9922,106.809
0.723799,5980,913,-9923,106.809
0.728244,5978,912,-9924,106.809
0.733920,5978,912,-9924,106.809
0.738403,5977,913,-9926,106.809
0.744110,5978,913,-9928,106.809
0.748494,5979,913,-9927,106.809
0.752941,5977,915,-9926,106.809
0.758702,5977,916,-9927,106.809
0.763066,5978,918,-9927,106.809
0.768614,5979,920,-9929,106.809
0.772976,5981,919,-9932,106.809
0.778653,5982,919,-9937,106.809
0.783048,5980,920,-9944,106.809
0.789117,5979,919,-9951,106.809
0.793484,5979,918,-9960,106.809
0.797843,5981,917,-9962,106.809
0.803661,5984,914,-9963,106.809
0.807770,5986,912,-9961,106.809
0.813458,5987,912,-9958,106.809
0.817895,5987,914,-9954,106.809
0.823626,5987,916,-9954,106.809
0.827998,5987,918,-9954,106.809
0.832420,5988,920,-9954,106.809
0.839046,5989,921,-9954,106.809
0.842524,5989,921,-9950,106.809
0.848300,5987,923,-9950,106.809
0.852665,5986,925,-9947,106.809
0.858644,5984,927,-9943,106.809
0.863120,5982,928,-9942,106.809
0.868554,5981,927,-9941,106.809
0.873229,5980,926,-9944,106.809
0.877663,5978,926,-9950,106.809
0.883134,5975,926,-9954,106.809
0.887835,5973,927,-9957,106.809
0.893512,5972,928,-9958,106.809
0.897659,5972,928,-9953,106.809
0.903333,5973,928,-9945,106.809
0.907764,5974,927,-9937,106.809
0.912435,5976,926,-9933,106.809
