# note=Lokacija: Glaveja
# started_utc=2025-11-14T13:05:56Z
t_s,mx,my,mz,yaw_deg
0.000839,7229,-183,-9666,118.356
0.004280,7230,-184,-9664,118.356
0.009355,7231,-185,-9664,118.356
0.013804,7230,-185,-9664,118.356
0.019523,7228,-186,-9665,118.356
0.023983,7228,-187,-9665,118.356
0.028393,7227,-186,-9666,118.356
0.034056,7229,-186,-9667,118.356
0.038736,7231,-188,-9663,118.356
0.045749,7232,-189,-9660,118.356
0.049126,7232,-190,-9661,118.356
0.055328,7231,-192,-9664,118.356
0.061429,7229,-194,-9666,118.356
0.065460,7229,-195,-9669,118.356
0.068901,7230,-194,-9669,118.356
0.073366,7232,-192,-9665,118.356
0.078982,7232,-190,-9663,118.356
0.083455,7232,-189,-9662,118.356
0.089206,7231,-189,-9658,118.356
0.093624,7230,-188,-9657,118.356
0.099533,7230,-188,-9654,118.356
0.104082,7231,-190,-9654,118.356
0.108379,7232,-191,-9658,118.356
0.114131,7234,-194,-9661,118.356
0.118622,7235,-196,-9662,118.356
0.124238,7236,-196,-9663,118.356
0.128716,7237,-196,-9661,118.356
0.134345,7236,-195,-9657,118.356
0.138815,7236,-195,-9654,118.356
0.144553,7236,-195,-9651,118.356
0.148651,7236,-194,-9651,118.356
0.153046,7235,-192,-9651,118.356
0.158819,7235,-192,-9653,118.356
0.163226,7235,-191,-9656,118.356
0.168925,7233,-190,-9658,118.356
0.173315,7233,-190,-9662,118.356
0.179069,7233,-188,-9665,118.356
0.183626,7232,-187,-9666,118.356
0.188212,7233,-186,-9666,118.356
0.193908,7233,-186,-9665,118.356
0.198340,7234,-187,-9661,118.356
0.204015,7235,-188,-9660,118.356
0.208444,7236,-190,-9657,118.356
0.214178,7234,-191,-9655,118.356
0.218572,7232,-191,-9654,118.356
0.224304,7229,-188,-9654,118.356
0.228752,7228,-185,-9653,118.356
0.233137,7226,-184,-9653,118.356
0.238874,7224,-185,-9656,118.356
0.243309,7220,-186,-9657,118.356
0.248969,7218,-187,-9659,118.356
0.253436,7215,-187,-9660,118.356
0.259095,7216,-187,-9659,118.356
0.263574,7218,-187,-9661,118.356
0.267989,7221,-187,-9662,118.356
0.273723,7224,-189,-9663,118.356
0.278161,7226,-191,-9666,118.356
0.283822,7227,-192,-9667,118.356
0.288294,7228,-192,-9668,118.356
0.294067,7228,-192,-9670,118.356
0.298397,7229,-191,-9671,118.356
0.304152,7230,-190,-9671,118.356
0.308554,7228,-191,-9670,118.356
0.312901,7225,-193,-9667,118.356
0.318707,7224,-193,-9666,118.356
0.323112,7224,-193,-9667,118.356
0.328785,7226,-193,-9671,118.356
0.333227,7229,-192,-9676,118.356
0.338724,7230,-191,-9681,118.356
0.343329,7232,-188,-9682,118.356
0.347784,7233,-187,-9680,118.356
0.353502,7233,-185,-9674,118.356
0.357906,7232,-183,-9666,118.356
0.363631,7232,-184,-9659,118.356
0.368078,7231,-185,-9655,118.356
0.373732,7231,-185,-9653,118.356
0.378203,7231,-185,-9654,118.356
0.383882,7230,-184,-9655,118.356
0.388328,7228,-184,-9658,118.356
0.392420,7227,-183,-9661,118.356
0.398422,7225,-182,-9663,118.356
0.402871,7224,-182,-9669,118.356
0.408289,7225,-181,-9671,118.356
0.413003,7226,-180,-9671,118.356
0.418717,7226,-180,-9670,118.356
0.423163,7227,-180,-9669,118.356
0.427565,7226,-180,-9667,118.356
0.433295,7225,-180,-9668,118.356
0.437642,7225,-180,-9672,118.356
0.443339,7226,-181,-9673,118.356
0.447833,7226,-182,-9675,118.356
0.453678,7227,-182,-9677,118.356
0.457996,7228,-182,-9679,118.356
0.463659,7229,-180,-9681,118.356
0.468098,7229,-180,-9683,118.356
0.472509,7229,-180,-9686,118.356
0.478229,7229,-183,-9687,118.356
0.482677,7227,-186,-9688,118.356
0.488379,7225,-188,-9688,118.356
0.492798,7224,-189,-9686,118.356
0.498205,7224,-189,-9683,118.356
0.502937,7223,-187,-9682,118.356
0.507310,7224,-188,-9678,118.356
0.513063,7224,-189,-9677,118.356
0.517462,7225,-191,-9676,118.356
0.523156,7227,-193,-9672,118.356
0.527636,7227,-194,-9668,118.356
