# note=Lokacija: Glaveja
# started_utc=2025-11-14T13:13:54Z
t_s,mx,my,mz,yaw_deg
0.000674,4835,3177,-9040,82.496
0.002977,4835,3179,-9042,82.496
0.008720,4834,3177,-9041,82.496
0.013181,4834,3175,-9040,82.496
0.017505,4834,3172,-9040,82.496
0.032381,4834,3170,-9041,82.496
0.032786,4834,3171,-9042,82.496
0.033913,4833,3172,-9041,82.496
0.038368,4832,3173,-9041,82.496
0.043558,4831,3173,-9041,82.496
0.048314,4832,3173,-9041,82.496
0.053696,4832,3171,-9040,82.496
0.058195,4830,3171,-9041,82.496
0.062488,4828,3172,-9044,82.496
0.068238,4826,3173,-9046,82.496
0.072589,4825,3174,-9049,82.496
0.078472,4826,3175,-9053,82.496
0.082802,4828,3177,-9055,82.496
0.088552,4832,3179,-9056,82.496
0.092973,4836,3180,-9057,82.496
0.097305,4838,3183,-9056,82.496
0.103106,4839,3182,-9053,82.496
0.107745,4840,3181,-9051,82.496
0.113451,4839,3180,-9051,82.496
0.117640,4838,3179,-9050,82.496
0.123575,4839,3178,-9050,82.496
0.127996,4840,3178,-9050,82.496
0.133760,4840,3178,-9047,82.496
0.138168,4841,3177,-9044,82.496
0.142573,4841,3176,-9043,82.496
0.148241,4841,3176,-9045,82.496
0.152746,4841,3175,-9048,82.496
0.158380,4840,3176,-9053,82.496
0.162838,4839,3178,-9058,82.496
0.168554,4839,3178,-9062,82.496
0.172991,4838,3179,-9064,82.496
0.177328,4836,3180,-9063,82.496
0.183261,4834,3180,-9061,82.496
0.187557,4832,3181,-9061,82.496
0.193225,4830,3183,-9062,82.496
0.197672,4829,3185,-9062,82.496
0.203358,4829,3186,-9063,82.496
0.207801,4829,3187,-9062,82.496
0.213487,4829,3188,-9061,82.496
0.217886,4830,3189,-9062,82.496
0.222345,4830,3188,-9065,82.496
0.228016,4830,3187,-9069,82.496
0.232488,4831,3186,-9074,82.496
0.238120,4833,3185,-9078,82.496
0.242574,4834,3185,-9078,82.496
0.248298,4836,3184,-9078,82.496
0.252757,4837,3185,-9077,82.496
0.257171,4839,3184,-9075,82.496
0.262883,4841,3183,-9071,82.496
0.267299,4842,3181,-9068,82.496
0.272996,4843,3180,-9064,82.496
0.277414,4843,3180,-9060,82.496
0.283099,4842,3181,-9058,82.496
0.287502,4842,3183,-9057,82.496
0.293269,4841,3184,-9057,82.496
0.297729,4842,3185,-9057,82.496
0.302116,4843,3185,-9060,82.496
0.307790,4844,3186,-9062,82.496
0.312267,4841,3186,-9065,82.496
0.317919,4838,3186,-9065,82.496
0.322350,4835,3185,-9065,82.496
0.328038,4833,3183,-9065,82.496
0.332479,4832,3182,-9065,82.496
0.336897,4831,3180,-9063,82.496
0.342645,4831,3180,-9062,82.496
0.347084,4833,3179,-9060,82.496
0.352751,4832,3179,-9059,82.496
0.357173,4831,3180,-9060,82.496
0.362912,4830,3179,-9060,82.496
0.367342,4831,3178,-9059,82.496
0.373042,4831,3179,-9061,82.496
0.377471,4832,3178,-9061,82.496
0.382026,4833,3176,-9062,82.496
0.387629,4832,3176,-9064,82.496
0.391861,4830,3172,-9065,82.496
0.397717,4830,3169,-9067,82.496
0.402069,4832,3168,-9068,82.496
0.407858,4834,3167,-9068,82.496
0.412248,4836,3170,-9066,82.496
0.416734,4837,3173,-9064,82.496
0.422420,4839,3174,-9063,82.496
0.426839,4840,3175,-9062,82.496
0.432333,4841,3173,-9060,82.496
0.436985,4841,3171,-9058,82.496
0.442640,4840,3171,-9055,82.496
0.447115,4839,3171,-9053,82.496
0.452515,4839,3171,-9054,82.496
0.457245,4841,3171,-9051,82.496
0.461466,4843,3172,-9049,82.496
0.467358,4845,3175,-9051,82.496
0.471781,4847,3174,-9054,82.496
0.477593,4848,3175,-9057,82.496
0.481874,4848,3177,-9060,82.496
0.487680,4848,3175,-9064,82.496
0.491988,4847,3176,-9062,82.496
0.496592,4845,3177,-9059,82.496
0.502153,4843,3176,-9058,82.496
0.506571,4839,3176,-9058,82.496
0.512273,4838,3174,-9059,82.496
0.516764,4836,3173,-9061,82.496
0.522425,4836,3171,-9059,82.496
0.526839,4836,3170,-9058,82.496
0.532505,4836,3169,-9057,82.496
0.536941,4835,3168,-9056,82.496
0.541401,4833,3166,-9057,82.496
0.547125,4832,3166,-9059,82.496
0.551568,4831,3166,-9061,82.496
0.557233,4830,3166,-9059,82.496
0.561643,4830,3165,-9059,82.496
0.567366,4831,3165,-9059,82.496
0.571805,4832,3164,-9058,82.496
0.576202,4835,3164,-9059,82.496
0.581965,4837,3166,-9057,82.496
0.586381,4837,3168,-9056,82.496
0.592073,4838,3170,-9054,82.496
0.596434,4839,3173,-9052,82.496
0.602113,4838,3175,-9051,82.496
0.606629,4837,3178,-9051,82.496
0.612269,4835,3182,-9053,82.496
0.616792,4832,3183,-9051,82.496
0.621172,4830,3185,-9050,82.496
0.626827,4830,3185,-9049,82.496
0.631289,4832,3183,-9047,82.496
0.636998,4833,3180,-9046,82.496
0.641415,4834,3177,-9046,82.496
0.647110,4834,3175,-9048,82.496
0.651551,4833,3174,-9051,82.496
0.655980,4831,3174,-9052,82.496
0.661722,4830,3173,-9051,82.496
0.666121,4829,3173,-9050,82.496
0.671769,4830,3173,-9046,82.496
0.676272,4833,3172,-9045,82.496
0.681961,4836,3171,-9043,82.496
0.686374,4838,3170,-9043,82.496
0.692070,4838,3169,-9042,82.496
0.696507,4839,3168,-9042,82.496
0.700892,4839,3166,-9042,82.496
0.706628,4838,3166,-9041,82.496
0.711064,4839,3168,-9038,82.496
0.716765,4840,3169,-9039,82.496
0.721173,4841,3170,-9037,82.496
0.726841,4843,3170,-9038,82.496
0.731270,4844,3170,-9039,82.496
0.735764,4844,3171,-9042,82.496
0.741445,4844,3171,-9042,82.496
0.745869,4844,3172,-9044,82.496
0.751547,4842,3173,-9046,82.496
0.756018,4842,3173,-9049,82.496
0.761714,4840,3173,-9051,82.496
0.766177,4840,3174,-9055,82.496
