# note=Lokacija: Glaveja
# started_utc=2025-11-14T13:21:07Z
t_s,mx,my,mz,yaw_deg
0.000623,6740,1,-9934,112.055
0.002615,6739,1,-9933,112.055
0.007023,6737,1,-9933,112.055
0.012754,6735,1,-9935,112.055
0.017090,6732,1,-9936,112.055
0.023138,6730,1,-9937,112.055
0.027423,6729,1,-9935,112.055
0.033664,6729,1,-9932,112.055
0.037428,6729,1,-9931,112.055
0.041799,6730,0,-9930,112.055
0.048744,6731,0,-9930,112.055
0.052012,6731,-1,-9930,112.055
0.057946,6732,-2,-9929,112.055
0.062108,6733,-4,-9930,112.055
0.067873,6732,-4,-9931,112.055
0.072528,6732,-5,-9932,112.055
0.077991,6733,-6,-9935,112.055
0.082551,6734,-6,-9937,112.055
0.086813,6735,-6,-9937,112.055
0.092522,6737,-6,-9935,112.055
0.096943,6738,-5,-9930,112.055
0.102667,6738,-4,-9927,112.055
0.107074,6738,-2,-9926,112.055
0.112836,6737,-1,-9926,112.055
0.117215,6736,-1,-9925,112.055
0.121665,6737,-2,-9924,112.055
0.127352,6738,-2,-9923,112.055
0.131863,6738,-1,-9920,112.055
0.137493,6739,0,-9919,112.055
0.141947,6739,0,-9917,112.055
0.147628,6738,0,-9918,112.055
0.152040,6740,-1,-9918,112.055
0.157782,6742,-3,-9918,112.055
0.162229,6743,-3,-9920,112.055
0.166642,6745,-4,-9922,112.055
0.172426,6745,-4,-9923,112.055
0.176779,6745,-3,-9926,112.055
0.182797,6744,-4,-9928,112.050
0.187163,6745,-3,-9931,112.050
0.192784,6745,-3,-9935,112.050
0.196996,6746,-4,-9935,112.050
0.201733,6746,-6,-9934,112.050
0.207418,6746,-6,-9936,112.050
0.211808,6745,-6,-9939,112.050
0.217569,6744,-6,-9944,112.055
0.221985,6745,-5,-9948,112.055
0.227722,6746,-4,-9950,112.055
0.232108,6747,-3,-9949,112.055
0.237910,6748,-2,-9948,112.055
0.242240,6747,0,-9946,112.055
0.246698,6745,0,-9945,112.055
0.252424,6742,2,-9944,112.055
0.256972,6741,3,-9942,112.055
0.262551,6741,3,-9943,112.055
0.266929,6742,4,-9943,112.055
0.272694,6742,5,-9942,112.055
0.277130,6742,7,-9942,112.055
0.281493,6743,9,-9940,112.055
0.287375,6742,10,-9938,112.055
0.291650,6742,10,-9936,112.055
0.297353,6741,9,-9933,112.055
0.301751,6740,9,-9930,112.055
0.307499,6740,7,-9925,112.055
0.311905,6742,5,-9921,112.055
0.317632,6743,5,-9922,112.055
0.322035,6744,5,-9922,112.055
0.326461,6743,3,-9926,112.055
0.332183,6739,2,-9928,112.055
0.336610,6737,3,-9928,112.055
0.342297,6735,5,-9930,112.055
0.346741,6734,6,-9931,112.055
0.352459,6733,8,-9932,112.055
0.356684,6732,9,-9933,112.055
0.360972,6731,8,-9935,112.055
0.367029,6730,8,-9935,112.055
0.371428,6730,9,-9935,112.055
0.377117,6730,9,-9937,112.055
0.381611,6732,10,-9938,112.055
0.387293,6733,10,-9938,112.055
0.391722,6732,8,-9940,112.055
0.397423,6732,7,-9944,112.055
0.401807,6731,6,-9946,112.055
0.406218,6729,5,-9946,112.055
0.411962,6728,3,-9945,112.055
0.416362,6728,2,-9945,112.055
0.422088,6727,1,-9942,112.055
0.426482,6727,0,-9941,112.055
0.432239,6727,0,-9943,112.055
0.436647,6725,0,-9941,112.055
0.441053,6724,0,-9939,112.055
0.446788,6724,0,-9937,112.055
0.451234,6725,0,-9936,112.055
0.456621,6726,0,-9934,112.055
0.461376,6727,0,-9935,112.055
0.467062,6728,1,-9934,112.055
0.471448,6728,1,-9930,112.055
0.477208,6728,2,-9925,112.055
0.481617,6727,2,-9920,112.055
0.486013,6728,2,-9920,112.055
0.491780,6728,2,-9920,112.055
0.496140,6728,3,-9922,112.055
0.501866,6728,4,-9927,112.055
0.506320,6727,5,-9929,112.055
0.511994,6725,5,-9930,112.055
0.516420,6723,4,-9931,112.055
0.520808,6720,4,-9931,112.055
0.526543,6718,3,-9929,112.055
0.530971,6716,3,-9925,112.055
0.536631,6713,3,-9921,112.055
0.541148,6710,2,-9922,112.055
0.546860,6709,2,-9923,112.055
0.551267,6707,3,-9926,112.055
0.556933,6707,5,-9928,112.055
0.561429,6709,6,-9930,112.055
0.565790,6713,7,-9930,112.055
0.571537,6717,7,-9931,112.055
0.575991,6721,4,-9931,112.055
0.581682,6724,3,-9931,112.055
0.586093,6725,3,-9934,112.055
0.591921,6727,3,-9935,112.055
0.596259,6728,3,-9938,112.055
0.600633,6731,3,-9938,112.055
0.606343,6734,3,-9936,112.055
0.610774,6736,2,-9937,112.055
0.616452,6739,2,-9936,112.055
0.620980,6740,2,-9935,112.055
0.626623,6741,2,-9934,112.055
0.631009,6742,2,-9932,112.055
0.636652,6742,2,-9929,112.055
0.641158,6742,2,-9927,112.055
0.645612,6742,3,-9926,112.055
0.651367,6741,4,-9925,112.055
0.655703,6740,5,-9922,112.055
0.661442,6738,4,-9921,112.055
0.665876,6736,4,-9921,112.055
0.671623,6735,5,-9923,112.055
0.675979,6732,5,-9924,112.055
0.680440,6731,4,-9927,112.055
0.686162,6730,4,-9928,112.055
0.690535,6729,4,-9929,112.055
0.696275,6730,3,-9929,112.055
0.700679,6732,2,-9928,112.055
0.706414,6733,1,-9927,112.055
0.710837,6735,0,-9926,112.055
0.716506,6737,-1,-9928,112.055
0.720977,6736,-2,-9930,112.055
0.725372,6738,-3,-9933,112.055
0.731096,6739,-3,-9935,112.055
0.735505,6741,-3,-9935,112.055
0.741243,6743,-3,-9936,112.055
0.745615,6745,-3,-9937,112.055
0.751316,6747,-4,-9938,112.055
0.755766,6748,-6,-9937,112.055
0.760210,6748,-8,-9938,112.055
0.765950,6748,-9,-9939,112.055
0.770357,6747,-9,-9939,112.055
0.776099,6745,-9,-9938,112.055
0.780499,6742,-9,-9935,112.055
0.786194,6740,-8,-9930,112.055
0.790623,6737,-8,-9922,112.055
0.796354,6736,-8,-9918,112.055
0.800709,6734,-8,-9917,112.055
0.805179,6734,-8,-9919,112.055
0.810914,6733,-7,-9924,112.055
0.815317,6734,-6,-9928,112.055
0.821031,6734,-5,-9930,112.055
0.825411,6735,-5,-9932,112.055
0.831165,6737,-4,-9934,112.055
0.835544,6738,-3,-9935,112.055
0.840039,6737,-1,-9936,112.055
0.845751,6736,1,-9937,112.055
0.850170,6734,2,-9935,112.055
0.855830,6734,4,-9934,112.055
0.860290,6731,5,-9932,112.055
0.865989,6730,7,-9931,112.055
0.870371,6730,8,-9931,112.055
0.876110,6730,9,-9929,112.055
0.880527,6731,10,-9927,112.055
0.884975,6730,10,-9927,112.055
0.890727,6730,11,-9927,112.055
0.895078,6728,11,-9927,112.055
0.900758,6728,12,-9926,112.055
0.905218,6728,13,-9923,112.055
0.910647,6731,13,-9921,112.055
0.915316,6734,14,-9922,112.055
0.919726,6734,14,-9925,112.055
0.925518,6733,14,-9929,112.055
0.929932,6732,15,-9931,112.055
0.935566,6731,14,-9934,112.055
0.940070,6731,14,-9935,112.055
0.945751,6731,12,-9935,112.055
0.950178,6731,11,-9935,112.055
0.955673,6730,11,-9933,112.055
0.960158,6728,9,-9930,112.055
0.964735,6729,6,-9926,112.055
0.970472,6729,4,-9923,112.055
0.975036,6730,2,-9921,112.055
0.980535,6730,0,-9921,112.055
0.985028,6730,0,-9922,112.055
0.990707,6729,0,-9921,112.055
0.994829,6729,0,-9920,112.055
0.999270,6729,-1,-9917,112.055
1.004984,6730,0,-9914,112.055
1.009411,6730,-1,-9910,112.055
1.016600,6732,-2,-9908,112.055
1.022783,6733,-3,-9907,112.055
1.025530,6735,-4,-9907,112.055
1.034473,6737,-4,-9910,112.055
1.036832,6740,-4,-9914,112.055
1.039931,6741,-4,-9916,112.055
1.044285,6742,-3,-9916,112.055
1.050141,6741,-2,-9914,112.055
1.054413,6742,-2,-9912,112.055
1.060092,6742,-1,-9910,112.055
1.064765,6742,0,-9908,112.055
1.070478,6742,1,-9907,112.055
1.074933,6742,3,-9906,112.055
1.079380,6740,3,-9907,112.055
1.085076,6739,3,-9908,112.055
1.089454,6736,3,-9912,112.055
1.095217,6733,3,-9919,112.055
1.099595,6731,3,-9922,112.055
1.105300,6730,3,-9927,112.055
1.109748,6729,2,-9930,112.055
1.115487,6729,2,-9932,112.055
1.119905,6728,3,-9933,112.055
1.124316,6727,3,-9932,112.055
1.130050,6726,2,-9931,112.055
1.134433,6725,1,-9932,112.055
1.140079,6725,1,-9935,112.055
1.144664,6726,1,-9940,112.055
1.150290,6729,1,-9944,112.055
1.154528,6732,2,-9946,112.055
1.159094,6735,2,-9949,112.055
1.164865,6736,3,-9948,112.055
1.169282,6736,3,-9949,112.055
1.175007,6738,5,-9949,112.055
1.179421,6740,7,-9948,112.055
1.185132,6739,10,-9948,112.055
1.189546,6740,11,-9947,112.055
1.195264,6740,10,-9945,112.055
1.199638,6740,8,-9943,112.055
1.204076,6741,5,-9943,112.055
1.209780,6741,4,-9943,112.055
1.214228,6741,3,-9944,112.055
1.219926,6741,3,-9943,112.055
1.224540,6742,2,-9943,112.055
1.230107,6741,0,-9941,112.055
1.234472,6742,0,-9940,112.055
1.238858,6742,-1,-9942,112.055
1.244642,6742,-2,-9945,112.055
1.249058,6742,-2,-9947,112.055
1.254819,6742,-2,-9947,112.055
1.259246,6741,-1,-9945,112.055
1.264911,6740,0,-9943,112.055
1.269464,6737,1,-9936,112.055
1.275058,6736,1,-9932,112.055
1.279500,6737,0,-9929,112.055
1.283832,6737,0,-9929,112.055
1.289641,6738,0,-9929,112.055
1.294025,6739,0,-9932,112.055
1.299422,6740,-2,-9933,112.055
1.304162,6740,-3,-9934,112.055
1.309726,6740,-4,-9938,112.055
1.314238,6740,-4,-9942,112.055
1.318527,6739,-3,-9946,112.055
1.324420,6739,-2,-9949,112.055
1.328825,6740,0,-9952,112.055
1.334469,6740,0,-9955,112.055
1.338986,6742,1,-9958,112.055
1.344653,6744,0,-9961,112.055
1.349100,6744,-1,-9961,112.055
1.354828,6746,-3,-9960,112.055
1.359259,6747,-6,-9958,112.055
1.363667,6747,-5,-9956,112.055
1.369410,6746,-3,-9954,112.055
1.373813,6745,-1,-9952,112.055
1.379514,6744,0,-9946,112.055
1.383965,6744,0,-9943,112.055
1.389632,6743,-1,-9939,112.055
1.394095,6742,-2,-9940,112.055
1.398427,6740,-3,-9942,112.055
1.404165,6737,-3,-9944,112.055
1.408599,6735,-4,-9947,112.055
1.414284,6732,-6,-9950,112.055
1.418746,6731,-8,-9951,112.055
1.424439,6731,-9,-9952,112.055
1.428825,6730,-9,-9951,112.055
1.434528,6730,-8,-9949,112.055
1.439040,6733,-7,-9948,112.055
1.443410,6736,-5,-9951,112.055
1.449144,6739,-4,-9953,112.055
1.453587,6741,-3,-9955,112.055
1.459254,6742,-4,-9954,112.055
1.463634,6742,-5,-9951,112.055
1.469387,6742,-5,-9953,112.055
1.473543,6742,-6,-9956,112.055
1.478225,6742,-6,-9961,112.055
1.483975,6741,-4,-9965,112.055
1.488345,6740,-3,-9969,112.055
1.494074,6740,-3,-9968,112.055
1.498519,6739,-4,-9967,112.055
1.504186,6739,-4,-9965,112.055
1.508671,6740,-3,-9964,112.055
1.514347,6738,-2,-9963,112.055
1.518751,6735,0,-9961,112.055
1.523217,6733,0,-9960,112.055
1.528747,6730,1,-9959,112.055
1.533337,6731,2,-9958,112.055
1.539012,6733,2,-9957,112.055
1.543486,6735,2,-9955,112.055
1.549161,6738,0,-9954,112.055
1.553657,6738,-1,-9950,112.055
1.558019,6736,-2,-9947,112.055
1.563759,6734,-3,-9943,112.055
1.568168,6731,-1,-9940,112.055
1.573877,6730,-1,-9940,112.055
1.578311,6729,-2,-9939,112.055
1.584000,6730,-1,-9941,112.055
1.588442,6729,-2,-9939,112.055
