# note=Lokacija: mauao
# started_utc=2025-12-25T23:51:02Z
t_s,mx,my,mz,yaw_deg
0.000639,7296,3144,4902,57.629
0.000932,7295,3144,4902,57.629
0.003443,7293,3147,4902,57.629
0.009142,7292,3149,4903,57.629
0.013570,7292,3149,4904,57.629
0.019559,7291,3149,4902,57.629
0.023698,7291,3150,4899,57.629
0.028100,7293,3150,4895,57.629
0.034126,7294,3151,4890,57.629
0.038314,7295,3152,4889,57.629
0.043989,7296,3152,4889,57.629
0.048495,7296,3152,4889,57.629
0.054193,7296,3151,4890,57.629
0.058792,7297,3151,4890,57.629
0.062990,7299,3150,4891,57.629
0.068926,7300,3149,4890,57.629
0.073054,7299,3148,4889,57.629
0.079023,7299,3149,4890,57.629
0.083542,7298,3149,4889,57.629
0.089077,7299,3149,4892,57.629
0.093593,7300,3152,4894,57.629
0.099236,7301,3153,4898,57.629
0.103751,7303,3155,4902,57.629
0.108120,7304,3156,4907,57.629
0.113865,7304,3155,4915,57.629
0.118320,7305,3154,4920,57.629
0.123944,7307,3153,4925,57.629
0.128384,7308,3151,4926,57.629
0.134116,7310,3152,4924,57.629
0.138570,7311,3150,4923,57.629
0.142967,7311,3149,4920,57.629
0.148715,7310,3147,4917,57.629
0.153109,7310,3144,4917,57.629
0.158799,7310,3142,4914,57.629
0.163288,7310,3141,4911,57.629
0.168912,7311,3142,4907,57.629
0.173449,7310,3142,4906,57.629
0.179078,7309,3142,4906,57.629
0.183708,7309,3141,4908,57.629
0.187896,7309,3140,4910,57.629
0.193650,7310,3139,4910,57.629
0.198064,7312,3138,4909,57.629
0.203755,7314,3137,4907,57.629
0.208154,7315,3136,4908,57.629
0.213921,7317,3136,4909,57.629
0.218319,7317,3138,4907,57.634
0.222708,7317,3139,4907,57.634
0.228486,7318,3140,4907,57.634
0.232861,7317,3140,4904,57.634
0.238632,7317,3139,4902,57.634
0.243034,7319,3139,4898,57.634
0.248691,7319,3139,4893,57.634
0.253148,7319,3140,4891,57.634
0.258833,7320,3141,4889,57.634
0.263211,7321,3142,4890,57.634
0.267740,7322,3142,4894,57.634
0.273433,7322,3143,4899,57.634
0.277878,7322,3142,4901,57.634
0.283494,7321,3142,4904,57.634
0.287938,7319,3143,4906,57.634
0.293646,7319,3145,4907,57.634
0.298086,7318,3146,4905,57.634
0.302482,7317,3146,4904,57.634
0.308251,7318,3146,4902,57.640
0.312677,7319,3147,4900,57.640
0.318318,7319,3145,4901,57.640
0.322787,7319,3146,4901,57.640
0.328479,7318,3145,4902,57.640
0.332889,7317,3144,4902,57.640
0.338643,7315,3143,4902,57.640
0.343042,7316,3143,4903,57.640
0.347446,7316,3142,4900,57.640
0.353128,7317,3141,4900,57.640
0.357596,7318,3142,4898,57.640
0.363324,7318,3144,4896,57.640
0.367710,7317,3145,4898,57.640
0.373447,7316,3146,4902,57.640
0.377858,7317,3147,4905,57.640
0.382316,7317,3147,4908,57.640
0.388021,7317,3148,4910,57.640
0.392421,7318,3149,4913,57.640
0.398072,7317,3150,4915,57.640
0.402599,7317,3150,4915,57.640
0.408243,7316,3150,4915,57.640
0.412714,7316,3150,4916,57.640
0.418434,7314,3152,4913,57.640
0.422841,7312,3152,4911,57.640
0.427208,7310,3152,4909,57.640
0.432947,7309,3152,4909,57.640
0.437384,7309,3153,4911,57.640
0.442987,7307,3154,4912,57.640
0.447473,7305,3154,4914,57.640
0.453209,7304,3156,4917,57.640
0.457676,7305,3157,4919,57.640
0.462065,7306,3158,4923,57.640
0.467702,7309,3159,4925,57.640
0.472196,7312,3158,4925,57.640
0.477897,7314,3156,4926,57.640
0.482306,7315,3155,4925,57.640
0.488022,7316,3153,4924,57.640
0.492440,7317,3152,4923,57.640
0.498164,7317,3154,4920,57.640
0.502353,7316,3156,4916,57.640
0.506702,7314,3157,4914,57.640
0.512656,7312,3157,4911,57.640
0.517158,7310,3158,4912,57.640
0.522855,7310,3157,4913,57.640
0.527281,7309,3157,4914,57.634
0.532995,7308,3157,4914,57.634
0.537405,7309,3157,4914,57.634
0.541850,7310,3157,4916,57.634
0.547536,7311,3159,4916,57.634
0.551932,7313,3160,4920,57.634
0.557657,7313,3159,4924,57.634
0.562112,7311,3159,4929,57.634
0.567853,7309,3157,4931,57.634
0.572239,7308,3155,4930,57.634
0.577923,7306,3152,4929,57.634
0.582342,7308,3151,4925,57.634
0.586775,7310,3149,4921,57.634
0.592494,7313,3148,4918,57.634
0.596733,7314,3148,4914,57.634
0.602627,7315,3148,4910,57.634
0.607021,7316,3148,4907,57.634
0.612751,7317,3148,4906,57.634
0.617143,7318,3147,4906,57.634
0.621569,7319,3145,4910,57.634
0.627279,7320,3141,4911,57.634
0.631724,7318,3140,4909,57.634
0.637379,7317,3140,4909,57.634
0.641900,7315,3142,4906,57.634
0.647507,7312,3144,4905,57.634
0.651917,7311,3143,4903,57.634
0.657648,7313,3142,4904,57.634
0.662102,7314,3140,4905,57.640
0.666422,7317,3139,4906,57.640
0.672222,7319,3138,4908,57.640
0.676749,7320,3139,4909,57.640
0.682342,7321,3138,4908,57.640
0.686842,7322,3138,4905,57.640
0.692470,7323,3138,4904,57.640
0.696956,7323,3139,4905,57.640
0.701339,7321,3140,4907,57.640
0.707066,7319,3142,4909,57.640
0.711488,7319,3143,4909,57.640
0.717219,7318,3143,4907,57.640
0.721644,7317,3144,4902,57.640
0.727325,7316,3144,4901,57.640
0.731740,7316,3146,4901,57.640
0.737455,7316,3148,4901,57.640
0.741926,7316,3148,4903,57.640
0.746271,7316,3148,4905,57.640
0.752005,7315,3149,4904,57.640
0.756414,7314,3149,4906,57.640
0.762116,7312,3147,4906,57.640
0.766547,7311,3145,4905,57.645
0.772291,7312,3142,4906,57.645
0.776694,7312,3140,4907,57.645
0.781076,7314,3139,4910,57.645
0.786901,7315,3140,4916,57.645
0.791237,7315,3142,4919,57.645
0.796917,7315,3144,4919,57.645
0.801357,7315,3144,4916,57.645
0.806895,7315,3145,4913,57.645
0.811496,7315,3146,4912,57.645
0.817240,7317,3148,4911,57.645
0.821687,7319,3151,4912,57.645
0.826067,7321,3153,4914,57.645
0.831767,7322,3153,4914,57.645
0.836230,7322,3154,4913,57.645
0.841888,7321,3154,4914,57.645
0.846339,7321,3154,4916,57.645
0.852082,7322,3156,4919,57.645
0.856458,7322,3158,4921,57.645
0.860857,7322,3159,4921,57.645
0.866594,7321,3160,4920,57.645
0.871017,7318,3158,4923,57.645
0.876722,7316,3157,4925,57.645
0.881138,7315,3156,4930,57.645
