# note=Lokacija: mauao
# started_utc=2025-12-26T00:05:58Z
t_s,mx,my,mz,yaw_deg
0.000571,9102,376,4634,74.685
0.004516,9102,374,4631,74.685
0.008965,9101,372,4632,74.685
0.013352,9099,369,4635,74.685
0.019108,9097,366,4638,74.685
0.023505,9096,364,4641,74.685
0.029151,9096,363,4643,74.685
0.033636,9096,364,4646,74.685
0.040917,9097,365,4648,74.685
0.047537,9096,365,4651,74.685
0.050639,9097,367,4652,74.685
0.055977,9096,369,4653,74.685
0.058672,9094,372,4655,74.685
0.065152,9091,374,4652,74.685
0.069816,9087,376,4650,74.685
0.074638,9085,378,4646,74.685
0.078583,9083,379,4642,74.685
0.084294,9083,380,4639,74.685
0.088732,9084,382,4638,74.685
0.093176,9085,382,4637,74.685
0.099131,9084,382,4639,74.685
0.103553,9084,381,4642,74.685
0.109207,9085,380,4646,74.685
0.113665,9085,378,4650,74.685
0.119421,9086,376,4653,74.685
0.123779,9086,375,4654,74.685
0.129510,9087,374,4654,74.685
0.133932,9087,374,4654,74.685
0.138053,9088,374,4654,74.685
0.144083,9090,375,4652,74.685
0.148524,9092,375,4651,74.685
0.154205,9095,375,4651,74.685
0.158663,9096,374,4650,74.685
0.164349,9097,374,4649,74.685
0.168785,9096,375,4648,74.685
0.173127,9095,376,4644,74.685
0.178899,9095,377,4640,74.685
0.183320,9094,378,4637,74.685
0.189023,9094,377,4634,74.685
0.193427,9096,377,4631,74.685
0.199145,9098,375,4631,74.685
0.203565,9099,373,4635,74.685
0.209390,9099,373,4640,74.685
0.213703,9098,373,4641,74.685
0.218130,9099,374,4641,74.685
0.223834,9100,378,4641,74.685
0.228250,9100,380,4640,74.685
0.233931,9102,382,4639,74.685
0.238396,9103,383,4635,74.685
0.244089,9104,382,4632,74.685
0.248516,9106,381,4630,74.685
0.252943,9108,380,4629,74.685
0.258692,9108,378,4628,74.685
0.263057,9108,377,4629,74.685
0.268784,9107,376,4629,74.685
0.273209,9107,376,4632,74.691
0.278908,9106,378,4631,74.691
0.283384,9107,382,4631,74.691
0.289096,9106,383,4631,74.691
0.293482,9105,386,4633,74.691
0.297859,9104,388,4634,74.691
0.303626,9104,386,4637,74.691
0.308018,9103,386,4642,74.691
0.313785,9102,387,4644,74.691
0.318146,9103,388,4645,74.691
0.323856,9104,389,4645,74.691
0.328250,9106,390,4642,74.691
0.332707,9106,390,4640,74.691
0.338478,9107,389,4640,74.691
0.342893,9108,388,4640,74.691
0.348544,9108,388,4643,74.691
0.352965,9108,387,4646,74.691
0.358692,9109,387,4650,74.691
0.363107,9109,385,4654,74.691
0.368833,9108,384,4655,74.691
0.373268,9107,383,4657,74.691
0.377689,9106,381,4659,74.691
0.383409,9105,380,4657,74.691
0.387820,9104,379,4654,74.691
0.393525,9102,378,4649,74.691
0.397916,9100,379,4643,74.691
0.403655,9099,378,4643,74.691
0.408065,9099,378,4644,74.691
0.412445,9101,379,4647,74.691
0.418186,9104,380,4651,74.691
0.422605,9108,379,4652,74.691
0.428325,9109,378,4655,74.691
0.432798,9110,376,4656,74.691
0.438454,9110,374,4656,74.691
0.442918,9110,372,4658,74.691
0.448660,9108,373,4657,74.691
0.453083,9107,372,4655,74.691
0.457449,9107,372,4652,74.691
0.463220,9108,372,4649,74.691
0.467562,9109,369,4650,74.691
0.473245,9110,366,4652,74.691
0.477774,9112,363,4654,74.691
0.483440,9112,362,4656,74.691
0.487710,9110,362,4659,74.691
0.492257,9109,364,4660,74.691
0.497965,9107,365,4660,74.691
0.502426,9105,367,4660,74.691
0.508083,9104,368,4657,74.691
0.512525,9103,369,4657,74.691
0.518248,9103,370,4658,74.691
0.522614,9103,371,4658,74.691
0.528330,9103,370,4659,74.691
0.532768,9105,369,4660,74.691
0.537166,9106,368,4659,74.691
0.542931,9109,369,4659,74.691
0.547411,9111,370,4658,74.691
0.552893,9113,371,4656,74.691
0.557457,9114,371,4654,74.691
0.563205,9114,373,4654,74.691
0.567640,9114,373,4654,74.691
0.572091,9116,374,4656,74.691
0.577560,9117,375,4658,74.691
0.582163,9118,377,4657,74.691
0.587847,9116,378,4654,74.691
0.592297,9115,379,4650,74.691
0.597997,9112,378,4647,74.691
0.602428,9111,377,4648,74.691
0.608184,9108,373,4647,74.691
0.612629,9107,370,4646,74.691
0.616988,9107,368,4643,74.691
0.622711,9107,368,4636,74.691
0.627165,9108,368,4631,74.691
0.632794,9108,368,4629,74.691
0.637219,9109,369,4631,74.691
0.642939,9108,371,4635,74.691
0.647424,9106,371,4638,74.691
0.651783,9104,374,4644,74.691
0.657527,9101,377,4648,74.691
0.661987,9097,378,4651,74.691
0.667637,9094,379,4652,74.691
0.672119,9093,378,4651,74.691
0.677745,9094,376,4650,74.691
0.682217,9098,375,4648,74.691
0.687934,9102,372,4651,74.691
0.692318,9105,371,4653,74.691
0.696696,9106,369,4654,74.691
0.702451,9107,368,4655,74.691
0.706877,9107,368,4657,74.691
0.712615,9107,368,4655,74.691
0.716990,9106,370,4651,74.691
0.722740,9104,373,4647,74.691
0.727157,9103,373,4646,74.691
0.731617,9100,372,4649,74.691
0.737295,9100,370,4652,74.691
0.741687,9100,367,4654,74.691
0.747458,9099,365,4656,74.691
0.751891,9098,362,4655,74.691
0.757425,9098,361,4656,74.691
0.761950,9097,359,4657,74.691
0.767714,9097,358,4655,74.691
0.772085,9094,359,4654,74.691
0.776520,9093,361,4653,74.691
0.782236,9091,362,4651,74.691
0.786713,9088,364,4650,74.691
0.792346,9086,366,4649,74.691
0.796837,9085,366,4649,74.691
0.802491,9084,366,4648,74.691
0.806958,9082,365,4647,74.691
0.811297,9079,365,4647,74.691
0.817022,9077,366,4644,74.691
0.821471,9075,368,4641,74.691
0.827144,9074,369,4636,74.691
0.831631,9075,369,4632,74.691
0.837330,9075,367,4630,74.691
0.841761,9076,366,4629,74.691
0.847440,9076,364,4624,74.691
0.851881,9077,363,4622,74.691
0.856352,9079,364,4623,74.691
0.862015,9081,364,4627,74.691
0.866467,9084,363,4631,74.691
0.872136,9087,364,4634,74.691
0.876551,9088,364,4636,74.691
0.882298,9089,363,4637,74.691
0.886695,9088,361,4637,74.691
0.891071,9088,360,4639,74.691
0.896952,9086,360,4643,74.691
0.901227,9085,363,4647,74.691
0.906963,9085,367,4649,74.691
0.911339,9083,371,4652,74.691
0.917099,9083,374,4653,74.691
0.921479,9083,377,4654,74.691
0.926951,9084,376,4655,74.691
0.931604,9085,373,4657,74.691
0.936032,9087,370,4657,74.691
0.941754,9088,367,4657,74.691
0.946188,9089,367,4657,74.691
0.951909,9090,368,4654,74.691
0.956298,9091,370,4654,74.691
0.962014,9092,372,4651,74.691
0.966476,9093,374,4645,74.691
0.970937,9092,376,4637,74.691
0.976588,9092,376,4629,74.691
0.981004,9090,376,4622,74.691
0.986705,9088,375,4619,74.691
0.991127,9087,373,4619,74.691
0.996579,9085,371,4618,74.691
1.000934,9084,370,4618,74.691
1.006824,9084,369,4620,74.691
1.011092,9084,369,4621,74.691
1.015523,9085,369,4620,74.691
1.021276,9088,368,4623,74.691
1.025650,9089,369,4623,74.691
1.031382,9091,369,4622,74.691
1.035778,9093,369,4622,74.691
1.041743,9093,369,4622,74.691
1.046204,9093,367,4624,74.691
1.050608,9091,367,4625,74.691
1.056373,9090,365,4626,74.691
1.060759,9089,363,4626,74.691
1.066499,9090,363,4626,74.691
1.070905,9090,362,4626,74.691
1.076312,9092,360,4628,74.691
1.080732,9093,361,4630,74.691
1.086501,9094,360,4630,74.691
1.090865,9094,360,4631,74.691
1.095280,9093,363,4633,74.691
1.101014,9091,364,4632,74.691
1.105415,9091,366,4631,74.691
1.111128,9090,368,4634,74.691
1.115567,9092,369,4633,74.691
1.121240,9093,369,4636,74.691
1.125695,9095,370,4640,74.691
1.130110,9097,369,4641,74.691
1.135853,9097,369,4642,74.691
1.140213,9096,369,4642,74.691
1.146020,9095,370,4640,74.691
1.150657,9095,370,4641,74.691
1.156333,9096,371,4641,74.691
1.160571,9097,374,4640,74.691
1.166487,9098,375,4641,74.691
1.170672,9098,377,4642,74.691
1.175012,9096,377,4642,74.691
1.180777,9095,377,4642,74.691
1.185111,9094,376,4642,74.691
1.190900,9093,377,4644,74.691
1.195262,9095,376,4642,74.691
1.200999,9096,376,4643,74.691
1.205563,9096,375,4643,74.691
1.209767,9095,372,4640,74.691
1.215617,9093,369,4639,74.691
1.220025,9091,367,4638,74.691
1.225742,9091,366,4636,74.691
1.230190,9093,363,4635,74.691
1.235925,9096,363,4638,74.691
1.240301,9099,365,4641,74.691
1.246246,9100,367,4643,74.691
1.250706,9100,369,4646,74.691
1.254858,9101,371,4648,74.691
1.260555,9100,370,4647,74.691
1.264966,9099,367,4645,74.691
1.270716,9097,362,4642,74.691
1.275111,9096,359,4641,74.691
1.280835,9096,358,4637,74.691
1.285175,9096,358,4633,74.691
1.289572,9096,359,4633,74.691
1.295675,9096,358,4633,74.691
1.300099,9097,358,4634,74.691
1.305450,9096,357,4638,74.691
1.310222,9094,357,4642,74.691
1.315921,9093,358,4642,74.691
1.320440,9091,357,4642,74.691
1.325787,9090,358,4643,74.691
1.330489,9089,358,4644,74.691
1.334892,9090,357,4643,74.691
1.340653,9092,358,4643,74.691
1.345047,9094,358,4644,74.691
1.350768,9096,359,4644,74.691
1.355154,9096,359,4646,74.691
1.360876,9097,356,4646,74.691
1.365327,9098,356,4643,74.691
1.369700,9099,356,4641,74.691
1.375466,9098,358,4636,74.691
1.379866,9096,358,4629,74.691
1.385573,9093,357,4626,74.691
1.390009,9091,357,4626,74.691
1.395685,9091,356,4627,74.691
1.400099,9092,358,4629,74.691
1.405847,9093,360,4630,74.691
1.410258,9096,361,4633,74.691
1.414658,9097,360,4633,74.691
1.420411,9097,360,4631,74.691
1.424704,9097,360,4629,74.691
1.430242,9097,361,4627,74.691
1.434729,9096,362,4628,74.691
1.440372,9095,362,4629,74.691
1.444791,9096,362,4632,74.691
1.449310,9095,361,4635,74.691
1.455205,9094,361,4639,74.691
1.459626,9094,362,4638,74.691
1.465337,9093,363,4639,74.691
1.469535,9094,365,4639,74.691
1.475504,9096,368,4637,74.691
1.479884,9097,370,4637,74.691
1.485678,9098,372,4636,74.691
1.490060,9099,372,4634,74.691
1.494454,9098,373,4631,74.691
1.500149,9098,374,4630,74.691
1.504613,9099,374,4630,74.691
1.510262,9099,374,4631,74.691
1.514714,9099,374,4631,74.691
1.520428,9099,372,4634,74.691
1.524860,9099,370,4634,74.691
1.529291,9099,369,4637,74.691
1.534986,9099,366,4642,74.691
1.539444,9099,366,4642,74.691
1.545149,9100,365,4641,74.691
1.549593,9102,366,4639,74.691
1.555225,9104,367,4635,74.691
1.559749,9106,367,4631,74.691
1.565414,9108,364,4629,74.691
1.569850,9109,361,4625,74.691
1.574177,9108,357,4623,74.691
1.579999,9106,353,4623,74.691
1.584407,9105,353,4621,74.691
1.590112,9103,354,4620,74.691
1.594521,9103,355,4619,74.691
1.600185,9103,357,4616,74.691
1.604608,9104,359,4615,74.691
1.609009,9104,359,4615,74.691
1.614848,9104,358,4616,74.691
1.619207,9104,357,4617,74.691
1.624877,9104,356,4617,74.691
1.629398,9104,355,4618,74.691
1.635091,9102,354,4619,74.691
1.639175,9101,352,4621,74.691
1.644828,9100,353,4621,74.691
1.649302,9099,355,4620,74.691
1.653723,9100,359,4620,74.691
1.659432,9100,363,4622,74.691
1.664132,9099,365,4626,74.691
1.669899,9097,366,4630,74.691
1.674032,9095,367,4634,74.691
1.680003,9093,367,4633,74.691
1.684447,9091,368,4631,74.691
1.688513,9091,369,4629,74.691
1.694523,9089,368,4629,74.691
1.698935,9087,367,4630,74.691
1.704422,9087,366,4630,74.691
1.709128,9085,364,4631,74.691
1.714784,9085,363,4631,74.691
1.719206,9087,364,4631,74.691
1.724916,9088,365,4631,74.691
1.729375,9090,367,4630,74.691
1.733801,9093,369,4630,74.691
1.739217,9095,370,4631,74.691
1.743903,9096,369,4630,74.691
1.749650,9097,368,4633,74.691
1.753780,9098,367,4635,74.691
1.759796,9097,365,4637,74.691
1.764176,9095,365,4639,74.691
1.768587,9093,364,4638,74.691
1.774286,9091,364,4638,74.691
1.778719,9089,365,4635,74.691
1.784445,9090,364,4634,74.691
1.788548,9092,361,4633,74.691
1.794539,9092,360,4631,74.691
1.799014,9094,358,4630,74.691
1.804444,9096,356,4632,74.691
1.809136,9098,356,4633,74.691
1.813530,9100,354,4635,74.691
1.819334,9102,353,4639,74.691
1.823667,9102,353,4641,74.691
1.829377,9101,353,4644,74.691
1.833811,9100,355,4647,74.691
1.839309,9100,356,4651,74.691
1.843994,9101,358,4654,74.691
1.848351,9103,359,4656,74.691
1.853814,9103,361,4658,74.691
1.858486,9104,361,4657,74.691
1.864208,9103,361,4655,74.691
1.868632,9102,361,4649,74.691
1.874309,9100,359,4644,74.691
1.878767,9099,359,4640,74.691
1.884474,9099,360,4639,74.691
1.888637,9099,360,4639,74.691
1.893308,9099,361,4640,74.691
1.899039,9101,361,4643,74.691
1.903309,9101,361,4644,74.691
1.909191,9103,362,4644,74.691
1.913569,9104,361,4644,74.691
1.919337,9103,359,4640,74.691
1.923690,9103,357,4636,74.691
1.928194,9102,356,4635,74.691
1.933874,9099,354,4633,74.691
1.938029,9099,353,4633,74.691
1.943941,9099,351,4637,74.691
1.948476,9099,348,4638,74.691
1.953935,9101,347,4643,74.691
1.958543,9103,347,4646,74.691
1.964291,9103,347,4649,74.691
1.968684,9103,348,4652,74.691
1.972776,9102,349,4653,74.691
1.978867,9101,349,4648,74.691
1.983211,9099,350,4642,74.691
1.988642,9097,350,4635,74.691
1.993382,9098,350,4632,74.691
1.999091,9097,350,4631,74.691
2.003440,9096,349,4630,74.691
2.007900,9096,348,4631,74.691
2.013627,9096,349,4634,74.691
2.018064,9097,349,4639,74.691
2.023489,9098,349,4642,74.691
2.028111,9099,349,4643,74.691
2.033880,9101,349,4640,74.691
2.038034,9102,352,4635,74.691
2.044023,9104,356,4626,74.691
2.048441,9106,359,4620,74.691
2.052990,9107,360,4615,74.691
2.058562,9107,359,4613,74.691
2.063037,9107,359,4613,74.691
2.068732,9106,359,4612,74.691
2.072872,9105,359,4612,74.691
2.078841,9103,361,4613,74.691
2.083319,9100,362,4612,74.691
2.087503,9099,363,4610,74.691
2.093373,9098,363,4609,74.691
2.097795,9097,362,4608,74.691
2.103338,9097,362,4607,74.691
2.107972,9097,362,4608,74.691
2.113646,9096,362,4607,74.691
2.118051,9096,361,4608,74.691
2.123739,9095,359,4611,74.691
2.128214,9096,357,4616,74.691
2.132657,9097,354,4624,74.691
2.138140,9099,352,4630,74.691
2.142759,9100,349,4635,74.691
2.148462,9103,346,4640,74.691
2.152922,9106,345,4637,74.691
2.158581,9108,343,4634,74.691
2.163007,9111,344,4632,74.691
2.167405,9111,345,4631,74.691
2.173134,9112,345,4632,74.691
2.177581,9112,345,4632,74.691
2.183341,9112,347,4631,74.691
2.187482,9111,348,4631,74.691
2.193431,9109,349,4633,74.691
2.197811,9107,349,4637,74.691
2.203496,9105,349,4637,74.691
2.207978,9105,347,4635,74.691
2.212407,9106,347,4633,74.691
2.218115,9107,348,4630,74.691
2.222253,9108,348,4630,74.691
2.228241,9110,349,4629,74.691
2.232664,9111,352,4629,74.691
2.238093,9111,352,4627,74.691
2.242796,9111,352,4626,74.691
2.247191,9109,351,4627,74.691
2.253000,9107,349,4627,74.691
2.257325,9105,349,4628,74.691
2.263096,9104,349,4629,74.691
2.267512,9104,350,4626,74.691
2.273188,9106,351,4625,74.691
2.277593,9108,351,4621,74.691
2.283364,9110,352,4618,74.691
2.287478,9111,351,4615,74.691
2.292117,9110,352,4613,74.691
2.297936,9109,352,4613,74.691
2.302370,9108,353,4614,74.691
2.308018,9107,353,4614,74.691
2.312411,9107,353,4613,74.691
2.318134,9108,354,4610,74.691
2.322288,9109,354,4609,74.691
2.326967,9110,353,4608,74.691
2.332699,9112,352,4607,74.691
2.337007,9114,351,4609,74.691
2.342843,9113,348,4610,74.691
2.347292,9110,346,4612,74.691
2.353003,9108,346,4615,74.691
2.357356,9106,345,4618,74.691
2.363130,9106,347,4620,74.691
2.367536,9108,347,4624,74.691
2.371723,9109,346,4626,74.691
2.377712,9110,345,4626,74.691
2.382100,9111,344,4625,74.691
2.387567,9110,345,4622,74.691
2.392179,9110,346,4621,74.691
2.397918,9110,347,4620,74.691
2.402302,9110,348,4619,74.691
2.406437,9108,350,4620,74.691
2.412452,9108,351,4620,74.691
2.416904,9109,353,4621,74.691
2.422324,9111,354,4621,74.691
2.427038,9111,354,4622,74.691
2.432786,9112,352,4622,74.691
2.437044,9112,351,4622,74.691
2.442597,9111,350,4625,74.691
2.447318,9113,348,4628,74.691
2.451759,9114,348,4631,74.691
2.457414,9114,348,4633,74.691
2.461880,9116,349,4634,74.691
2.467584,9117,351,4632,74.691
2.471682,9116,352,4632,74.691
2.477692,9115,354,4632,74.691
2.482084,9113,355,4631,74.691
2.486580,9112,356,4633,74.691
2.492273,9112,358,4634,74.691
2.496654,9113,358,4634,74.691
2.502348,9114,357,4633,74.691
2.506804,9113,356,4632,74.691
2.512504,9110,355,4631,74.691
2.516957,9107,354,4629,74.691
2.522642,9102,353,4626,74.691
2.526872,9098,354,4624,74.691
2.531452,9096,356,4621,74.691
2.537205,9095,358,4619,74.691
2.541590,9094,358,4621,74.691
2.547321,9096,358,4621,74.691
2.551731,9096,357,4622,74.691
2.557426,9097,355,4623,74.691
2.561867,9097,353,4625,74.691
2.566282,9098,352,4627,74.691
2.572052,9097,350,4633,74.691
2.576440,9095,350,4636,74.691
2.582150,9095,350,4638,74.691
2.586548,9093,350,4640,74.691
2.592288,9093,349,4643,74.691
2.596709,9096,349,4641,74.691
2.602400,9099,349,4639,74.691
2.606804,9102,349,4638,74.691
2.611203,9103,351,4636,74.691
2.616996,9101,352,4634,74.691
2.621328,9100,355,4634,74.691
2.627045,9099,357,4630,74.691
2.631548,9098,358,4628,74.691
2.637185,9098,358,4629,74.691
2.641621,9099,356,4630,74.691
2.646008,9100,354,4630,74.691
2.651768,9100,351,4632,74.691
2.656187,9101,348,4634,74.691
2.661893,9103,345,4637,74.691
2.666350,9104,343,4641,74.691
2.672037,9106,341,4644,74.691
2.676452,9106,341,4643,74.691
2.682176,9104,341,4642,74.691
2.686628,9102,342,4638,74.691
2.691021,9100,343,4636,74.691
2.696768,9097,344,4634,74.691
2.701145,9096,344,4634,74.691
2.706871,9096,344,4635,74.691
2.711278,9096,344,4636,74.691
2.716956,9096,346,4635,74.691
2.721378,9095,347,4629,74.691
2.725777,9094,348,4624,74.691
2.731578,9093,348,4619,74.691
2.735973,9093,348,4614,74.691
2.741658,9093,346,4617,74.691
2.746094,9094,343,4620,74.691
2.751818,9094,341,4626,74.691
2.756245,9095,340,4631,74.691
2.761912,9093,338,4632,74.691
2.766381,9091,338,4633,74.691
2.770767,9089,340,4634,74.691
2.776501,9088,342,4633,74.691
2.780928,9088,345,4634,74.691
2.786611,9089,348,4634,74.691
2.791074,9090,349,4633,74.691
2.796781,9093,349,4633,74.691
2.801181,9096,350,4631,74.691
2.805550,9098,352,4632,74.691
2.811322,9101,354,4634,74.691
2.815733,9103,355,4637,74.691
2.821401,9104,356,4638,74.691
2.825856,9104,355,4640,74.691
2.831540,9105,354,4641,74.691
2.835954,9107,354,4639,74.691
2.841684,9108,355,4637,74.691
2.846108,9108,356,4635,74.691
2.850522,9108,356,4635,74.691
2.856344,9107,357,4634,74.691
2.860673,9105,356,4634,74.691
2.866355,9106,354,4634,74.691
2.870820,9106,352,4633,74.691
2.876528,9105,350,4633,74.691
