t_s,mx,my,mz,yaw_deg
0.000715,10999,4124,6386,52.751
0.004432,11001,4124,6384,52.751
0.008951,11003,4125,6382,52.751
0.014799,11006,4125,6377,52.751
0.019015,11007,4125,6374,52.751
0.023354,11006,4126,6373,52.751
0.029068,11006,4126,6372,52.751
0.033589,11006,4125,6367,52.751
0.039435,11004,4124,6363,52.751
0.043893,11003,4122,6362,52.751
0.049368,11002,4121,6360,52.751
0.053994,11003,4120,6358,52.751
0.058234,11003,4119,6358,52.751
0.064135,11004,4119,6356,52.751
0.068345,11004,4117,6357,52.751
0.074252,11003,4115,6359,52.751
0.078575,11003,4115,6360,52.751
0.084380,11003,4115,6361,52.751
0.088857,11003,4115,6363,52.751
0.094536,11003,4117,6365,52.751
0.098984,11000,4119,6363,52.751
0.103403,10997,4121,6363,52.751
0.109284,10994,4124,6363,52.751
0.113555,10993,4127,6364,52.751
0.119195,10992,4129,6365,52.751
0.123678,10992,4131,6367,52.751
0.129381,10992,4133,6367,52.751
0.133516,10993,4134,6366,52.751
0.138196,10995,4133,6370,52.751
0.143868,10997,4132,6373,52.751
0.148325,10999,4131,6377,52.751
0.154025,11000,4131,6379,52.751
0.158437,10998,4130,6380,52.751
0.164163,10997,4128,6378,52.751
0.168580,10996,4125,6375,52.751
0.174295,10997,4123,6373,52.751
0.178812,10998,4123,6371,52.751
0.183141,10998,4122,6371,52.751
0.188921,10998,4123,6371,52.751
0.193314,10997,4125,6373,52.751
0.198944,10996,4128,6375,52.751
0.203436,10995,4129,6378,52.751
0.209178,10993,4130,6377,52.751
0.213603,10993,4132,6376,52.751
0.217969,10991,4130,6376,52.751
0.223724,10991,4130,6377,52.751
0.228129,10990,4128,6381,52.751
0.233972,10990,4127,6385,52.751
0.238219,10988,4125,6388,52.751
0.243936,10986,4124,6390,52.751
0.248370,10985,4124,6392,52.751
0.254012,10985,4126,6394,52.751
0.258593,10986,4127,6396,52.751
0.262923,10988,4128,6397,52.751
0.268631,10992,4128,6398,52.751
0.273098,10994,4127,6396,52.751
0.278665,10995,4125,6392,52.751
0.283206,10998,4122,6390,52.751
0.288848,10998,4121,6387,52.751
0.293314,10998,4121,6387,52.751
0.297786,10997,4121,6387,52.751
0.303526,10996,4124,6389,52.751
0.307901,10994,4128,6387,52.751
0.313603,10995,4131,6384,52.751
0.317995,10996,4134,6380,52.751
0.323740,10996,4134,6377,52.751
0.328040,10997,4135,6373,52.751
0.333861,10995,4136,6371,52.751
0.338279,10994,4135,6370,52.751
0.342665,10993,4135,6368,52.751
0.348448,10992,4135,6370,52.751
0.352819,10994,4135,6372,52.751
0.358575,10994,4134,6373,52.751
0.362939,10996,4133,6373,52.751
0.368653,10998,4133,6374,52.751
0.373081,10998,4132,6379,52.751
0.377501,10999,4131,6384,52.751
0.383233,10997,4131,6388,52.751
0.387690,10996,4132,6393,52.751
0.393323,10994,4133,6393,52.751
0.397790,10990,4133,6393,52.751
0.403474,10988,4133,6393,52.751
0.407839,10987,4133,6394,52.751
0.413527,10988,4132,6395,52.751
0.418054,10988,4130,6397,52.751
0.422459,10989,4127,6398,52.751
0.428172,10992,4123,6401,52.751
0.432616,10994,4122,6404,52.751
0.438316,10996,4120,6404,52.751
0.442738,10996,4120,6405,52.751
0.448422,10995,4120,6403,52.751
0.452543,10993,4120,6400,52.751
0.457272,10993,4120,6398,52.751
0.462991,10994,4120,6397,52.751
0.467440,10995,4119,6396,52.751
0.473096,10995,4119,6396,52.751
0.477626,10994,4118,6394,52.751
0.483224,10994,4117,6394,52.751
0.487704,10996,4118,6390,52.751
0.493341,10999,4120,6387,52.751
