second,frequency,level_db
0,3.0,-37.08
0,3.01,-31.09
0,3.02,-22.24
0,3.03,-26.27
0,3.04,-23.3
0,3.05,-32.99
0,3.06,-22.69
0,3.07,-25.82
0,3.08,-21.43
0,3.09,-36.21
0,3.1,-35.75
0,3.11,-39.61
0,3.12,-20.61
0,3.13,-25.74
0,3.14,-22.49
0,3.15,-27.46
0,3.16,-23.77
0,3.17,-25.72
0,3.18,-20.47
0,3.19,-34.75
0,3.2,-29.6
0,3.21,-34.82
0,3.22,-20.4
0,3.23,-23.28
0,3.24,-24.27
0,3.25,-26.3
0,3.26,-21.88
0,3.27,-25.55
0,3.28,-20.72
0,3.29,-34.79
0,3.3,-30.48
0,3.31,-34.48
0,3.32,-23.1
0,3.33,-25.82
0,3.34,-27.11
0,3.35,-32.81
0,3.36,-24.05
0,3.37,-26.29
0,3.38,-21.21
0,3.39,-32.44
0,3.4,-31.66
0,3.41,-35.8
0,3.42,-21.88
0,3.43,-26.03
0,3.44,-22.85
0,3.45,-26.38
0,3.46,-25.03
0,3.47,-24.02
0,3.48,-20.66
0,3.49,-36.61
0,3.5,-34.67
0,3.51,-35.43
0,3.52,-21.47
0,3.53,-24.91
0,3.54,-26.03
0,3.55,-28.57
0,3.56,-24.44
0,3.57,-23.11
0,3.58,-19.87
0,3.59,-38.31
0,3.6,-33.14
0,3.61,-37.88
0,3.62,-20.69
0,3.63,-26.42
0,3.64,-22.08
0,3.65,-26.34
0,3.66,-22.28
0,3.67,-24.42
0,3.68,-21.13
0,3.69,-29.27
0,3.7,-29.59
0,3.71,-33.02
0,3.72,-23.02
0,3.73,-25.49
0,3.74,-23.25
0,3.75,-28.87
0,3.76,-22.54
0,3.77,-27.31
0,3.78,-19.93
0,3.79,-30.05
0,3.8,-38.87
0,3.81,-40.72
0,3.82,-21.01
0,3.83,-24.82
0,3.84,-24.02
0,3.85,-28.7
0,3.86,-24.33
0,3.87,-23.93
0,3.88,-19.82
0,3.89,-36.28
0,3.9,-35.58
0,3.91,-33.95
0,3.92,-20.84
0,3.93,-24.39
0,3.94,-25.18
0,3.95,-26.21
0,3.96,-22.29
0,3.97,-21.66
0,3.98,-18.54
0,3.99,-50.22
0,4.0,-31.9
0,4.01,-28.5
0,4.02,-20.7
0,4.03,-26.61
0,4.04,-21.49
0,4.05,-24.68
0,4.06,-21.81
0,4.07,-25.43
0,4.08,-20.96
0,4.09,-35.18
0,4.1,-27.92
0,4.11,-36.47
0,4.12,-22.57
0,4.13,-23.31
0,4.14,-22.54
0,4.15,-25.02
0,4.16,-22.52
0,4.17,-26.54
0,4.18,-22.74
0,4.19,-28.89
0,4.2,-30.23
0,4.21,-32.97
0,4.22,-21.91
0,4.23,-25.39
0,4.24,-25.66
0,4.25,-26.88
0,4.26,-20.85
0,4.27,-24.48
0,4.28,-19.68
0,4.29,-31.48
0,4.3,-32.48
0,4.31,-30.75
0,4.32,-23.06
0,4.33,-26.69
0,4.34,-25.32
0,4.35,-32.03
0,4.36,-22.91
0,4.37,-26.63
0,4.38,-20.61
0,4.39,-33.81
0,4.4,-30.45
0,4.41,-39.31
0,4.42,-20.89
0,4.43,-23.84
0,4.44,-25.3
0,4.45,-31.68
0,4.46,-25.84
0,4.47,-25.34
0,4.48,-21.08
0,4.49,-32.96
0,4.5,-32.16
0,4.51,-48.59
0,4.52,-21.54
0,4.53,-23.33
0,4.54,-26.37
0,4.55,-28.75
0,4.56,-24.52
0,4.57,-23.67
0,4.58,-20.5
0,4.59,-31.84
0,4.6,-28.48
0,4.61,-36.16
0,4.62,-22.55
0,4.63,-24.53
0,4.64,-24.6
0,4.65,-25.59
0,4.66,-22.14
0,4.67,-23.89
0,4.68,-20.86
0,4.69,-32.46
0,4.7,-38.42
0,4.71,-29.8
0,4.72,-21.35
0,4.73,-27.41
0,4.74,-24.5
0,4.75,-28.58
0,4.76,-23.92
0,4.77,-24.42
0,4.78,-21.5
0,4.79,-28.2
0,4.8,-30.92
0,4.81,-44.16
0,4.82,-21.2
0,4.83,-26.3
0,4.84,-23.5
0,4.85,-29.57
0,4.86,-25.01
0,4.87,-22.33
0,4.88,-18.65
0,4.89,-55.31
0,4.9,-27.94
0,4.91,-39.16
0,4.92,-20.94
0,4.93,-23.94
0,4.94,-23.27
0,4.95,-25.65
0,4.96,-21.83
0,4.97,-24.87
0,4.98,-19.7
0,4.99,-39.48
0,5.0,-30.32
0,5.01,-37.86
0,5.02,-22.65
0,5.03,-26.34
0,5.04,-27.36
0,5.05,-32.78
0,5.06,-22.9
0,5.07,-26.57
0,5.08,-22.13
0,5.09,-26.91
0,5.1,-31.34
0,5.11,-31.86
0,5.12,-23.56
0,5.13,-27.31
0,5.14,-25.15
0,5.15,-29.45
0,5.16,-24.16
0,5.17,-23.37
0,5.18,-20.08
0,5.19,-28.49
0,5.2,-33.58
0,5.21,-35.02
0,5.22,-21.63
0,5.23,-23.72
0,5.24,-25.16
0,5.25,-26.46
0,5.26,-23.1
0,5.27,-24.77
0,5.28,-20.16
0,5.29,-30.02
0,5.3,-34.49
0,5.31,-35.08
0,5.32,-21.15
0,5.33,-25.42
0,5.34,-25.22
0,5.35,-27.67
0,5.36,-21.94
0,5.37,-22.75
0,5.38,-19.28
0,5.39,-34.23
0,5.4,-27.89
0,5.41,-38.55
0,5.42,-20.99
0,5.43,-23.84
0,5.44,-27.05
0,5.45,-36.77
0,5.46,-24.08
0,5.47,-24.11
0,5.48,-20.02
0,5.49,-36.93
0,5.5,-31.6
0,5.51,-41.48
0,5.52,-21.92
0,5.53,-24.13
0,5.54,-25.86
0,5.55,-28.7
0,5.56,-22.46
0,5.57,-27.89
0,5.58,-21.83
0,5.59,-36.14
0,5.6,-35.9
0,5.61,-30.36
0,5.62,-20.85
0,5.63,-25.92
0,5.64,-23.13
0,5.65,-25.14
0,5.66,-22.75
0,5.67,-26.79
0,5.68,-21.01
0,5.69,-30.66
0,5.7,-34.91
0,5.71,-34.6
0,5.72,-21.62
0,5.73,-26.26
0,5.74,-23.03
0,5.75,-28.8
0,5.76,-24.06
0,5.77,-24.18
0,5.78,-20.06
0,5.79,-33.59
0,5.8,-27.08
0,5.81,-34.83
0,5.82,-21.21
0,5.83,-26.05
0,5.84,-24.22
0,5.85,-27.74
0,5.86,-23.15
0,5.87,-23.61
0,5.88,-18.74
0,5.89,-40.27
0,5.9,-28.36
0,5.91,-40.48
0,5.92,-23.22
0,5.93,-25.97
0,5.94,-23.47
0,5.95,-27.89
0,5.96,-24.01
0,5.97,-24.65
0,5.98,-21.41
0,5.99,-29.9
0,6.0,-32.7
0,6.01,-30.08
0,6.02,-21.81
0,6.03,-25.81
0,6.04,-27.46
0,6.05,-40.05
0,6.06,-23.45
0,6.07,-25.25
0,6.08,-20.54
0,6.09,-30.44
0,6.1,-25.39
0,6.11,-35.14
0,6.12,-22.01
0,6.13,-23.71
0,6.14,-24.64
0,6.15,-28.18
0,6.16,-26.89
0,6.17,-22.04
0,6.18,-19.99
0,6.19,-33.36
0,6.2,-32.11
0,6.21,-30.87
0,6.22,-19.15
0,6.23,-21.53
0,6.24,-26.29
0,6.25,-25.5
0,6.26,-25.13
0,6.27,-24.08
0,6.28,-20.52
0,6.29,-30.25
0,6.3,-31.13
0,6.31,-30.38
0,6.32,-20.26
0,6.33,-24.71
0,6.34,-26.17
0,6.35,-27.06
0,6.36,-20.45
0,6.37,-25.52
0,6.38,-20.04
0,6.39,-26.18
0,6.4,-29.28
0,6.41,-36.99
0,6.42,-23.18
0,6.43,-28.57
0,6.44,-23.43
0,6.45,-26.97
0,6.46,-24.3
0,6.47,-24.63
0,6.48,-20.51
0,6.49,-30.33
0,6.5,-34.07
0,6.51,-35.0
