second,frequency,level_db
0,3.0,-32.2
0,3.01,-23.19
0,3.02,-19.35
0,3.03,-19.39
0,3.04,-27.6
0,3.05,-34.56
0,3.06,-24.81
0,3.07,-18.53
0,3.08,-19.93
0,3.09,-25.46
0,3.1,-35.44
0,3.11,-22.8
0,3.12,-19.11
0,3.13,-19.87
0,3.14,-26.39
0,3.15,-35.16
0,3.16,-23.32
0,3.17,-18.78
0,3.18,-19.33
0,3.19,-23.44
0,3.2,-34.05
0,3.21,-23.75
0,3.22,-19.72
0,3.23,-20.34
0,3.24,-29.25
0,3.25,-32.82
0,3.26,-23.73
0,3.27,-18.08
0,3.28,-18.55
0,3.29,-23.3
0,3.3,-29.36
0,3.31,-22.8
0,3.32,-19.66
0,3.33,-20.6
0,3.34,-30.28
0,3.35,-28.37
0,3.36,-22.36
0,3.37,-18.29
0,3.38,-20.45
0,3.39,-25.51
0,3.4,-29.21
0,3.41,-21.5
0,3.42,-18.46
0,3.43,-18.77
0,3.44,-27.35
0,3.45,-34.17
0,3.46,-22.59
0,3.47,-17.88
0,3.48,-18.88
0,3.49,-24.58
0,3.5,-29.14
0,3.51,-21.21
0,3.52,-17.66
0,3.53,-18.41
0,3.54,-28.5
0,3.55,-33.51
0,3.56,-22.98
0,3.57,-17.58
0,3.58,-18.02
0,3.59,-21.02
0,3.6,-26.01
0,3.61,-22.1
0,3.62,-18.9
0,3.63,-19.45
0,3.64,-28.89
0,3.65,-35.83
0,3.66,-24.51
0,3.67,-18.6
0,3.68,-19.31
0,3.69,-23.18
0,3.7,-31.98
0,3.71,-23.43
0,3.72,-18.89
0,3.73,-21.19
0,3.74,-32.42
0,3.75,-35.86
0,3.76,-24.04
0,3.77,-18.21
0,3.78,-19.33
0,3.79,-23.66
0,3.8,-30.33
0,3.81,-22.88
0,3.82,-19.42
0,3.83,-21.17
0,3.84,-32.45
0,3.85,-32.08
0,3.86,-24.82
0,3.87,-18.16
0,3.88,-18.83
0,3.89,-24.27
0,3.9,-32.36
0,3.91,-22.7
0,3.92,-18.91
0,3.93,-20.37
0,3.94,-28.8
0,3.95,-29.57
0,3.96,-22.49
0,3.97,-18.53
0,3.98,-19.96
0,3.99,-25.7
0,4.0,-41.95
0,4.01,-24.35
0,4.02,-19.12
0,4.03,-19.88
0,4.04,-27.8
0,4.05,-33.0
0,4.06,-25.19
0,4.07,-18.84
0,4.08,-20.18
0,4.09,-26.36
0,4.1,-37.03
0,4.11,-22.01
0,4.12,-18.02
0,4.13,-19.58
0,4.14,-28.88
0,4.15,-32.09
0,4.16,-24.41
0,4.17,-18.03
0,4.18,-18.05
0,4.19,-22.77
0,4.2,-32.97
0,4.21,-22.59
0,4.22,-19.2
0,4.23,-20.7
0,4.24,-29.28
0,4.25,-37.24
0,4.26,-23.25
0,4.27,-17.67
0,4.28,-18.6
0,4.29,-24.19
0,4.3,-31.09
0,4.31,-22.28
0,4.32,-18.72
0,4.33,-21.36
0,4.34,-39.84
0,4.35,-30.26
0,4.36,-23.36
0,4.37,-18.4
0,4.38,-20.65
0,4.39,-28.39
0,4.4,-33.15
0,4.41,-22.73
0,4.42,-18.41
0,4.43,-20.03
0,4.44,-27.5
0,4.45,-27.76
0,4.46,-20.71
0,4.47,-16.92
0,4.48,-19.09
0,4.49,-26.58
0,4.5,-35.04
0,4.51,-24.16
0,4.52,-19.6
0,4.53,-20.66
0,4.54,-28.48
0,4.55,-36.06
0,4.56,-25.17
0,4.57,-19.67
0,4.58,-19.98
0,4.59,-22.71
0,4.6,-30.16
0,4.61,-23.03
0,4.62,-19.67
0,4.63,-22.04
0,4.64,-32.88
0,4.65,-30.84
0,4.66,-23.26
0,4.67,-18.25
0,4.68,-19.4
0,4.69,-25.66
0,4.7,-30.3
0,4.71,-20.65
0,4.72,-18.81
0,4.73,-20.94
0,4.74,-29.52
0,4.75,-43.97
0,4.76,-23.8
0,4.77,-18.31
0,4.78,-19.17
0,4.79,-26.84
0,4.8,-29.39
0,4.81,-19.76
0,4.82,-17.04
0,4.83,-19.18
0,4.84,-27.28
0,4.85,-34.73
0,4.86,-23.29
0,4.87,-17.34
0,4.88,-20.41
0,4.89,-27.17
0,4.9,-30.37
0,4.91,-23.12
0,4.92,-19.2
0,4.93,-21.81
0,4.94,-33.15
0,4.95,-30.13
0,4.96,-23.27
0,4.97,-17.78
0,4.98,-19.51
0,4.99,-24.12
0,5.0,-38.2
0,5.01,-24.54
0,5.02,-19.3
0,5.03,-21.71
0,5.04,-28.88
0,5.05,-34.03
0,5.06,-23.48
0,5.07,-18.15
0,5.08,-18.32
0,5.09,-22.34
0,5.1,-26.94
0,5.11,-21.79
0,5.12,-19.29
0,5.13,-20.0
0,5.14,-28.64
0,5.15,-27.3
0,5.16,-23.8
0,5.17,-18.07
0,5.18,-18.88
0,5.19,-23.5
0,5.2,-25.24
0,5.21,-20.93
0,5.22,-19.29
0,5.23,-20.71
0,5.24,-30.12
0,5.25,-27.62
0,5.26,-23.09
0,5.27,-18.95
0,5.28,-20.94
0,5.29,-23.83
0,5.3,-29.37
0,5.31,-22.96
0,5.32,-19.71
0,5.33,-21.13
0,5.34,-30.74
0,5.35,-34.33
0,5.36,-23.95
0,5.37,-18.65
0,5.38,-19.37
0,5.39,-22.38
0,5.4,-27.61
0,5.41,-21.23
0,5.42,-18.81
0,5.43,-21.88
0,5.44,-33.66
0,5.45,-30.1
0,5.46,-23.62
0,5.47,-18.15
0,5.48,-20.0
0,5.49,-26.15
0,5.5,-31.05
0,5.51,-21.61
0,5.52,-18.89
0,5.53,-20.48
0,5.54,-27.86
0,5.55,-30.04
0,5.56,-22.54
0,5.57,-18.38
0,5.58,-19.0
0,5.59,-24.97
0,5.6,-33.49
0,5.61,-22.81
0,5.62,-20.49
0,5.63,-21.93
0,5.64,-30.03
0,5.65,-29.3
0,5.66,-22.69
0,5.67,-17.63
0,5.68,-18.63
0,5.69,-25.35
0,5.7,-32.9
0,5.71,-23.86
0,5.72,-20.65
0,5.73,-22.11
0,5.74,-28.15
0,5.75,-26.1
0,5.76,-22.78
0,5.77,-17.88
0,5.78,-20.07
0,5.79,-25.58
0,5.8,-31.4
0,5.81,-23.43
