t_s,mx,my,mz,yaw_deg
0.000515,3925,2054,4935,52.399
0.000956,3924,2054,4938,52.399
0.003932,3922,2052,4940,52.399
0.009713,3920,2050,4941,52.399
0.014126,3921,2048,4942,52.399
0.019707,3921,2045,4942,52.399
0.024212,3919,2047,4938,52.399
0.031488,3919,2048,4938,52.399
0.035866,3918,2050,4938,52.399
0.038928,3917,2052,4936,52.399
0.047148,3915,2052,4938,52.399
0.050026,3914,2053,4937,52.399
0.054594,3914,2054,4936,52.399
0.060882,3913,2056,4935,52.399
0.064847,3914,2057,4937,52.399
0.069215,3915,2057,4938,52.399
0.074999,3917,2057,4936,52.399
0.079275,3919,2056,4936,52.399
0.084004,3919,2057,4936,52.399
0.089730,3919,2058,4937,52.399
0.094154,3919,2058,4938,52.399
0.099767,3919,2060,4939,52.399
0.104299,3919,2061,4939,52.399
0.109941,3921,2061,4936,52.399
0.114397,3923,2062,4933,52.399
0.118840,3924,2063,4929,52.399
0.124562,3926,2063,4927,52.399
0.128984,3929,2063,4925,52.399
0.134668,3929,2065,4926,52.399
0.139056,3930,2065,4929,52.399
0.144726,3930,2064,4930,52.399
0.149042,3927,2064,4934,52.399
0.154963,3926,2062,4935,52.399
0.159410,3926,2060,4934,52.394
0.163755,3925,2059,4933,52.394
0.169526,3923,2059,4932,52.394
0.173926,3923,2059,4931,52.394
0.179494,3922,2060,4932,52.394
0.183989,3922,2061,4933,52.394
0.189747,3921,2061,4933,52.394
0.194370,3922,2060,4934,52.394
0.198553,3921,2060,4935,52.394
0.204280,3919,2060,4936,52.394
0.208779,3918,2060,4939,52.394
0.214443,3917,2059,4941,52.394
0.218914,3917,2057,4941,52.394
0.224582,3919,2055,4939,52.394
0.228961,3923,2054,4938,52.394
0.234444,3925,2054,4941,52.394
0.239180,3926,2054,4942,52.394
0.243621,3927,2054,4945,52.394
0.249335,3927,2054,4948,52.394
0.253716,3926,2056,4945,52.394
0.259205,3926,2056,4945,52.394
0.263827,3926,2057,4945,52.394
0.269577,3926,2058,4947,52.394
0.274011,3927,2059,4949,52.394
0.278412,3926,2060,4949,52.394
0.284138,3926,2059,4947,52.394
0.288454,3926,2059,4945,52.394
0.294233,3925,2058,4941,52.394
0.298668,3924,2057,4940,52.394
0.304327,3925,2054,4941,52.394
0.308728,3926,2052,4941,52.394
0.314493,3929,2050,4942,52.394
0.318961,3932,2048,4945,52.394
0.323357,3935,2047,4948,52.394
0.329077,3937,2046,4951,52.394
0.333462,3939,2047,4949,52.394
0.339215,3940,2046,4944,52.394
0.343603,3940,2045,4937,52.394
0.349302,3940,2044,4930,52.394
0.353777,3937,2044,4925,52.394
0.358180,3937,2044,4923,52.388
0.363929,3939,2045,4921,52.388
0.368325,3941,2044,4921,52.388
0.373952,3943,2043,4920,52.388
0.378460,3944,2045,4919,52.388
0.384093,3945,2047,4921,52.388
0.388570,3945,2050,4923,52.388
0.394322,3943,2052,4926,52.388
0.398713,3943,2054,4929,52.388
0.403105,3943,2053,4927,52.388
0.408780,3942,2052,4926,52.388
0.413301,3941,2051,4923,52.388
0.418982,3940,2051,4920,52.388
0.423390,3941,2050,4921,52.388
0.429113,3941,2050,4923,52.388
0.433588,3941,2048,4923,52.388
0.437982,3941,2047,4926,52.388
0.443707,3940,2047,4927,52.388
0.448118,3938,2047,4928,52.388
0.453821,3936,2048,4930,52.388
0.458307,3933,2048,4933,52.388
0.463970,3932,2049,4934,52.388
0.468378,3930,2049,4935,52.388
