t_s,mx,my,mz,yaw_deg
0.002874,5958,7183,5767,37.859
0.003194,5959,7182,5767,37.859
0.006636,5960,7182,5768,37.859
0.012382,5959,7183,5766,37.859
0.018362,5958,7186,5765,37.859
0.023509,5956,7189,5765,37.859
0.028706,5956,7191,5763,37.859
0.032952,5955,7190,5761,37.859
0.037032,5956,7188,5760,37.859
0.042089,5955,7186,5758,37.859
0.047447,5956,7184,5758,37.859
0.052556,5956,7184,5759,37.859
0.057416,5956,7185,5760,37.859
0.061779,5956,7185,5759,37.859
0.067432,5956,7186,5758,37.859
0.071922,5957,7186,5756,37.859
0.077652,5957,7186,5754,37.859
0.082054,5957,7186,5749,37.859
0.086515,5958,7184,5745,37.859
0.092249,5956,7182,5743,37.859
0.096568,5955,7181,5743,37.859
0.102430,5952,7180,5745,37.859
0.106947,5950,7180,5748,37.859
0.112454,5949,7180,5749,37.859
0.117120,5948,7179,5749,37.859
0.121499,5948,7178,5750,37.859
0.127269,5949,7177,5752,37.859
0.131686,5949,7177,5753,37.859
0.137233,5949,7177,5759,37.859
0.141774,5948,7178,5763,37.859
0.147545,5947,7178,5768,37.859
0.151933,5947,7178,5773,37.859
0.157642,5949,7177,5775,37.859
0.162143,5951,7178,5773,37.859
0.166467,5952,7179,5771,37.859
0.172216,5955,7180,5768,37.859
0.176593,5956,7182,5766,37.859
0.182315,5956,7183,5768,37.859
0.186752,5954,7183,5769,37.859
0.192452,5954,7185,5770,37.859
0.196888,5952,7186,5771,37.859
0.201305,5952,7185,5769,37.859
0.207027,5951,7185,5766,37.859
0.211435,5952,7182,5762,37.859
0.217130,5954,7181,5760,37.859
0.221602,5955,7180,5759,37.859
0.227247,5956,7180,5759,37.859
0.231705,5958,7182,5759,37.859
0.237411,5958,7183,5756,37.859
0.241853,5959,7183,5754,37.859
0.246237,5959,7183,5752,37.859
0.252048,5960,7183,5751,37.859
0.256396,5961,7183,5752,37.859
0.262069,5961,7184,5753,37.859
0.266564,5962,7185,5753,37.859
0.272245,5964,7185,5753,37.859
0.276625,5964,7184,5752,37.859
0.281062,5963,7184,5750,37.859
0.286765,5961,7184,5749,37.859
0.291210,5959,7184,5750,37.859
0.296853,5958,7183,5750,37.859
0.301391,5958,7183,5753,37.859
0.306853,5958,7183,5755,37.859
0.311157,5959,7184,5756,37.859
0.316911,5960,7185,5759,37.859
0.321348,5960,7185,5759,37.859
0.325701,5959,7184,5760,37.859
0.331493,5958,7186,5759,37.859
0.335874,5958,7187,5760,37.859
0.341578,5957,7189,5761,37.859
0.346017,5955,7191,5761,37.859
0.351700,5954,7191,5759,37.859
0.356134,5951,7191,5757,37.859
0.360538,5949,7191,5759,37.859
0.366370,5951,7190,5762,37.859
0.370682,5951,7190,5766,37.859
0.376376,5952,7190,5770,37.859
0.380867,5953,7188,5775,37.859
0.386533,5953,7185,5775,37.859
0.391018,5953,7182,5775,37.859
0.396673,5953,7179,5775,37.859
0.401158,5952,7179,5770,37.859
0.405584,5953,7180,5768,37.859
0.411220,5954,7181,5766,37.859
0.415628,5954,7182,5767,37.859
0.421358,5955,7184,5770,37.859
0.425836,5957,7184,5774,37.859
0.431440,5958,7185,5776,37.859
0.436205,5959,7185,5774,37.859
0.440667,5960,7183,5772,37.859
0.446166,5960,7180,5772,37.859
0.450776,5959,7180,5772,37.859
0.456484,5959,7180,5775,37.859
0.460901,5960,7182,5777,37.859
0.466599,5959,7185,5779,37.859
0.470999,5959,7186,5779,37.859
0.476721,5960,7187,5777,37.859
0.481152,5961,7188,5777,37.859
0.485569,5962,7190,5779,37.859
0.491275,5961,7190,5780,37.859
0.495760,5959,7191,5783,37.859
0.501381,5958,7193,5786,37.859
0.505819,5955,7195,5789,37.859
0.511577,5955,7197,5792,37.859
0.515959,5953,7197,5797,37.859
0.520407,5950,7197,5800,37.859
0.526169,5949,7196,5800,37.859
0.530306,5948,7195,5802,37.859
0.536245,5949,7193,5799,37.859
0.540747,5949,7192,5800,37.859
0.546386,5950,7194,5802,37.859
0.550843,5950,7194,5801,37.859
0.556539,5949,7196,5800,37.859
0.560956,5949,7198,5798,37.859
0.565370,5949,7200,5794,37.859
0.571154,5947,7201,5790,37.859
0.575492,5946,7201,5787,37.859
0.581228,5944,7201,5786,37.859
0.585597,5944,7199,5785,37.859
0.591321,5944,7198,5783,37.859
0.595763,5943,7197,5782,37.859
0.600180,5944,7198,5779,37.859
0.605885,5945,7199,5776,37.859
0.610345,5946,7199,5774,37.859
0.616053,5946,7197,5770,37.859
0.620485,5946,7194,5767,37.859
0.626170,5945,7190,5766,37.859
0.630614,5944,7189,5764,37.859
0.636296,5946,7189,5763,37.859
0.640784,5947,7190,5762,37.859
0.645151,5946,7191,5760,37.859
0.650913,5946,7191,5759,37.859
0.655056,5943,7192,5758,37.859
0.660961,5941,7191,5756,37.859
0.665397,5941,7189,5757,37.859
0.671121,5942,7187,5760,37.859
0.675572,5941,7185,5767,37.859
0.679944,5942,7184,5774,37.859
0.685685,5943,7183,5779,37.859
0.690162,5943,7183,5779,37.859
0.695761,5944,7183,5774,37.859
0.700218,5945,7183,5769,37.859
0.705915,5946,7181,5766,37.859
0.710341,5950,7180,5767,37.859
0.716074,5954,7178,5768,37.859
0.720468,5957,7177,5771,37.859
0.724904,5959,7178,5770,37.859
0.730628,5958,7179,5768,37.859
0.735029,5958,7181,5770,37.859
0.740747,5955,7182,5770,37.859
0.745155,5956,7183,5774,37.859
0.750851,5955,7183,5777,37.859
0.755306,5955,7184,5778,37.859
0.759766,5957,7184,5781,37.859
0.765435,5955,7182,5784,37.859
0.769890,5955,7181,5784,37.859
0.775526,5954,7180,5784,37.859
0.779992,5953,7179,5784,37.859
0.785660,5954,7179,5780,37.859
0.790119,5958,7181,5777,37.859
0.795828,5960,7182,5774,37.859
0.800247,5962,7185,5769,37.859
0.804487,5962,7184,5770,37.859
0.810430,5963,7184,5770,37.859
0.814795,5963,7184,5772,37.859
0.820501,5962,7184,5773,37.859
0.824927,5963,7183,5776,37.859
0.830634,5963,7183,5778,37.859
0.835101,5963,7182,5780,37.859
0.839531,5965,7181,5785,37.859
0.845203,5968,7180,5789,37.859
0.849680,5970,7180,5792,37.859
0.855274,5971,7179,5794,37.859
0.859785,5969,7179,5793,37.859
0.865433,5964,7180,5794,37.859
0.869924,5961,7179,5793,37.859
0.875618,5959,7180,5792,37.859
0.880079,5957,7180,5792,37.859
0.884427,5957,7181,5790,37.859
0.890219,5955,7182,5786,37.859
0.894569,5954,7184,5785,37.859
0.900267,5952,7185,5783,37.859
0.904715,5951,7185,5786,37.859
0.910414,5951,7182,5790,37.859
0.914839,5951,7181,5792,37.859
0.919361,5950,7181,5795,37.859
0.925012,5951,7180,5795,37.859
0.929428,5953,7181,5794,37.859
0.935071,5956,7181,5796,37.859
0.939599,5961,7182,5795,37.859
0.945228,5963,7182,5791,37.859
0.949645,5965,7185,5786,37.859
0.955368,5967,7186,5781,37.859
0.959837,5966,7188,5772,37.859
0.964187,5965,7188,5764,37.859
0.969942,5964,7189,5759,37.859
0.974356,5961,7189,5755,37.859
0.980092,5960,7187,5756,37.859
0.984500,5959,7185,5760,37.859
0.990259,5958,7181,5762,37.859
0.994317,5957,7175,5764,37.859
0.998767,5957,7173,5766,37.859
1.004525,5957,7172,5767,37.859
1.008878,5958,7171,5769,37.859
1.014571,5960,7174,5772,37.859
1.019029,5960,7175,5774,37.859
1.024789,5960,7177,5774,37.859
1.029161,5959,7178,5774,37.859
1.034904,5959,7179,5772,37.859
1.039577,5955,7180,5771,37.859
1.043672,5954,7180,5768,37.859
1.049728,5951,7182,5766,37.859
1.054156,5946,7181,5767,37.859
1.059785,5943,7180,5764,37.859
1.064248,5941,7180,5760,37.859
1.069995,5940,7179,5757,37.859
1.074383,5940,7180,5752,37.859
1.078768,5941,7183,5749,37.859
1.084516,5940,7186,5749,37.859
1.088957,5939,7190,5750,37.859
1.094620,5938,7193,5751,37.859
1.099091,5938,7194,5752,37.859
1.104738,5939,7194,5753,37.859
1.109216,5939,7195,5756,37.859
1.114942,5942,7196,5757,37.859
1.119339,5945,7197,5759,37.859
1.123780,5947,7198,5758,37.859
1.129462,5948,7197,5757,37.859
1.133900,5948,7195,5759,37.859
1.139572,5949,7194,5762,37.859
1.144071,5947,7193,5763,37.859
1.149722,5948,7192,5764,37.859
1.154182,5948,7191,5763,37.859
1.158602,5948,7190,5762,37.859
1.164319,5947,7190,5766,37.859
1.168727,5946,7190,5768,37.859
1.174378,5946,7190,5770,37.859
1.178877,5945,7189,5771,37.859
1.184500,5948,7188,5770,37.859
1.188950,5951,7186,5769,37.859
1.194690,5954,7186,5769,37.859
1.199102,5956,7185,5765,37.859
1.203502,5956,7185,5762,37.859
1.209323,5954,7188,5759,37.859
1.213359,5952,7190,5754,37.859
1.219124,5950,7193,5752,37.859
1.223533,5950,7195,5750,37.859
1.229232,5949,7195,5748,37.859
1.233591,5950,7195,5749,37.859
1.237982,5952,7194,5750,37.859
1.243825,5953,7193,5753,37.859
1.248198,5955,7192,5754,37.859
1.253878,5957,7190,5755,37.859
1.258317,5958,7187,5755,37.859
1.264054,5958,7184,5752,37.859
1.268438,5958,7183,5752,37.859
1.274216,5956,7183,5754,37.859
1.278599,5954,7184,5755,37.859
1.283052,5952,7186,5757,37.859
1.288808,5951,7187,5760,37.859
1.293412,5951,7188,5758,37.859
1.299102,5952,7188,5755,37.859
1.303550,5954,7190,5752,37.859
1.309282,5955,7192,5748,37.859
1.313690,5958,7194,5746,37.859
1.318080,5958,7194,5746,37.859
1.323817,5956,7193,5744,37.859
1.328255,5955,7193,5743,37.859
1.333902,5952,7192,5744,37.859
1.338412,5951,7191,5744,37.859
1.344083,5951,7192,5745,37.859
1.348490,5951,7192,5746,37.859
1.354218,5952,7192,5744,37.859
1.358645,5952,7192,5745,37.859
1.363062,5954,7193,5747,37.859
1.368776,5954,7194,5745,37.859
1.373252,5954,7196,5744,37.859
1.378627,5956,7196,5745,37.859
1.383360,5958,7195,5747,37.859
1.389129,5960,7194,5754,37.859
1.393197,5962,7193,5760,37.859
1.397853,5962,7191,5766,37.859
1.403594,5959,7191,5772,37.859
1.408006,5957,7190,5774,37.859
1.413655,5956,7190,5774,37.859
1.418139,5957,7189,5773,37.859
1.423821,5959,7187,5772,37.859
1.428268,5959,7186,5774,37.859
1.433996,5960,7185,5774,37.859
1.438398,5963,7186,5774,37.859
1.442828,5964,7187,5773,37.859
1.448587,5965,7188,5771,37.859
1.452967,5966,7188,5767,37.859
1.458645,5966,7185,5764,37.859
1.462976,5964,7185,5760,37.859
1.468825,5962,7185,5756,37.859
