t_s,mx,my,mz,yaw_deg
0.000626,11124,4113,6394,56.074
0.004184,11124,4112,6393,56.074
0.010114,11125,4111,6392,56.074
0.014604,11127,4112,6388,56.074
0.020328,11129,4111,6387,56.069
0.024473,11129,4111,6387,56.069
0.028824,11131,4113,6388,56.069
0.034678,11132,4114,6389,56.069
0.039044,11132,4115,6389,56.069
0.044958,11135,4117,6387,56.069
0.049440,11137,4117,6388,56.069
0.055133,11137,4118,6389,56.069
0.059287,11138,4117,6392,56.069
0.065060,11139,4113,6397,56.069
0.069754,11139,4112,6403,56.069
0.073820,11139,4111,6407,56.069
0.079861,11139,4113,6409,56.069
0.084038,11138,4116,6411,56.063
0.089754,11136,4118,6413,56.063
0.094427,11136,4119,6415,56.063
0.100070,11135,4120,6415,56.063
0.104507,11135,4120,6414,56.063
0.108928,11134,4120,6409,56.063
0.114642,11134,4119,6405,56.063
0.119087,11134,4118,6402,56.063
0.124761,11134,4117,6399,56.063
0.129242,11133,4115,6397,56.063
0.134920,11131,4115,6395,56.063
0.139331,11130,4114,6393,56.063
0.145060,11130,4113,6392,56.063
0.149487,11130,4113,6393,56.063
0.153938,11131,4112,6394,56.063
0.159384,11132,4112,6394,56.063
0.163764,11133,4113,6394,56.069
0.169753,11136,4112,6391,56.069
0.174213,11139,4110,6387,56.069
0.179912,11143,4108,6384,56.069
0.184306,11145,4106,6384,56.069
0.188744,11147,4105,6384,56.069
0.194468,11147,4105,6384,56.069
0.198880,11147,4106,6387,56.069
0.204557,11146,4109,6386,56.069
0.209009,11145,4109,6387,56.069
0.214727,11144,4109,6390,56.069
0.219341,11142,4109,6391,56.069
0.224862,11141,4109,6396,56.069
0.229278,11138,4111,6398,56.069
0.233683,11135,4112,6402,56.069
0.239407,11133,4113,6405,56.063
0.243625,11131,4113,6408,56.063
0.249510,11128,4113,6408,56.063
0.253942,11125,4114,6410,56.063
0.259670,11123,4116,6409,56.063
0.264166,11121,4116,6408,56.063
0.268544,11120,4117,6407,56.063
0.274259,11118,4118,6404,56.063
0.278690,11117,4118,6397,56.063
0.284338,11117,4117,6390,56.063
0.288800,11117,4116,6386,56.063
0.294523,11118,4116,6383,56.063
0.298928,11120,4115,6386,56.063
0.304704,11121,4116,6387,56.063
0.308976,11121,4117,6390,56.063
0.313464,11120,4117,6390,56.063
0.319210,11120,4118,6392,56.063
0.323624,11118,4119,6392,56.063
0.329293,11118,4119,6390,56.063
0.333769,11119,4119,6389,56.063
0.339433,11119,4119,6385,56.063
0.343900,11121,4120,6381,56.063
0.348335,11123,4122,6379,56.063
