t_s,mx,my,mz,yaw_deg
0.000699,9539,2687,5357,73.894
0.003380,9539,2687,5356,73.894
0.009138,9538,2687,5355,73.894
0.013541,9538,2687,5355,73.894
0.017993,9539,2688,5357,73.894
0.023635,9540,2689,5358,73.894
0.028057,9541,2689,5361,73.894
0.037708,9543,2689,5361,73.894
0.038204,9545,2690,5357,73.894
0.045302,9544,2691,5355,73.894
0.048526,9544,2692,5353,73.894
0.054011,9543,2693,5355,73.894
0.059063,9541,2694,5358,73.894
0.063101,9540,2694,5360,73.894
0.068629,9540,2694,5360,73.894
0.073022,9541,2694,5360,73.894
0.078778,9542,2693,5358,73.894
0.083202,9543,2694,5355,73.894
0.088897,9543,2695,5353,73.894
0.093644,9543,2697,5352,73.894
0.098063,9542,2698,5350,73.894
0.103694,9540,2699,5352,73.894
0.108134,9539,2699,5353,73.894
0.113817,9536,2698,5354,73.894
0.118268,9533,2696,5357,73.894
0.123787,9533,2695,5359,73.894
0.128396,9531,2696,5361,73.894
0.132847,9530,2698,5360,73.894
0.138541,9531,2699,5361,73.894
0.142952,9530,2697,5360,73.894
0.148631,9530,2696,5359,73.894
0.153104,9529,2694,5358,73.894
0.158791,9530,2692,5356,73.894
0.163252,9532,2691,5355,73.894
0.168926,9534,2691,5354,73.894
0.173425,9536,2691,5354,73.894
0.177782,9538,2692,5352,73.894
0.183541,9537,2692,5352,73.894
0.187926,9537,2692,5350,73.894
0.193581,9536,2689,5350,73.894
0.198010,9536,2687,5351,73.894
0.203766,9537,2686,5353,73.894
0.208012,9538,2686,5356,73.894
0.212587,9539,2686,5359,73.894
0.218318,9539,2688,5360,73.894
0.222755,9539,2689,5361,73.894
0.228439,9540,2690,5362,73.894
0.232712,9540,2690,5364,73.894
0.238603,9541,2690,5367,73.894
0.243017,9542,2689,5368,73.894
0.248678,9542,2690,5368,73.894
0.253071,9541,2690,5368,73.894
0.257602,9542,2689,5370,73.894
0.263275,9542,2689,5371,73.894
0.267732,9541,2689,5373,73.894
0.273434,9541,2689,5376,73.894
0.277853,9541,2689,5375,73.894
0.283551,9543,2689,5376,73.894
0.287983,9544,2689,5379,73.894
0.292379,9545,2689,5380,73.894
0.298142,9545,2690,5378,73.894
0.302534,9545,2689,5378,73.894
0.308250,9545,2689,5374,73.894
0.312414,9545,2688,5371,73.894
0.318368,9546,2687,5366,73.894
0.322819,9545,2687,5361,73.894
0.328492,9543,2687,5359,73.894
0.332905,9540,2686,5354,73.894
0.337387,9539,2686,5354,73.894
0.343021,9539,2685,5354,73.894
0.347500,9539,2685,5352,73.894
0.353175,9539,2684,5352,73.894
0.357570,9539,2684,5351,73.894
0.363310,9540,2684,5353,73.894
0.367742,9540,2684,5354,73.894
0.372144,9540,2685,5353,73.894
0.377904,9540,2686,5352,73.894
0.382336,9538,2688,5352,73.894
0.388003,9538,2689,5353,73.894
0.392446,9538,2691,5355,73.894
0.398178,9538,2692,5357,73.894
0.402566,9537,2692,5358,73.894
0.408269,9536,2693,5358,73.894
0.412718,9534,2693,5358,73.894
0.417112,9532,2693,5360,73.894
0.422817,9530,2693,5362,73.894
0.427254,9528,2694,5363,73.894
0.432940,9527,2694,5365,73.894
0.437403,9526,2695,5364,73.894
0.443066,9526,2695,5360,73.894
0.447519,9528,2695,5356,73.894
0.451987,9530,2693,5351,73.894
0.457642,9534,2691,5348,73.894
0.462114,9536,2690,5345,73.894
0.467793,9536,2689,5345,73.894
0.472241,9535,2689,5346,73.894
0.477923,9533,2689,5346,73.894
0.482330,9532,2688,5345,73.894
0.488061,9531,2688,5343,73.894
0.492498,9531,2688,5339,73.894
0.496903,9531,2688,5337,73.894
0.502669,9533,2688,5337,73.894
0.507069,9533,2689,5337,73.894
0.512765,9533,2689,5338,73.894
0.517203,9532,2690,5342,73.894
0.522862,9529,2690,5346,73.894
0.527320,9529,2689,5348,73.894
0.531717,9529,2686,5349,73.894
0.537431,9528,2684,5348,73.894
0.541850,9527,2684,5342,73.894
0.547534,9525,2685,5338,73.894
0.552007,9523,2687,5337,73.894
0.557659,9522,2688,5337,73.894
0.562121,9520,2688,5339,73.894
0.567815,9518,2688,5342,73.894
0.572244,9517,2687,5344,73.894
0.576710,9515,2688,5347,73.894
0.582397,9514,2686,5347,73.894
0.586880,9515,2687,5348,73.894
0.592512,9516,2686,5347,73.894
0.596945,9518,2685,5346,73.894
0.602683,9519,2685,5345,73.894
0.607094,9522,2685,5344,73.894
0.611513,9526,2687,5345,73.894
0.617218,9529,2690,5348,73.894
0.621622,9532,2693,5349,73.894
0.627318,9535,2695,5352,73.894
0.631498,9535,2696,5352,73.894
0.637447,9536,2696,5351,73.894
0.641918,9536,2695,5351,73.894
0.647642,9538,2694,5354,73.894
0.651862,9539,2694,5355,73.894
0.656139,9540,2692,5360,73.894
0.661927,9541,2692,5362,73.894
0.666305,9541,2691,5360,73.894
0.672020,9541,2689,5358,73.894
0.676422,9541,2688,5358,73.894
0.682166,9541,2687,5357,73.894
0.686572,9541,2686,5358,73.894
