t_s,mx,my,mz,yaw_deg
0.000546,2722,-4090,-9523,138.010
0.001100,2723,-4091,-9522,138.010
0.006843,2722,-4092,-9525,138.010
0.011303,2722,-4092,-9525,138.010
0.016930,2721,-4092,-9528,138.010
0.021689,2720,-4092,-9531,138.010
0.026077,2720,-4093,-9536,138.010
0.031488,2720,-4094,-9540,138.010
0.035936,2720,-4095,-9544,138.010
0.041665,2720,-4096,-9546,138.010
0.046261,2719,-4097,-9546,138.010
0.052139,2720,-4097,-9546,138.010
0.057941,2720,-4097,-9546,138.010
0.064448,2720,-4097,-9544,138.010
0.070345,2719,-4096,-9545,138.010
0.070852,2718,-4097,-9546,138.010
0.081160,2718,-4098,-9548,138.010
0.081584,2718,-4099,-9550,138.010
0.086615,2719,-4100,-9550,138.010
0.091017,2721,-4100,-9549,138.010
0.096809,2722,-4100,-9545,138.010
0.101187,2722,-4100,-9543,138.010
0.105646,2723,-4101,-9540,138.010
0.111475,2724,-4101,-9536,138.010
0.116076,2726,-4101,-9533,138.010
0.121551,2728,-4101,-9528,138.010
0.126157,2729,-4100,-9528,138.010
0.131845,2730,-4103,-9532,138.010
0.136269,2728,-4104,-9540,138.010
0.140721,2727,-4104,-9544,138.010
0.146349,2726,-4104,-9549,138.010
0.150609,2725,-4103,-9548,138.010
0.156627,2723,-4099,-9552,138.010
0.161042,2721,-4097,-9554,138.010
0.166747,2720,-4096,-9556,138.010
0.171141,2717,-4093,-9559,138.010
0.176880,2718,-4092,-9558,138.010
0.181269,2718,-4091,-9557,138.010
0.185709,2719,-4092,-9552,138.010
0.191412,2721,-4094,-9547,138.010
0.195814,2721,-4097,-9540,138.010
0.201525,2721,-4102,-9534,138.010
0.206162,2720,-4105,-9531,138.010
0.211655,2719,-4109,-9528,138.010
0.216063,2719,-4110,-9529,138.010
0.220595,2719,-4112,-9532,138.010
0.226247,2719,-4111,-9535,138.010
0.230665,2721,-4110,-9538,138.010
0.236333,2722,-4110,-9537,138.010
0.240837,2722,-4110,-9536,138.010
0.246509,2723,-4110,-9535,138.010
0.250660,2722,-4112,-9532,138.010
0.256659,2722,-4115,-9530,138.010
0.261070,2722,-4115,-9530,138.010
0.265488,2722,-4117,-9529,138.010
0.271242,2721,-4116,-9525,138.010
0.275702,2721,-4114,-9525,138.010
0.281266,2722,-4112,-9523,138.010
0.285779,2724,-4111,-9521,138.010
0.291473,2725,-4109,-9520,138.010
0.295950,2727,-4108,-9519,138.010
0.300310,2727,-4108,-9518,138.010
0.306045,2726,-4106,-9522,138.010
0.310476,2725,-4104,-9527,138.010
0.316139,2723,-4101,-9532,138.010
0.320653,2722,-4099,-9533,138.010
0.326356,2721,-4098,-9533,138.010
0.330717,2722,-4098,-9531,138.010
0.336453,2724,-4097,-9529,138.010
0.340643,2724,-4096,-9527,138.010
0.345050,2722,-4096,-9524,138.010
0.350964,2719,-4096,-9524,138.010
0.355426,2717,-4096,-9525,138.010
0.361146,2715,-4096,-9527,138.010
0.365680,2716,-4098,-9531,138.010
0.371338,2718,-4098,-9533,138.010
0.375776,2720,-4099,-9536,138.010
0.380126,2723,-4098,-9537,138.010
0.385636,2725,-4096,-9537,138.010
0.390264,2727,-4094,-9540,138.010
0.395931,2728,-4092,-9544,138.010
0.400429,2729,-4091,-9544,138.010
0.406150,2728,-4091,-9547,138.010
0.410735,2728,-4092,-9549,138.010
0.416264,2728,-4093,-9549,138.010
0.420680,2726,-4095,-9548,138.010
0.425079,2725,-4098,-9546,138.010
0.430819,2723,-4100,-9542,138.010
0.435283,2722,-4102,-9537,138.010
0.440926,2723,-4104,-9533,138.010
0.445442,2726,-4105,-9532,138.010
0.451071,2729,-4105,-9532,138.010
0.455524,2732,-4104,-9535,138.010
0.459946,2735,-4103,-9537,138.010
0.465665,2736,-4104,-9538,138.010
0.470087,2736,-4105,-9537,138.010
0.475811,2735,-4106,-9537,138.010
0.480250,2734,-4108,-9534,138.010
0.485958,2732,-4111,-9532,138.010
0.490400,2732,-4112,-9531,138.010
0.496100,2733,-4113,-9531,138.010
0.500505,2732,-4112,-9534,138.010
0.504895,2734,-4110,-9538,138.010
0.510656,2733,-4110,-9541,138.010
0.514725,2733,-4109,-9543,138.010
0.520771,2733,-4109,-9544,138.010
0.525185,2735,-4110,-9545,138.010
0.530870,2737,-4110,-9546,138.010
0.535316,2737,-4109,-9546,138.010
0.539793,2736,-4107,-9545,138.010
0.545517,2733,-4103,-9542,138.010
0.549939,2730,-4101,-9542,138.010
0.555602,2727,-4099,-9541,138.010
0.560066,2725,-4098,-9540,138.010
0.565730,2723,-4098,-9540,138.010
0.570210,2722,-4097,-9538,138.010
0.575913,2721,-4097,-9535,138.010
0.580319,2720,-4097,-9532,138.010
0.584708,2721,-4097,-9532,138.010
0.590510,2723,-4099,-9535,138.010
0.594847,2724,-4099,-9539,138.010
0.600566,2726,-4100,-9542,138.010
0.604979,2725,-4098,-9543,138.010
0.610917,2724,-4097,-9541,138.010
0.615145,2724,-4098,-9539,138.010
0.619556,2724,-4099,-9537,138.010
0.625299,2725,-4101,-9535,138.010
0.629690,2729,-4103,-9535,138.010
0.635405,2730,-4106,-9539,138.010
0.639905,2731,-4107,-9540,138.010
0.645386,2732,-4106,-9543,138.010
0.649972,2732,-4104,-9544,138.010
0.655670,2733,-4103,-9547,138.010
0.660164,2733,-4102,-9549,138.010
0.664331,2733,-4101,-9551,138.010
0.670306,2733,-4102,-9550,138.010
0.674679,2734,-4103,-9546,138.010
0.680385,2734,-4103,-9541,138.010
0.684871,2735,-4103,-9537,138.010
0.690510,2736,-4103,-9535,138.010
0.694960,2737,-4103,-9532,138.010
0.699353,2738,-4102,-9534,138.010
0.705091,2739,-4101,-9537,138.010
0.709506,2739,-4101,-9538,138.010
0.715170,2739,-4101,-9538,138.010
0.719672,2738,-4103,-9537,138.010
0.725352,2737,-4103,-9534,138.010
0.729777,2736,-4105,-9530,138.010
0.735484,2735,-4106,-9528,138.010
0.739951,2735,-4105,-9527,138.010
0.744345,2734,-4105,-9528,138.010
0.750130,2733,-4103,-9534,138.010
0.754484,2730,-4100,-9539,138.010
0.760172,2728,-4099,-9544,138.010
0.764671,2728,-4099,-9548,138.010
0.770347,2727,-4098,-9548,138.010
0.774761,2726,-4098,-9550,138.010
0.779200,2726,-4098,-9551,138.010
0.785058,2726,-4100,-9551,138.010
0.789304,2727,-4102,-9551,138.010
0.795024,2727,-4103,-9551,138.010
0.799425,2729,-4105,-9549,138.010
0.805143,2730,-4104,-9548,138.010
0.809551,2731,-4104,-9545,138.010
0.815302,2734,-4104,-9544,138.010
0.819722,2734,-4103,-9543,138.010
0.824144,2733,-4103,-9540,138.010
0.829867,2732,-4103,-9537,138.010
0.834280,2732,-4102,-9537,138.010
0.839967,2732,-4102,-9538,138.010
0.844496,2732,-4102,-9538,138.010
0.849896,2732,-4102,-9536,138.010
0.854300,2731,-4102,-9535,138.010
0.858694,2730,-4102,-9535,138.010
0.864424,2730,-4102,-9533,138.010
0.868803,2730,-4101,-9534,138.010
0.874515,2730,-4101,-9534,138.010
0.879003,2730,-4099,-9534,138.010
0.884680,2730,-4098,-9535,138.010
0.889256,2731,-4097,-9538,138.010
0.894892,2731,-4096,-9540,138.010
0.899242,2731,-4096,-9542,138.010
0.903630,2730,-4098,-9543,138.010
0.909403,2730,-4099,-9539,138.010
0.914074,2731,-4101,-9539,138.010
0.919769,2731,-4103,-9539,138.010
0.924108,2731,-4104,-9538,138.010
0.929715,2729,-4105,-9538,138.010
0.934356,2727,-4105,-9539,138.010
0.938794,2727,-4105,-9539,138.010
0.944556,2728,-4103,-9541,138.010
0.948917,2729,-4102,-9547,138.010
0.954623,2732,-4100,-9553,138.010
0.959066,2733,-4098,-9557,138.010
0.964839,2733,-4098,-9560,138.010
0.969219,2735,-4098,-9558,138.010
0.974759,2736,-4098,-9553,138.010
0.979321,2737,-4098,-9549,138.010
0.983743,2739,-4098,-9543,138.010
0.989546,2739,-4098,-9539,138.010
0.993601,2738,-4099,-9535,138.010
0.999269,2735,-4098,-9533,138.010
1.003746,2732,-4095,-9535,138.010
1.009459,2729,-4093,-9535,138.010
1.014044,2727,-4092,-9536,138.010
1.018341,2725,-4091,-9535,138.010
1.024071,2725,-4091,-9532,138.010
1.028454,2725,-4092,-9528,138.010
1.034380,2724,-4094,-9525,138.010
1.038539,2723,-4096,-9525,138.010
1.044496,2722,-4098,-9526,138.010
1.048977,2722,-4099,-9531,138.010
1.054776,2722,-4098,-9539,138.010
1.059182,2722,-4097,-9544,138.010
1.063585,2721,-4094,-9546,138.010
1.068967,2719,-4091,-9544,138.010
1.073375,2719,-4089,-9540,138.010
1.079113,2719,-4089,-9537,138.010
1.083556,2719,-4088,-9535,138.010
1.089290,2718,-4090,-9534,138.010
1.093667,2719,-4092,-9533,138.010
1.098081,2719,-4095,-9531,138.010
1.103798,2719,-4098,-9531,138.010
1.108260,2719,-4101,-9531,138.010
1.113922,2719,-4103,-9530,138.010
1.118372,2719,-4104,-9530,138.010
1.124119,2718,-4104,-9530,138.010
1.128501,2719,-4104,-9529,138.010
1.134566,2719,-4105,-9529,138.010
1.138941,2720,-4105,-9528,138.010
1.143356,2722,-4105,-9527,138.010
1.149094,2723,-4105,-9525,138.010
1.153501,2723,-4102,-9524,138.010
1.159211,2723,-4101,-9521,138.010
1.163681,2722,-4100,-9520,138.010
1.169374,2722,-4099,-9520,138.010
1.173492,2720,-4097,-9522,138.010
1.178152,2717,-4096,-9523,138.010
