t_s,mx,my,mz,yaw_deg
2.524152,4187,2946,-9417,77.503
2.528803,4187,2946,-9421,77.503
2.534255,4186,2946,-9426,77.503
2.538777,4185,2947,-9431,77.503
2.544413,4187,2947,-9432,77.503
2.548730,4188,2946,-9430,77.503
2.553425,4189,2947,-9427,77.503
2.558993,4188,2947,-9426,77.503
2.563442,4188,2946,-9425,77.503
2.569120,4186,2946,-9427,77.503
2.573589,4185,2945,-9427,77.503
2.579290,4184,2943,-9425,77.503
2.583659,4184,2944,-9423,77.503
2.589425,4185,2945,-9419,77.503
2.593835,4185,2946,-9418,77.503
2.598221,4186,2948,-9419,77.503
2.603967,4187,2948,-9422,77.503
2.608386,4186,2946,-9423,77.503
2.614039,4186,2943,-9427,77.503
2.618506,4184,2939,-9427,77.503
2.624239,4181,2936,-9426,77.503
2.628553,4180,2932,-9425,77.503
2.633064,4179,2931,-9424,77.503
2.638812,4178,2929,-9422,77.503
2.643263,4179,2929,-9421,77.503
2.648886,4179,2929,-9423,77.503
2.653389,4181,2928,-9424,77.503
2.659035,4183,2928,-9427,77.503
2.663524,4185,2929,-9431,77.503
2.669179,4186,2927,-9433,77.503
2.673700,4186,2928,-9434,77.503
2.678047,4187,2929,-9436,77.503
2.683827,4187,2929,-9434,77.503
2.688185,4187,2931,-9433,77.503
2.693871,4186,2932,-9434,77.503
2.698327,4186,2933,-9436,77.503
2.704056,4185,2934,-9435,77.503
2.708449,4183,2934,-9437,77.503
2.712869,4184,2933,-9438,77.503
2.718619,4184,2933,-9438,77.503
2.723041,4186,2933,-9441,77.503
2.728806,4188,2933,-9440,77.503
2.733172,4189,2934,-9440,77.503
2.738835,4189,2936,-9442,77.503
2.743364,4187,2939,-9441,77.503
2.748978,4185,2941,-9438,77.503
2.753452,4183,2944,-9435,77.503
2.757889,4182,2944,-9433,77.503
2.763664,4182,2944,-9433,77.503
2.768017,4183,2943,-9436,77.503
2.773727,4184,2942,-9440,77.503
2.778179,4184,2941,-9441,77.503
2.783785,4184,2940,-9442,77.503
2.788270,4184,2941,-9441,77.503
2.792725,4183,2941,-9438,77.503
2.798435,4183,2942,-9436,77.503
2.802817,4183,2942,-9433,77.503
2.808500,4184,2941,-9431,77.503
2.812968,4186,2941,-9429,77.503
2.818709,4187,2941,-9428,77.503
2.823092,4188,2941,-9430,77.503
2.828858,4188,2943,-9433,77.503
2.833235,4187,2943,-9434,77.503
2.837723,4187,2940,-9434,77.503
2.843383,4188,2937,-9432,77.503
2.847842,4188,2933,-9430,77.503
2.853518,4187,2930,-9424,77.503
2.857976,4185,2929,-9423,77.503
2.863685,4182,2930,-9425,77.503
2.868120,4180,2931,-9427,77.503
2.872515,4181,2932,-9428,77.503
2.878243,4184,2933,-9428,77.503
2.882666,4184,2935,-9429,77.503
2.888390,4185,2935,-9428,77.503
2.892781,4186,2936,-9429,77.503
2.898500,4185,2937,-9433,77.503
2.902938,4184,2937,-9435,77.503
2.908623,4184,2935,-9437,77.503
2.913112,4183,2935,-9440,77.503
2.917443,4182,2936,-9443,77.503
2.923207,4183,2936,-9445,77.503
2.927673,4182,2936,-9449,77.503
2.933227,4182,2937,-9453,77.503
2.937763,4181,2937,-9455,77.503
2.943422,4180,2938,-9458,77.503
2.947661,4179,2939,-9460,77.503
2.952255,4179,2940,-9457,77.503
2.958068,4180,2942,-9453,77.503
2.962476,4182,2942,-9447,77.503
2.968173,4184,2942,-9441,77.503
2.972654,4184,2942,-9439,77.503
2.978283,4184,2941,-9438,77.503
