t_s,mx,my,mz,yaw_deg
3.253802,5966,266,-6723,104.694
3.259534,5964,268,-6722,104.694
3.263938,5962,269,-6724,104.694
3.268307,5960,271,-6724,104.694
3.274054,5958,273,-6725,104.694
3.278524,5955,274,-6726,104.694
3.284131,5953,276,-6726,104.694
3.288593,5951,278,-6726,104.694
3.294281,5952,280,-6728,104.694
3.298659,5951,281,-6729,104.694
3.304472,5951,279,-6728,104.689
3.308894,5950,278,-6729,104.694
3.313334,5949,275,-6726,104.694
3.319059,5949,273,-6723,104.694
3.323500,5948,271,-6719,104.694
3.329127,5948,269,-6717,104.694
3.333562,5947,268,-6716,104.694
3.339340,5945,268,-6717,104.694
3.343638,5944,270,-6719,104.694
3.348126,5943,271,-6720,104.694
3.353845,5945,273,-6723,104.694
3.358273,5947,274,-6724,104.694
3.364015,5949,275,-6726,104.694
3.368403,5951,275,-6726,104.694
3.374113,5950,277,-6728,104.689
3.378524,5951,279,-6728,104.689
3.384225,5952,279,-6726,104.694
3.388650,5952,279,-6724,104.694
3.393081,5954,279,-6723,104.689
3.398813,5956,279,-6723,104.689
3.403253,5958,279,-6721,104.689
3.408901,5958,279,-6720,104.689
3.413421,5959,279,-6719,104.694
3.419109,5958,279,-6714,104.689
3.423576,5956,278,-6711,104.689
3.427924,5956,277,-6707,104.689
3.433731,5957,276,-6700,104.689
3.438098,5958,275,-6696,104.689
3.443778,5960,274,-6691,104.689
3.448255,5963,274,-6687,104.689
3.453936,5964,274,-6687,104.689
3.458347,5965,275,-6686,104.689
3.464073,5965,277,-6688,104.689
3.468454,5966,279,-6688,104.689
3.472898,5968,279,-6691,104.689
3.478565,5970,278,-6694,104.689
3.483243,5969,277,-6695,104.689
3.488728,5970,276,-6699,104.689
3.493188,5969,277,-6701,104.683
3.498861,5969,277,-6701,104.683
3.503317,5970,278,-6703,104.683
3.507708,5971,277,-6703,104.683
3.513523,5972,277,-6703,104.683
3.517916,5972,276,-6704,104.683
3.523626,5973,276,-6702,104.683
3.527981,5974,275,-6702,104.683
3.533729,5975,274,-6701,104.683
3.538182,5977,274,-6700,104.683
3.543829,5978,276,-6701,104.683
3.548271,5979,280,-6704,104.683
3.552701,5977,283,-6706,104.683
3.558438,5975,285,-6708,104.678
3.562846,5973,288,-6709,104.678
3.568534,5972,289,-6706,104.678
3.572966,5971,290,-6706,104.678
3.578677,5971,291,-6703,104.678
3.583139,5971,293,-6700,104.678
3.587569,5972,293,-6697,104.678
3.593255,5973,294,-6696,104.678
3.597720,5974,296,-6695,104.678
3.603374,5975,298,-6695,104.678
3.607869,5976,300,-6696,104.672
3.613487,5977,302,-6695,104.672
3.617984,5978,301,-6696,104.672
3.623730,5976,300,-6696,104.672
3.628105,5973,299,-6698,104.672
3.632539,5970,297,-6701,104.672
3.638282,5970,296,-6702,104.672
3.642682,5970,294,-6701,104.667
3.648412,5971,293,-6702,104.667
3.652765,5972,292,-6700,104.667
3.658562,5973,293,-6696,104.667
3.662929,5973,294,-6694,104.667
3.667308,5973,295,-6691,104.667
3.673087,5971,296,-6689,104.667
3.677456,5970,297,-6687,104.667
3.683158,5968,297,-6688,104.667
3.687604,5968,296,-6689,104.661
3.693291,5969,295,-6695,104.661
3.697752,5969,290,-6700,104.661
3.703473,5971,286,-6703,104.661
3.707913,5972,283,-6705,104.661
3.712366,5972,280,-6705,104.661
3.718017,5971,278,-6704,104.661
3.722344,5971,276,-6701,104.661
3.728165,5971,274,-6699,104.661
3.732563,5973,275,-6698,104.661
3.738345,5973,274,-6697,104.661
3.742742,5973,274,-6701,104.661
3.747131,5973,274,-6704,104.661
3.752870,5974,275,-6705,104.661
3.757259,5975,275,-6707,104.661
3.762980,5977,276,-6709,104.661
3.767392,5979,278,-6711,104.661
3.773079,5979,279,-6713,104.661
3.777521,5977,280,-6716,104.661
3.783279,5975,282,-6718,104.661
3.787647,5971,284,-6718,104.661
3.792089,5968,284,-6717,104.661
3.797719,5965,286,-6717,104.656
3.802216,5964,287,-6717,104.656
3.807916,5965,288,-6721,104.656
3.812379,5965,289,-6725,104.656
3.818047,5966,288,-6726,104.656
3.822577,5968,286,-6725,104.656
3.826894,5969,286,-6723,104.656
3.832642,5972,284,-6720,104.656
3.837052,5973,285,-6720,104.656
3.842634,5974,284,-6722,104.656
3.847238,5976,284,-6722,104.656
3.852873,5977,285,-6721,104.656
3.857309,5978,286,-6720,104.656
3.863023,5979,286,-6719,104.656
3.867519,5980,287,-6715,104.656
3.871876,5979,288,-6713,104.656
3.877344,5977,286,-6711,104.656
