# note=Lokacija: Rtanj kafana
# started_utc=2025-11-05T10:03:05Z
t_s,mx,my,mz,yaw_deg
0.000802,5242,2557,-9036,75.190
0.001313,5240,2558,-9038,75.185
0.005699,5239,2559,-9039,75.185
0.010050,5240,2560,-9038,75.185
0.014678,5239,2562,-9037,75.185
0.020290,5240,2564,-9035,75.185
0.024680,5241,2565,-9034,75.185
0.030308,5240,2566,-9037,75.185
0.034816,5239,2567,-9039,75.185
0.040491,5239,2567,-9042,75.185
0.045158,5238,2568,-9045,75.185
0.050847,5238,2569,-9045,75.185
0.055357,5239,2571,-9044,75.185
0.059740,5241,2571,-9045,75.179
0.065278,5241,2570,-9048,75.179
0.069630,5241,2568,-9052,75.179
0.075601,5242,2566,-9053,75.179
0.080119,5242,2563,-9054,75.179
0.085721,5241,2562,-9055,75.179
0.090143,5243,2562,-9054,75.179
0.094645,5243,2561,-9054,75.179
0.100441,5242,2562,-9056,75.185
0.104741,5243,2563,-9058,75.185
0.110466,5242,2564,-9060,75.179
0.114947,5241,2565,-9061,75.179
0.120666,5241,2566,-9061,75.185
0.125049,5239,2566,-9059,75.179
0.130713,5239,2566,-9058,75.179
0.134888,5240,2565,-9058,75.179
0.139523,5242,2564,-9059,75.179
0.145228,5244,2564,-9057,75.179
0.149418,5247,2564,-9057,75.179
0.155380,5250,2564,-9053,75.179
0.159837,5251,2564,-9048,75.179
0.165502,5252,2562,-9043,75.179
0.169840,5252,2560,-9035,75.179
0.174441,5252,2558,-9031,75.179
0.180141,5252,2556,-9024,75.179
0.184567,5251,2556,-9015,75.179
0.190239,5249,2557,-9012,75.179
0.194729,5249,2556,-9009,75.179
0.200412,5248,2555,-9006,75.179
0.204809,5249,2555,-9006,75.179
0.210633,5250,2556,-9006,75.179
0.214975,5250,2556,-9006,75.179
0.219383,5251,2556,-9007,75.179
0.224978,5252,2557,-9007,75.179
0.229535,5252,2558,-9006,75.179
0.235274,5254,2560,-9005,75.179
0.239632,5254,2560,-9003,75.179
0.245379,5253,2560,-9003,75.179
0.249808,5253,2560,-9004,75.179
0.254170,5253,2559,-9005,75.179
0.259942,5253,2559,-9006,75.174
0.264368,5254,2561,-9008,75.174
0.270041,5255,2562,-9010,75.174
0.274543,5256,2563,-9011,75.174
0.280170,5255,2563,-9007,75.174
0.284625,5255,2560,-9001,75.174
0.290353,5254,2558,-8998,75.174
0.294726,5253,2557,-8998,75.174
0.299233,5252,2555,-9004,75.174
0.304929,5250,2553,-9010,75.174
0.309313,5249,2555,-9018,75.174
0.314999,5248,2554,-9023,75.174
0.319418,5248,2552,-9024,75.174
0.325188,5249,2549,-9025,75.174
0.329586,5250,2547,-9025,75.174
0.334008,5250,2544,-9026,75.174
0.339736,5252,2544,-9027,75.174
0.344202,5252,2545,-9029,75.179
0.349830,5253,2545,-9030,75.179
0.354304,5253,2546,-9029,75.179
0.360016,5253,2548,-9029,75.179
0.364630,5254,2549,-9029,75.179
0.370095,5255,2551,-9029,75.179
0.374525,5257,2553,-9029,75.179
0.379030,5258,2554,-9028,75.179
0.384752,5259,2555,-9026,75.179
0.389187,5259,2556,-9024,75.179
0.394840,5259,2557,-9022,75.179
0.399326,5256,2556,-9021,75.179
0.404958,5255,2555,-9020,75.179
0.409379,5253,2554,-9022,75.179
0.413517,5251,2553,-9026,75.179
0.419557,5250,2554,-9030,75.179
0.423925,5249,2555,-9035,75.179
0.429611,5248,2556,-9039,75.179
0.434092,5248,2556,-9042,75.179
0.439847,5247,2556,-9045,75.179
0.444273,5248,2555,-9048,75.179
0.449937,5251,2556,-9052,75.179
0.454376,5253,2556,-9056,75.179
0.458789,5255,2556,-9060,75.179
0.464468,5256,2557,-9063,75.179
0.468967,5256,2558,-9065,75.179
0.474604,5254,2560,-9068,75.185
0.479096,5252,2560,-9067,75.185
0.484824,5250,2560,-9066,75.185
0.489240,5248,2559,-9066,75.185
0.493630,5246,2558,-9067,75.185
0.499384,5245,2556,-9070,75.185
0.503812,5244,2555,-9072,75.185
0.509452,5244,2554,-9074,75.185
0.513891,5246,2552,-9074,75.185
0.519611,5248,2553,-9075,75.185
0.523990,5249,2554,-9074,75.185
0.529790,5251,2557,-9071,75.185
0.534161,5253,2558,-9069,75.185
0.538534,5253,2559,-9067,75.185
0.544309,5254,2558,-9063,75.185
0.548724,5255,2557,-9059,75.185
0.554428,5256,2558,-9054,75.185
0.558835,5257,2560,-9049,75.185
0.564588,5256,2562,-9047,75.185
0.568956,5253,2564,-9044,75.185
0.573446,5251,2562,-9042,75.185
0.578866,5250,2560,-9042,75.190
0.583335,5250,2559,-9042,75.185
0.589258,5249,2558,-9043,75.185
0.593704,5247,2558,-9045,75.185
0.599437,5245,2560,-9044,75.185
0.603809,5242,2562,-9044,75.185
0.609583,5239,2564,-9041,75.185
0.613914,5237,2564,-9039,75.185
0.618384,5235,2566,-9037,75.185
0.624073,5234,2568,-9037,75.185
0.628529,5233,2569,-9036,75.185
0.634219,5233,2570,-9037,75.185
0.638670,5235,2569,-9036,75.185
0.644135,5236,2570,-9037,75.185
0.648500,5237,2570,-9036,75.185
