# note=Lokacija: kalenic
# started_utc=2025-10-30T13:58:29Z
t_s,mx,my,mz,yaw_deg
0.000557,6599,1751,-8567,87.319
0.000847,6600,1749,-8570,87.319
0.003960,6600,1749,-8572,87.319
0.008388,6599,1748,-8573,87.319
0.014082,6597,1748,-8572,87.319
0.018447,6598,1749,-8573,87.319
0.024222,6600,1751,-8573,87.319
0.028623,6603,1751,-8577,87.319
0.033031,6604,1749,-8578,87.319
0.038856,6603,1747,-8580,87.319
0.043158,6601,1744,-8579,87.319
0.048970,6599,1742,-8578,87.319
0.053396,6597,1740,-8575,87.319
0.059082,6595,1740,-8574,87.319
0.063524,6595,1739,-8574,87.319
0.069428,6595,1739,-8573,87.319
0.073950,6596,1739,-8574,87.319
0.078313,6598,1739,-8573,87.319
0.084030,6601,1739,-8573,87.319
0.088490,6602,1740,-8576,87.319
0.094162,6602,1742,-8578,87.319
0.098586,6602,1744,-8581,87.319
0.104310,6600,1746,-8584,87.319
0.108695,6599,1746,-8584,87.319
0.113162,6599,1747,-8583,87.319
0.118850,6599,1746,-8581,87.319
0.123259,6599,1746,-8579,87.319
0.128987,6600,1745,-8577,87.319
0.133439,6601,1744,-8576,87.319
0.138913,6601,1743,-8576,87.319
0.143286,6600,1742,-8576,87.319
0.148991,6600,1741,-8578,87.319
0.153386,6599,1741,-8580,87.319
0.157793,6598,1742,-8580,87.319
0.163509,6599,1742,-8579,87.319
0.168009,6599,1746,-8578,87.319
0.173929,6600,1748,-8577,87.319
0.178391,6600,1750,-8577,87.319
0.184112,6599,1751,-8578,87.319
0.188512,6597,1752,-8578,87.319
0.192948,6596,1753,-8580,87.319
0.198676,6595,1756,-8578,87.319
0.202844,6594,1759,-8579,87.319
0.208828,6594,1762,-8583,87.319
0.213211,6595,1764,-8584,87.319
0.218938,6596,1764,-8584,87.319
0.223363,6597,1762,-8583,87.319
0.229056,6597,1760,-8581,87.319
0.233519,6597,1757,-8578,87.319
0.237876,6597,1754,-8576,87.319
