Cluster_Range_Hz,Cluster_Width_Hz,Peak_Freq_Hz,PLV_Peak_Score,Prominence,Mean_Raw_PLV,Cluster_Type,Integrated_PLV_Score,Active_Windows_Count,Site,Prep_Mode
5.9 - 6.3,0.4,6.0,77.62787371114082,50.9,0.459,Sharp Carrier Peak,252.4273295885845,6,blagotincentar_normalized,raw
1.6 - 1.8,0.2,1.7,50.1554411616854,36.4,0.461,Sharp Carrier Peak,110.60104895595575,6,blagotincentar_normalized,raw
8.6 - 8.7,0.1,8.6,50.13753984636905,34.6,0.477,Phase Coherent Band,81.17059979638401,6,blagotincentar_normalized,raw
7.4 - 7.5,0.1,7.5,43.89068257161262,38.4,0.466,Sharp Carrier Peak,79.29942031898639,6,blagotincentar_normalized,raw
4.2 - 4.2,0.0,4.2,47.30269675200373,32.4,0.526,Phase Coherent Band,47.30269675200373,4,blagotincentar_normalized,raw
4.5 - 4.5,0.0,4.5,42.58676204630586,28.6,0.473,Phase Coherent Band,42.58676204630586,6,blagotincentar_normalized,raw
9.3 - 9.3,0.0,9.3,37.180717859560424,22.6,0.465,Phase Coherent Band,37.180717859560424,5,blagotincentar_normalized,raw
6.9 - 6.9,0.0,6.9,34.11030539290331,28.0,0.487,Phase Coherent Band,34.11030539290331,5,blagotincentar_normalized,raw
2.7 - 2.7,0.0,2.7,25.369269494704966,12.6,0.507,Phase Coherent Band,25.369269494704966,4,blagotincentar_normalized,raw
5.7 - 6.4,0.7,6.1,26.082123788120384,11.2,0.401,Phase Coherent Band,164.36214329237117,3,blagotincentar_normalized,diff
6.9 - 7.1,0.2,6.9,28.44469592106184,20.3,0.431,Phase Coherent Band,73.29371757226929,3,blagotincentar_normalized,diff
8.5 - 8.7,0.2,8.6,29.125828133202113,25.3,0.41,Phase Coherent Band,61.55953736252047,2,blagotincentar_normalized,diff
9.8 - 9.8,0.0,9.8,19.227148235791038,15.7,0.385,Phase Coherent Band,19.227148235791038,2,blagotincentar_normalized,diff
1.7 - 1.7,0.0,1.7,16.28318281303152,12.4,0.407,Phase Coherent Band,16.28318281303152,2,blagotincentar_normalized,diff
4.9 - 4.9,0.0,4.9,9.397495783414529,2.0,0.47,Phase Coherent Band,9.397495783414529,1,blagotincentar_normalized,diff
1.0 - 1.8,0.8,1.0,52.73072593740189,12.7,0.512,Phase Coherent Band,332.6766540558371,6,blagotincentar_normalized,spectral_whitening
2.5 - 2.9,0.4,2.5,27.247511020789734,10.6,0.424,Phase Coherent Band,110.34991017821856,3,blagotincentar_normalized,spectral_whitening
8.9 - 9.0,0.1,8.9,23.938943417002285,23.9,0.386,Phase Coherent Band,42.41849163653232,2,blagotincentar_normalized,spectral_whitening
3.5 - 3.5,0.0,3.5,21.346863419821727,14.3,0.427,Phase Coherent Band,21.346863419821727,3,blagotincentar_normalized,spectral_whitening
3.5 - 3.7,0.2,3.6,75.8688533137704,66.9,0.414,Sharp Carrier Peak,149.10154371923468,6,glavejavrh2_normalized,raw
7.5 - 7.7,0.2,7.6,27.891044555640995,14.5,0.437,Phase Coherent Band,78.73728987001115,4,glavejavrh2_normalized,raw
8.5 - 8.5,0.0,8.5,26.62290552754306,18.9,0.444,Phase Coherent Band,26.62290552754306,4,glavejavrh2_normalized,raw
6.3 - 6.3,0.0,6.3,26.192338276013697,12.0,0.437,Phase Coherent Band,26.192338276013697,3,glavejavrh2_normalized,raw
1.3 - 1.3,0.0,1.3,25.165974611041953,13.7,0.419,Phase Coherent Band,25.165974611041953,3,glavejavrh2_normalized,raw
9.0 - 9.2,0.2,9.1,28.66115381001225,24.2,0.399,Phase Coherent Band,51.915426664541165,3,glavejavrh2_normalized,diff
8.4 - 8.5,0.1,8.5,20.710887294669163,11.9,0.413,Phase Coherent Band,37.138062448306826,3,glavejavrh2_normalized,diff
6.2 - 6.3,0.1,6.3,20.119224222293127,16.7,0.398,Phase Coherent Band,31.866347157331482,2,glavejavrh2_normalized,diff
7.0 - 7.1,0.1,7.0,23.33629061234802,15.8,0.393,Phase Coherent Band,31.478011870859486,3,glavejavrh2_normalized,diff
4.5 - 4.6,0.1,4.5,21.125269150695257,21.1,0.423,Phase Coherent Band,29.58345290413679,2,glavejavrh2_normalized,diff
2.1 - 2.2,0.1,2.1,15.18735043225031,7.6,0.367,Phase Coherent Band,29.362360497238534,3,glavejavrh2_normalized,diff
1.0 - 1.3,0.3,1.0,30.23276418507549,20.0,0.505,Phase Coherent Band,95.98885173659448,4,glavejavrh2_normalized,spectral_whitening
8.6 - 8.9,0.3,8.6,24.654837799674283,14.0,0.394,Phase Coherent Band,82.68635112653666,3,glavejavrh2_normalized,spectral_whitening
1.5 - 1.7,0.2,1.6,38.17403531983888,27.9,0.42,Phase Coherent Band,75.5760451391956,4,glavejavrh2_normalized,spectral_whitening
6.3 - 6.4,0.1,6.4,23.92739149880056,19.7,0.384,Phase Coherent Band,34.60165972176085,2,glavejavrh2_normalized,spectral_whitening
3.0 - 3.0,0.0,3.0,15.91907110993366,15.9,0.398,Phase Coherent Band,15.91907110993366,2,glavejavrh2_normalized,spectral_whitening
8.3 - 8.5,0.2,8.4,40.194633100483586,24.1,0.429,Phase Coherent Band,94.45859017406224,4,mauaosnimak2_normalized,raw
9.7 - 9.7,0.0,9.7,38.35719886877644,23.8,0.426,Phase Coherent Band,38.35719886877644,5,mauaosnimak2_normalized,raw
4.0 - 4.0,0.0,4.0,30.478834760705166,17.1,0.435,Phase Coherent Band,30.478834760705166,4,mauaosnimak2_normalized,raw
5.0 - 5.0,0.0,5.0,25.11184604619156,17.6,0.419,Phase Coherent Band,25.11184604619156,4,mauaosnimak2_normalized,raw
7.5 - 7.8,0.3,7.5,24.424415487975658,9.4,0.436,Phase Coherent Band,82.92627688808425,3,mauaosnimak2_normalized,diff
3.2 - 3.4,0.2,3.3,26.585238600540695,12.9,0.395,Phase Coherent Band,55.32332971414802,3,mauaosnimak2_normalized,diff
8.2 - 8.4,0.2,8.3,20.625350963158564,16.4,0.415,Phase Coherent Band,49.84663042575643,2,mauaosnimak2_normalized,diff
2.9 - 3.0,0.1,2.9,20.98070593266514,7.2,0.432,Phase Coherent Band,38.86268170977278,2,mauaosnimak2_normalized,diff
4.7 - 4.8,0.1,4.8,21.10013009700607,21.1,0.418,Phase Coherent Band,37.58347532057951,3,mauaosnimak2_normalized,diff
6.6 - 6.6,0.0,6.6,22.668404265592454,19.4,0.453,Phase Coherent Band,22.668404265592454,2,mauaosnimak2_normalized,diff
1.0 - 1.7,0.7,1.3,34.042959953862535,15.1,0.445,Phase Coherent Band,195.74158722702342,5,mauaosnimak2_normalized,spectral_whitening
2.3 - 2.5,0.2,2.4,26.488096688293062,19.2,0.423,Phase Coherent Band,50.74551022939022,2,mauaosnimak2_normalized,spectral_whitening
4.9 - 5.1,0.2,5.0,23.738089835433147,19.5,0.405,Phase Coherent Band,48.60484549508075,2,mauaosnimak2_normalized,spectral_whitening
8.4 - 8.5,0.1,8.4,22.76031285775576,10.5,0.389,Phase Coherent Band,35.030080748507444,2,mauaosnimak2_normalized,spectral_whitening
7.6 - 7.6,0.0,7.6,19.900723961458844,16.4,0.398,Phase Coherent Band,19.900723961458844,2,mauaosnimak2_normalized,spectral_whitening
3.4 - 3.4,0.0,3.4,3.406664877651697,3.4,0.341,Phase Coherent Band,3.406664877651697,1,mauaosnimak2_normalized,spectral_whitening
6.0 - 6.4,0.4,6.4,44.93122674656833,19.0,0.411,Phase Coherent Band,180.65801724614136,5,otanewainukuvrh1_normalized_timefixed200,raw
8.3 - 8.5,0.2,8.4,44.597480995971694,36.8,0.435,Sharp Carrier Peak,117.5304962416491,4,otanewainukuvrh1_normalized_timefixed200,raw
6.7 - 6.8,0.1,6.7,44.49202479735168,34.6,0.4,Phase Coherent Band,67.94007879588389,5,otanewainukuvrh1_normalized_timefixed200,raw
4.8 - 4.9,0.1,4.8,37.890285107866525,33.4,0.414,Phase Coherent Band,62.04347989645068,4,otanewainukuvrh1_normalized_timefixed200,raw
2.9 - 3.0,0.1,3.0,47.29160116821301,34.8,0.427,Phase Coherent Band,59.79057628630824,3,otanewainukuvrh1_normalized_timefixed200,raw
1.9 - 1.9,0.0,1.9,36.96916063247609,26.7,0.411,Phase Coherent Band,36.96916063247609,4,otanewainukuvrh1_normalized_timefixed200,raw
10.0 - 10.0,0.0,10.0,31.85597252320031,23.0,0.398,Phase Coherent Band,31.85597252320031,4,otanewainukuvrh1_normalized_timefixed200,raw
2.3 - 2.3,0.0,2.3,30.595881947002404,20.4,0.437,Phase Coherent Band,30.595881947002404,3,otanewainukuvrh1_normalized_timefixed200,raw
3.4 - 3.7,0.3,3.6,27.386396809301033,23.8,0.4,Phase Coherent Band,96.05594297491041,3,otanewainukuvrh1_normalized_timefixed200,diff
7.5 - 7.7,0.2,7.6,31.55540328306538,22.4,0.398,Phase Coherent Band,75.69179952533196,4,otanewainukuvrh1_normalized_timefixed200,diff
6.0 - 6.1,0.1,6.1,25.099062823493185,22.0,0.411,Phase Coherent Band,49.31072374778015,2,otanewainukuvrh1_normalized_timefixed200,diff
2.6 - 2.7,0.1,2.6,38.13903247923523,38.1,0.377,Sharp Carrier Peak,48.950470796845345,3,otanewainukuvrh1_normalized_timefixed200,diff
5.6 - 5.6,0.0,5.6,23.06843855836352,19.0,0.384,Phase Coherent Band,23.06843855836352,3,otanewainukuvrh1_normalized_timefixed200,diff
10.0 - 10.0,0.0,10.0,16.714779292429302,12.6,0.418,Phase Coherent Band,16.714779292429302,2,otanewainukuvrh1_normalized_timefixed200,diff
8.3 - 8.6,0.3,8.5,36.24099372773635,28.1,0.372,Phase Coherent Band,118.88248225093622,4,otanewainukuvrh1_normalized_timefixed200,spectral_whitening
9.8 - 10.0,0.2,9.9,37.39591520705404,21.5,0.401,Phase Coherent Band,80.2506032132231,3,otanewainukuvrh1_normalized_timefixed200,spectral_whitening
6.6 - 6.7,0.1,6.7,23.84971853138447,20.5,0.402,Phase Coherent Band,44.20907979652125,2,otanewainukuvrh1_normalized_timefixed200,spectral_whitening
1.3 - 1.4,0.1,1.4,25.887029956171798,9.7,0.361,Phase Coherent Band,43.2996079422234,3,otanewainukuvrh1_normalized_timefixed200,spectral_whitening
