# format,MSMR-1.0
# source,glavejavrh2.csv
# detected_format,clean

t_s,mx,my,mz,yaw_deg
0.000683,7561,938,-9053,105.787
0.003064,7563,939,-9052,105.787
0.007483,7564,940,-9054,105.787
0.013245,7565,941,-9054,105.787
0.017610,7566,942,-9055,105.787
0.023357,7568,943,-9055,105.787
0.027924,7569,944,-9056,105.787
0.033464,7571,942,-9055,105.787
0.037975,7573,940,-9056,105.787
0.043646,7574,937,-9055,105.787
0.048226,7576,934,-9052,105.787
0.052450,7577,935,-9051,105.787
0.058266,7576,936,-9051,105.787
0.062673,7576,938,-9052,105.787
0.068417,7574,940,-9056,105.787
0.076737,7571,941,-9061,105.787
0.078480,7570,941,-9063,105.787
0.084001,7571,939,-9065,105.787
0.087384,7574,937,-9066,105.787
0.094175,7576,935,-9065,105.787
0.098219,7578,934,-9066,105.787
0.103123,7576,935,-9069,105.787
0.107598,7575,936,-9071,105.787
0.113287,7572,937,-9072,105.787
0.117736,7569,937,-9071,105.787
0.123397,7568,937,-9073,105.787
0.128078,7567,939,-9074,105.787
0.132476,7567,939,-9077,105.787
0.138205,7569,940,-9078,105.787
0.142595,7570,941,-9080,105.787
0.148299,7571,940,-9079,105.787
0.152809,7573,940,-9078,105.787
0.158514,7572,940,-9076,105.787
0.162900,7573,941,-9074,105.787
0.167358,7573,941,-9071,105.787
0.173107,7573,940,-9068,105.787
0.177511,7572,940,-9068,105.787
0.183187,7572,940,-9068,105.787
0.187625,7573,941,-9069,105.787
0.193338,7574,942,-9069,105.787
0.197738,7576,942,-9068,105.787
0.203501,7578,942,-9068,105.787
0.207895,7579,943,-9070,105.787
0.212275,7580,945,-9070,105.787
0.217772,7580,947,-9070,105.787
0.222454,7579,948,-9072,105.787
0.228140,7578,947,-9072,105.787
0.232572,7575,945,-9072,105.787
0.238286,7572,943,-9073,105.787
0.242681,7570,940,-9074,105.787
0.247183,7566,939,-9077,105.787
0.252877,7565,941,-9081,105.787
0.257100,7565,942,-9084,105.787
0.262923,7565,943,-9086,105.787
0.267313,7567,946,-9087,105.787
0.273069,7568,947,-9090,105.787
0.277588,7568,950,-9093,105.787
0.283275,7568,953,-9095,105.787
0.287672,7567,956,-9097,105.787
0.292176,7569,959,-9096,105.787
0.297837,7570,960,-9093,105.793
0.302255,7571,960,-9090,105.793
0.307956,7573,961,-9087,105.793
0.312369,7574,961,-9085,105.793
0.318093,7575,960,-9083,105.793
0.322678,7574,960,-9083,105.793
0.326927,7572,958,-9081,105.793
0.332670,7571,955,-9083,105.793
0.337111,7572,953,-9082,105.793
0.342717,7572,949,-9080,105.793
0.347250,7575,947,-9080,105.793
0.352923,7576,944,-9079,105.793
0.357353,7574,942,-9080,105.793
0.363063,7573,942,-9084,105.793
0.367632,7573,942,-9087,105.793
0.372079,7572,943,-9089,105.793
0.377641,7573,944,-9088,105.793
0.382048,7573,946,-9087,105.793
0.387739,7572,947,-9086,105.793
0.392185,7570,947,-9086,105.793
0.397900,7567,948,-9084,105.793
0.402329,7565,948,-9083,105.793
0.406722,7566,949,-9080,105.793
0.412621,7566,949,-9077,105.793
0.416905,7567,948,-9077,105.793
0.422570,7568,946,-9076,105.793
0.426973,7568,946,-9076,105.793
0.432723,7568,945,-9078,105.793
0.437164,7570,946,-9079,105.793
0.442869,7570,947,-9081,105.793
0.447266,7572,946,-9079,105.793
0.451724,7573,945,-9079,105.793
0.457438,7574,942,-9078,105.793
0.461801,7575,939,-9075,105.793
0.467581,7574,937,-9073,105.793
0.472015,7573,934,-9071,105.793
0.477651,7571,933,-9067,105.793
0.482122,7570,934,-9065,105.793
0.486499,7570,934,-9063,105.793
0.492422,7571,935,-9062,105.793
0.496721,7571,938,-9062,105.793
0.502358,7570,940,-9064,105.793
0.506855,7569,942,-9066,105.793
0.512583,7569,944,-9069,105.793
0.516898,7570,944,-9072,105.793
0.522661,7570,943,-9074,105.793
0.527127,7572,944,-9074,105.793
0.531454,7573,943,-9075,105.793
0.537306,7574,943,-9076,105.793
0.541598,7574,944,-9077,105.793
0.547324,7574,943,-9078,105.793
0.551931,7574,944,-9077,105.793
0.557500,7574,945,-9077,105.793
0.561874,7574,944,-9076,105.793
0.566321,7573,943,-9076,105.793
0.572130,7573,944,-9076,105.793
0.576480,7572,944,-9076,105.793
0.582168,7571,947,-9075,105.793
0.586659,7571,950,-9074,105.793
0.592463,7570,951,-9074,105.793
0.596737,7569,950,-9076,105.793
0.602472,7569,949,-9076,105.793
0.606861,7570,947,-9078,105.793
0.611256,7568,945,-9081,105.793
0.617028,7567,944,-9082,105.793
0.621402,7567,943,-9082,105.793
0.627145,7566,943,-9079,105.793
0.631539,7566,941,-9074,105.793
0.637254,7566,939,-9069,105.793
0.641739,7568,938,-9065,105.793
0.646151,7569,939,-9065,105.793
0.651832,7572,941,-9069,105.793
0.656334,7575,944,-9077,105.793
0.661950,7576,946,-9082,105.793
0.666423,7576,946,-9085,105.793
0.672074,7576,944,-9085,105.793
0.676521,7575,944,-9085,105.793
0.682266,7576,944,-9085,105.793
0.686735,7577,942,-9086,105.793
0.691162,7579,942,-9089,105.793
0.696878,7580,942,-9092,105.793
0.701276,7580,943,-9092,105.793
0.706963,7579,943,-9092,105.793
0.711344,7578,944,-9090,105.793
0.717106,7576,944,-9088,105.793
0.721499,7574,947,-9082,105.793
0.725871,7572,950,-9078,105.793
0.731651,7571,952,-9073,105.793
0.736157,7571,954,-9069,105.793
0.741797,7571,954,-9068,105.793
0.746173,7570,954,-9065,105.793
0.751898,7569,954,-9066,105.793
0.756349,7569,955,-9067,105.793
0.762046,7570,955,-9069,105.793
0.766447,7570,955,-9072,105.793
0.770937,7570,954,-9074,105.793
0.776648,7570,952,-9072,105.793
0.781078,7571,950,-9071,105.793
0.786726,7572,948,-9070,105.793
0.791201,7574,945,-9070,105.793
0.796901,7576,943,-9070,105.793
0.801337,7579,941,-9073,105.793
0.805675,7580,941,-9074,105.793
0.811488,7580,941,-9072,105.793
0.815847,7577,942,-9072,105.793
0.821570,7575,943,-9070,105.793
0.825967,7573,943,-9068,105.793
0.831709,7572,942,-9069,105.793
0.836171,7572,942,-9069,105.793
0.841861,7571,940,-9070,105.793
0.846302,7570,938,-9075,105.793
0.850706,7569,936,-9077,105.793
0.856391,7569,935,-9083,105.793
0.860825,7570,935,-9087,105.793
0.866371,7571,937,-9089,105.793
0.871023,7573,938,-9088,105.793
0.876698,7572,939,-9086,105.793
0.881101,7569,940,-9086,105.793
0.885504,7568,941,-9088,105.793
0.891255,7566,942,-9089,105.793
0.895669,7566,944,-9090,105.793
0.901250,7566,945,-9091,105.793
0.905867,7568,945,-9088,105.793
0.911530,7568,943,-9085,105.793
0.915899,7568,940,-9083,105.793
0.921689,7567,938,-9080,105.793
0.926108,7565,936,-9078,105.793
0.930503,7565,933,-9076,105.793
0.936251,7566,931,-9072,105.793
0.940665,7567,932,-9068,105.793
0.946336,7569,932,-9065,105.793
0.950816,7571,933,-9064,105.793
0.956444,7573,934,-9065,105.793
0.960869,7573,934,-9070,105.793
0.965362,7574,935,-9077,105.793
0.971126,7574,936,-9082,105.793
0.975428,7574,938,-9086,105.793
0.981188,7573,939,-9086,105.793
0.985640,7574,941,-9084,105.793
0.991361,7573,942,-9079,105.793
0.995435,7574,942,-9077,105.793
1.001152,7577,943,-9075,105.793
1.005594,7578,943,-9075,105.793
1.009995,7579,943,-9078,105.793
1.015730,7579,943,-9079,105.793
1.020158,7577,941,-9080,105.793
1.025860,7576,940,-9077,105.793
1.030324,7575,939,-9074,105.793
1.036023,7573,939,-9074,105.793
1.040499,7572,940,-9075,105.793
1.045100,7571,940,-9073,105.793
1.050787,7571,940,-9070,105.793
1.055285,7573,940,-9067,105.793
1.060972,7576,939,-9066,105.793
1.065476,7580,939,-9066,105.793
1.071155,7584,941,-9072,105.793
1.075510,7586,942,-9075,105.793
1.081313,7588,944,-9080,105.793
1.085734,7588,944,-9083,105.793
1.090150,7588,943,-9082,105.793
1.095888,7589,943,-9082,105.793
1.100294,7588,944,-9079,105.793
1.105963,7589,944,-9078,105.793
1.110376,7589,947,-9080,105.793
1.116097,7588,947,-9083,105.793
1.120582,7586,945,-9081,105.793
1.124913,7583,943,-9080,105.793
1.130704,7580,941,-9074,105.793
1.135156,7577,942,-9069,105.793
1.140750,7573,942,-9067,105.793
1.145232,7573,944,-9066,105.793
1.150907,7573,946,-9066,105.793
1.155387,7574,948,-9067,105.793
1.161063,7575,950,-9066,105.793
1.165562,7576,952,-9065,105.793
1.169920,7579,954,-9063,105.793
1.175698,7580,953,-9060,105.793
1.180080,7580,951,-9059,105.793
1.185790,7580,951,-9058,105.793
1.190219,7580,950,-9060,105.793
1.195910,7579,952,-9063,105.793
1.200377,7580,954,-9067,105.793
1.204768,7581,954,-9067,105.793
1.210129,7581,955,-9064,105.793
1.214590,7580,955,-9060,105.793
1.220287,7580,955,-9058,105.793
1.224682,7579,957,-9056,105.793
1.230396,7577,957,-9058,105.793
1.234919,7578,956,-9059,105.793
1.240597,7578,956,-9059,105.793
1.245019,7578,954,-9061,105.793
1.249424,7579,952,-9060,105.793
1.255170,7578,950,-9061,105.793
1.259676,7577,948,-9061,105.793
1.265329,7578,946,-9058,105.793
1.269735,7576,946,-9055,105.793
1.275437,7576,946,-9053,105.793
1.279844,7576,946,-9050,105.793
1.284569,7575,945,-9049,105.793
1.290295,7576,942,-9048,105.793
1.294668,7575,941,-9047,105.793
1.300364,7573,938,-9046,105.793
1.304852,7569,936,-9047,105.793
1.310284,7569,936,-9047,105.793
1.314730,7567,938,-9050,105.793
1.320363,7568,940,-9051,105.793
1.324794,7569,943,-9051,105.793
1.329222,7569,944,-9052,105.793
1.334964,7568,944,-9049,105.793
1.339380,7568,943,-9047,105.793
1.345307,7567,943,-9042,105.793
1.349761,7567,942,-9035,105.793
1.355482,7567,941,-9030,105.793
1.360003,7568,940,-9028,105.793
1.364363,7567,939,-9026,105.793
1.370087,7568,940,-9028,105.793
1.374506,7567,940,-9031,105.793
1.380178,7566,941,-9034,105.793
1.384663,7568,942,-9036,105.793
1.390325,7568,941,-9037,105.793
1.394799,7570,940,-9040,105.793
1.400499,7573,940,-9045,105.793
1.404921,7576,940,-9050,105.793
1.409312,7578,940,-9058,105.793
1.415073,7580,939,-9062,105.793
1.419465,7580,937,-9066,105.793
1.425129,7578,936,-9070,105.793
1.429628,7578,935,-9073,105.793
1.435325,7577,935,-9076,105.793
1.439695,7577,936,-9080,105.793
1.444170,7576,937,-9081,105.793
1.449876,7576,936,-9080,105.793
1.454291,7576,937,-9078,105.793
1.460078,7578,937,-9073,105.793
1.464462,7580,936,-9072,105.793
1.470100,7581,936,-9069,105.793
1.474611,7581,937,-9068,105.793
1.480299,7580,937,-9071,105.793
1.484713,7577,937,-9074,105.793
1.489139,7576,938,-9076,105.793
1.494867,7573,938,-9080,105.793
1.499253,7573,938,-9083,105.793
1.505068,7574,938,-9088,105.793
1.509386,7574,938,-9091,105.793
1.515131,7574,938,-9093,105.793
1.519553,7575,937,-9092,105.793
1.523910,7575,936,-9089,105.793
1.529685,7574,936,-9087,105.793
1.534294,7573,936,-9081,105.793
1.539792,7571,938,-9077,105.793
1.544254,7569,938,-9075,105.793
1.549940,7568,939,-9072,105.793
1.554367,7566,940,-9070,105.793
1.560196,7567,940,-9070,105.793
1.564537,7567,942,-9070,105.793
1.568930,7567,944,-9069,105.793
1.574682,7568,946,-9072,105.793
1.579073,7568,947,-9073,105.793
1.584798,7568,949,-9075,105.793
1.589207,7569,949,-9075,105.793
1.594893,7569,948,-9073,105.793
1.599333,7568,949,-9073,105.793
1.603779,7565,950,-9073,105.793
1.609530,7562,951,-9072,105.793
1.613857,7561,950,-9072,105.793
1.619575,7560,950,-9068,105.793
1.624022,7561,947,-9066,105.793
1.629767,7563,945,-9064,105.793
1.634122,7565,944,-9061,105.793
1.639865,7567,943,-9059,105.793
1.644272,7568,945,-9056,105.793
1.648753,7569,946,-9056,105.793
1.654474,7569,947,-9056,105.793
1.658811,7569,949,-9057,105.793
1.664568,7569,950,-9058,105.793
1.669042,7569,950,-9058,105.793
1.674728,7567,951,-9058,105.793
1.679161,7565,950,-9059,105.793
1.683546,7562,949,-9063,105.793
1.689261,7561,949,-9063,105.793
1.693726,7560,949,-9062,105.793
1.699379,7561,946,-9061,105.793
1.703812,7562,942,-9059,105.793
1.709474,7563,940,-9059,105.793
1.713986,7564,938,-9060,105.793
1.719622,7565,938,-9060,105.793
1.723956,7566,939,-9060,105.793
1.728546,7567,940,-9059,105.793
1.734268,7567,938,-9057,105.793
1.738600,7567,937,-9059,105.793
1.744321,7568,935,-9062,105.793
1.748779,7572,934,-9066,105.793
1.754472,7575,934,-9068,105.793
1.758949,7577,933,-9069,105.793
1.763340,7579,934,-9070,105.793
1.769100,7579,932,-9071,105.793
1.773485,7579,931,-9073,105.793
1.778951,7580,929,-9075,105.793
1.783651,7581,928,-9075,105.793
1.789347,7581,926,-9077,105.793
1.793759,7582,925,-9076,105.793
1.799449,7584,923,-9074,105.793
1.803890,7584,923,-9072,105.793
1.808243,7584,924,-9072,105.793
1.814001,7584,926,-9072,105.793
1.818405,7584,929,-9074,105.793
1.824197,7584,931,-9078,105.793
1.828556,7585,932,-9078,105.793
1.834437,7585,933,-9077,105.793
1.838673,7584,935,-9077,105.793
1.842847,7584,936,-9073,105.793
1.848582,7582,938,-9069,105.793
1.853008,7580,939,-9068,105.793
1.858696,7579,940,-9064,105.793
1.863107,7575,940,-9062,105.793
1.868845,7573,939,-9059,105.793
1.873273,7570,938,-9054,105.793
1.878994,7566,937,-9054,105.793
1.883648,7565,936,-9052,105.793
1.888146,7566,935,-9053,105.793
1.893818,7565,935,-9058,105.793
1.898291,7565,934,-9063,105.793
1.903947,7563,934,-9067,105.793
1.908138,7562,935,-9071,105.793
1.913794,7559,937,-9073,105.793
1.918555,7559,937,-9072,105.793
1.923106,7557,936,-9072,105.793
1.928361,7557,936,-9070,105.793
1.933103,7557,934,-9068,105.793
1.938914,7558,934,-9067,105.793
1.942969,7558,936,-9065,105.793
1.948877,7557,938,-9062,105.793
1.953321,7555,940,-9060,105.793
1.958796,7553,941,-9060,105.793
1.963311,7551,941,-9060,105.793
1.967850,7549,940,-9059,105.793
1.973505,7548,940,-9063,105.793
1.977755,7550,939,-9067,105.793
1.983805,7550,940,-9071,105.793
1.988180,7553,940,-9073,105.793
1.993610,7554,941,-9074,105.793
1.997979,7552,941,-9073,105.793
2.002398,7552,941,-9073,105.793
2.008196,7551,942,-9072,105.793
2.012578,7552,945,-9071,105.793
2.018284,7553,948,-9071,105.793
2.022676,7555,948,-9069,105.793
2.028721,7557,949,-9067,105.793
2.033122,7561,949,-9061,105.793
2.038820,7564,947,-9057,105.793
2.043073,7565,947,-9054,105.793
2.047697,7565,945,-9053,105.793
2.053461,7565,941,-9052,105.793
2.057599,7565,940,-9055,105.793
2.063266,7566,939,-9057,105.793
2.067928,7566,937,-9061,105.793
2.073500,7567,938,-9065,105.793
2.078156,7568,937,-9069,105.793
2.082571,7570,936,-9068,105.793
2.088299,7571,935,-9068,105.793
2.092722,7573,934,-9064,105.793
2.098376,7575,933,-9065,105.793
2.102800,7577,934,-9069,105.793
2.108499,7577,935,-9073,105.793
2.112964,7577,936,-9077,105.793
2.118667,7576,936,-9077,105.793
2.123100,7576,935,-9076,105.793
2.127501,7578,934,-9076,105.793
2.133269,7579,935,-9076,105.793
2.137625,7580,937,-9076,105.793
2.143322,7581,939,-9078,105.793
2.147680,7579,943,-9078,105.793
2.153449,7577,947,-9080,105.793
2.157915,7576,949,-9081,105.793
2.162371,7575,950,-9084,105.793
2.168111,7572,951,-9088,105.793
2.172513,7571,952,-9092,105.793
2.178178,7568,953,-9094,105.793
2.182639,7567,954,-9095,105.793
2.188335,7567,956,-9095,105.793
2.192768,7567,957,-9095,105.793
2.198474,7568,956,-9095,105.793
2.202850,7570,954,-9093,105.793
2.207339,7571,953,-9089,105.793
2.213050,7573,951,-9086,105.793
2.217464,7573,950,-9085,105.793
2.223134,7573,950,-9084,105.793
2.227562,7572,950,-9085,105.793
2.233237,7571,949,-9086,105.793
2.237711,7569,949,-9087,105.793
2.242111,7568,950,-9086,105.793
2.247591,7568,949,-9084,105.793
2.252301,7568,948,-9082,105.793
2.257728,7568,945,-9080,105.793
2.262482,7568,944,-9080,105.793
2.267971,7568,943,-9080,105.793
2.272579,7567,941,-9079,105.793
2.278289,7566,941,-9081,105.793
2.282661,7567,942,-9080,105.793
2.287139,7567,942,-9077,105.793
2.292880,7566,942,-9074,105.793
2.297243,7564,943,-9070,105.793
2.302931,7560,944,-9067,105.793
2.307416,7558,944,-9064,105.793
2.313102,7557,946,-9063,105.793
2.317683,7557,945,-9062,105.793
2.321944,7559,944,-9062,105.793
2.327670,7562,942,-9060,105.793
2.332147,7563,941,-9058,105.793
2.337813,7563,941,-9056,105.793
2.342251,7563,942,-9053,105.793
2.347943,7564,944,-9052,105.793
2.352323,7564,946,-9053,105.793
2.358072,7565,947,-9055,105.793
2.362532,7564,947,-9056,105.793
2.366905,7562,946,-9059,105.793
2.372365,7561,946,-9061,105.793
2.376826,7560,947,-9064,105.793
2.382461,7560,949,-9071,105.793
2.386818,7560,950,-9074,105.793
2.392656,7559,950,-9075,105.793
2.397303,7559,950,-9076,105.793
2.401711,7556,949,-9073,105.793
2.407244,7556,946,-9072,105.793
2.411866,7557,944,-9070,105.793
2.417639,7556,943,-9067,105.793
2.422000,7555,942,-9065,105.793
2.427708,7554,944,-9062,105.793
2.432143,7553,947,-9061,105.793
2.437870,7553,949,-9059,105.793
2.442133,7553,951,-9059,105.793
2.446707,7554,952,-9058,105.793
2.452487,7556,952,-9059,105.793
2.456854,7558,951,-9059,105.793
2.462525,7561,950,-9062,105.793
2.467003,7566,948,-9063,105.793
2.472729,7569,946,-9064,105.793
2.477108,7569,944,-9065,105.793
2.481570,7569,940,-9061,105.793
2.487258,7568,937,-9060,105.793
2.491388,7567,935,-9059,105.793
2.497382,7563,934,-9057,105.793
2.501673,7562,933,-9055,105.793
2.507333,7560,932,-9051,105.793
2.511950,7558,932,-9046,105.793
2.517625,7558,930,-9042,105.793
2.522113,7558,929,-9039,105.793
2.526504,7558,929,-9037,105.793
2.532238,7559,928,-9038,105.793
2.536722,7560,928,-9040,105.793
2.542050,7561,927,-9041,105.793
2.546810,7561,928,-9043,105.793
2.552485,7560,931,-9044,105.793
2.556878,7559,932,-9044,105.793
2.561332,7558,935,-9047,105.793
2.567111,7559,937,-9052,105.793
2.571487,7560,939,-9056,105.793
2.577181,7562,939,-9059,105.793
2.581690,7563,937,-9059,105.793
2.587360,7561,938,-9057,105.793
2.591504,7560,939,-9058,105.793
2.597490,7558,939,-9057,105.793
2.601923,7556,940,-9056,105.793
