# format,MSMR-1.0
# source,otanewainukuvrh1_normalized.csv
# note,hardware_locked_200hz_time_axis_batch_repaired
# fixed_fs,200.00
# total_samples,60181

t_s,mx,my,mz,yaw_deg
0.0,10999,4124,6386,52.751
0.005,11001,4124,6384,52.751
0.01,11003,4125,6382,52.751
0.015,11006,4125,6377,52.751
0.02,11007,4125,6374,52.751
0.025,11006,4126,6373,52.751
0.03,11006,4126,6372,52.751
0.035,11006,4125,6367,52.751
0.04,11004,4124,6363,52.751
0.045,11003,4122,6362,52.751
0.05,11002,4121,6360,52.751
0.055,11003,4120,6358,52.751
0.06,11003,4119,6358,52.751
0.065,11004,4119,6356,52.751
0.07,11004,4117,6357,52.751
0.075,11003,4115,6359,52.751
0.08,11003,4115,6360,52.751
0.085,11003,4115,6361,52.751
0.09,11003,4115,6363,52.751
0.095,11003,4117,6365,52.751
0.1,11000,4119,6363,52.751
0.105,10997,4121,6363,52.751
0.11,10994,4124,6363,52.751
0.115,10993,4127,6364,52.751
0.12,10992,4129,6365,52.751
0.125,10992,4131,6367,52.751
0.13,10992,4133,6367,52.751
0.135,10993,4134,6366,52.751
0.14,10995,4133,6370,52.751
0.145,10997,4132,6373,52.751
0.15,10999,4131,6377,52.751
0.155,11000,4131,6379,52.751
0.16,10998,4130,6380,52.751
0.165,10997,4128,6378,52.751
0.17,10996,4125,6375,52.751
0.175,10997,4123,6373,52.751
0.18,10998,4123,6371,52.751
0.185,10998,4122,6371,52.751
0.19,10998,4123,6371,52.751
0.195,10997,4125,6373,52.751
0.2,10996,4128,6375,52.751
0.205,10995,4129,6378,52.751
0.21,10993,4130,6377,52.751
0.215,10993,4132,6376,52.751
0.22,10991,4130,6376,52.751
0.225,10991,4130,6377,52.751
0.23,10990,4128,6381,52.751
0.235,10990,4127,6385,52.751
0.24,10988,4125,6388,52.751
0.245,10986,4124,6390,52.751
0.25,10985,4124,6392,52.751
0.255,10985,4126,6394,52.751
0.26,10986,4127,6396,52.751
0.265,10988,4128,6397,52.751
0.27,10992,4128,6398,52.751
0.275,10994,4127,6396,52.751
0.28,10995,4125,6392,52.751
0.285,10998,4122,6390,52.751
0.29,10998,4121,6387,52.751
0.295,10998,4121,6387,52.751
0.3,10997,4121,6387,52.751
0.305,10996,4124,6389,52.751
0.31,10994,4128,6387,52.751
0.315,10995,4131,6384,52.751
0.32,10996,4134,6380,52.751
0.325,10996,4134,6377,52.751
0.33,10997,4135,6373,52.751
0.335,10995,4136,6371,52.751
0.34,10994,4135,6370,52.751
0.345,10993,4135,6368,52.751
0.35,10992,4135,6370,52.751
0.355,10994,4135,6372,52.751
0.36,10994,4134,6373,52.751
0.365,10996,4133,6373,52.751
0.37,10998,4133,6374,52.751
0.375,10998,4132,6379,52.751
0.38,10999,4131,6384,52.751
0.385,10997,4131,6388,52.751
0.39,10996,4132,6393,52.751
0.395,10994,4133,6393,52.751
0.4,10990,4133,6393,52.751
0.405,10988,4133,6393,52.751
0.41,10987,4133,6394,52.751
0.415,10988,4132,6395,52.751
0.42,10988,4130,6397,52.751
0.425,10989,4127,6398,52.751
0.43,10992,4123,6401,52.751
0.435,10994,4122,6404,52.751
0.44,10996,4120,6404,52.751
0.445,10996,4120,6405,52.751
0.45,10995,4120,6403,52.751
0.455,10993,4120,6400,52.751
0.46,10993,4120,6398,52.751
0.465,10994,4120,6397,52.751
0.47,10995,4119,6396,52.751
0.475,10995,4119,6396,52.751
0.48,10994,4118,6394,52.751
0.485,10994,4117,6394,52.751
0.49,10996,4118,6390,52.751
0.495,10999,4120,6387,52.751
0.5,11000,4122,6383,52.751
0.505,11001,4124,6380,52.751
0.51,11002,4126,6380,52.751
0.515,11002,4127,6378,52.751
0.52,11003,4130,6375,52.751
0.525,11004,4132,6371,52.751
0.53,11005,4133,6368,52.751
0.535,11005,4135,6367,52.751
0.54,11004,4135,6368,52.751
0.545,11003,4134,6371,52.751
0.55,10999,4134,6370,52.751
0.555,10996,4135,6370,52.751
0.56,10993,4135,6370,52.751
0.565,10990,4137,6371,52.751
0.57,10989,4137,6373,52.751
0.575,10989,4137,6379,52.751
0.58,10988,4135,6382,52.751
0.585,10988,4133,6384,52.751
0.59,10988,4132,6388,52.751
0.595,10989,4131,6392,52.751
0.6,10992,4130,6397,52.751
0.605,10994,4130,6401,52.751
0.61,10997,4129,6402,52.751
0.615,11001,4126,6399,52.751
0.62,11003,4123,6400,52.751
0.625,11005,4122,6400,52.751
0.63,11008,4123,6402,52.751
0.635,11009,4126,6403,52.751
0.64,11009,4128,6403,52.751
0.645,11008,4129,6402,52.751
0.65,11006,4129,6402,52.751
0.655,11006,4128,6400,52.751
0.66,11008,4129,6399,52.751
0.665,11007,4129,6397,52.751
0.67,11008,4129,6397,52.751
0.675,11007,4128,6398,52.751
0.68,11005,4126,6399,52.751
0.685,11004,4125,6401,52.751
0.69,11001,4123,6401,52.751
0.695,11000,4121,6399,52.751
0.7,10998,4120,6394,52.751
0.705,10998,4121,6387,52.751
0.71,10998,4122,6380,52.751
0.715,10999,4123,6378,52.751
0.72,11001,4125,6375,52.751
0.725,11001,4127,6375,52.751
0.73,11001,4128,6376,52.751
0.735,11000,4129,6376,52.751
0.74,10998,4130,6377,52.751
0.745,10997,4131,6376,52.751
0.75,10995,4131,6373,52.751
0.755,10995,4132,6371,52.751
0.76,10995,4133,6369,52.751
0.765,10995,4133,6371,52.751
0.77,10996,4133,6375,52.751
0.775,10995,4131,6378,52.751
0.78,10993,4131,6379,52.751
0.785,10992,4131,6381,52.751
0.79,10991,4131,6379,52.751
0.795,10992,4131,6379,52.751
0.8,10994,4132,6380,52.751
0.805,10997,4132,6378,52.751
0.81,11000,4133,6376,52.751
0.815,11003,4133,6373,52.751
0.82,11004,4135,6369,52.751
0.825,11004,4135,6366,52.751
0.83,11004,4134,6367,52.751
0.835,11003,4134,6365,52.751
0.84,11002,4133,6364,52.751
0.845,11000,4132,6364,52.751
0.85,10998,4133,6364,52.751
0.855,10998,4132,6365,52.751
0.86,10996,4132,6367,52.751
0.865,10997,4131,6370,52.751
0.87,10999,4131,6370,52.751
0.875,11001,4130,6370,52.751
0.88,11003,4128,6369,52.751
0.885,11005,4126,6366,52.751
0.89,11007,4125,6366,52.751
0.895,11008,4124,6368,52.751
0.9,11010,4123,6370,52.751
0.905,11010,4123,6375,52.751
0.91,11009,4124,6379,52.751
0.915,11009,4121,6380,52.751
0.92,11009,4120,6379,52.751
0.925,11010,4119,6375,52.751
0.93,11011,4118,6373,52.751
0.935,11014,4117,6373,52.751
0.94,11015,4118,6371,52.751
0.945,11015,4120,6369,52.751
0.95,11016,4120,6368,52.751
0.955,11015,4122,6367,52.745
0.96,11014,4121,6367,52.745
0.965,11013,4121,6367,52.745
0.97,11011,4120,6369,52.745
0.975,11007,4121,6368,52.751
0.98,11004,4121,6369,52.751
0.985,11002,4121,6369,52.751
0.99,11000,4121,6368,52.751
0.995,10998,4121,6369,52.751
1.0,10997,4121,6371,52.745
1.005,10996,4121,6374,52.745
1.01,10995,4119,6375,52.751
1.015,10995,4119,6374,52.751
1.02,10995,4120,6376,52.751
1.025,10994,4119,6374,52.756
1.03,10993,4121,6376,52.756
1.035,10993,4120,6378,52.756
1.04,10992,4120,6380,52.756
1.045,10992,4120,6379,52.756
1.05,10993,4119,6381,52.756
1.055,10992,4117,6382,52.756
1.06,10991,4118,6381,52.751
1.065,10990,4119,6382,52.751
1.07,10988,4121,6383,52.751
1.075,10987,4122,6385,52.751
1.08,10987,4123,6388,52.751
1.085,10989,4123,6390,52.756
1.09,10991,4125,6391,52.756
1.095,10993,4127,6391,52.756
1.1,10993,4128,6391,52.756
1.105,10994,4130,6394,52.751
1.11,10994,4130,6397,52.751
1.115,10994,4129,6399,52.751
1.12,10993,4128,6401,52.751
1.125,10993,4127,6403,52.751
1.13,10993,4126,6405,52.751
1.135,10996,4125,6406,52.751
1.14,10998,4125,6404,52.751
1.145,11001,4124,6402,52.751
1.15,11003,4124,6398,52.751
1.155,11004,4123,6396,52.751
1.16,11006,4122,6395,52.751
1.165,11007,4123,6396,52.751
1.17,11006,4122,6395,52.751
1.175,11007,4123,6395,52.751
1.18,11007,4123,6394,52.751
1.185,11008,4122,6394,52.751
1.19,11010,4121,6394,52.751
1.195,11011,4120,6397,52.756
1.2,11012,4118,6399,52.756
1.205,11009,4118,6399,52.756
1.21,11006,4118,6398,52.756
1.215,11002,4120,6397,52.756
1.22,10998,4121,6398,52.756
1.225,10995,4122,6399,52.756
1.23,10994,4124,6401,52.756
1.235,10994,4124,6403,52.751
1.24,10996,4124,6405,52.751
1.245,10997,4124,6407,52.751
1.25,10997,4123,6407,52.751
1.255,10998,4123,6405,52.751
1.26,10999,4123,6402,52.751
1.265,11000,4123,6400,52.751
1.27,11002,4122,6401,52.751
1.275,11005,4121,6404,52.751
1.28,11007,4120,6406,52.751
1.285,11006,4121,6404,52.751
1.29,11005,4121,6401,52.751
1.295,11004,4121,6399,52.751
1.3,11003,4120,6398,52.751
1.305,11004,4118,6399,52.756
1.31,11004,4118,6401,52.756
1.315,11005,4119,6403,52.756
1.32,11004,4118,6404,52.756
1.325,11003,4119,6407,52.756
1.33,11001,4118,6407,52.756
1.335,10999,4119,6404,52.762
1.34,10998,4120,6401,52.762
1.345,10998,4122,6397,52.762
1.35,10999,4124,6394,52.762
1.355,10999,4125,6396,52.762
1.36,10997,4126,6398,52.762
1.365,10995,4127,6400,52.762
1.37,10992,4127,6400,52.762
1.375,10990,4126,6402,52.762
1.38,10988,4123,6401,52.762
1.385,10988,4121,6399,52.762
1.39,10986,4121,6399,52.762
1.395,10986,4122,6400,52.762
1.4,10986,4125,6402,52.756
1.405,10986,4126,6403,52.756
1.41,10986,4126,6401,52.756
1.415,10985,4127,6397,52.756
1.42,10983,4127,6392,52.756
1.425,10981,4127,6391,52.756
1.43,10979,4127,6392,52.756
1.435,10980,4125,6393,52.756
1.44,10980,4124,6394,52.756
1.445,10980,4122,6396,52.756
1.45,10980,4122,6397,52.756
1.455,10980,4119,6396,52.756
1.46,10980,4117,6399,52.756
1.465,10982,4117,6399,52.756
1.47,10983,4118,6399,52.756
1.475,10985,4120,6402,52.756
1.48,10987,4121,6405,52.756
1.485,10988,4123,6409,52.756
1.49,10989,4122,6410,52.756
1.495,10990,4123,6405,52.756
1.5,10990,4125,6400,52.762
1.505,10990,4127,6397,52.762
1.51,10989,4129,6393,52.762
1.515,10986,4131,6390,52.762
1.52,10985,4133,6385,52.762
1.525,10985,4135,6379,52.762
1.53,10985,4138,6374,52.762
1.535,10986,4139,6370,52.762
1.54,10988,4139,6370,52.762
1.545,10987,4138,6372,52.762
1.55,10987,4136,6374,52.756
1.555,10988,4133,6375,52.756
1.56,10990,4133,6374,52.756
1.565,10990,4132,6373,52.756
1.57,10991,4132,6373,52.756
1.575,10991,4131,6373,52.756
1.58,10989,4130,6376,52.756
1.585,10990,4131,6378,52.756
1.59,10990,4131,6380,52.756
1.595,10991,4131,6381,52.756
1.6,10992,4131,6383,52.756
1.605,10991,4132,6381,52.756
1.61,10992,4131,6381,52.756
1.615,10995,4132,6380,52.756
1.62,10997,4131,6381,52.756
1.625,11001,4129,6382,52.756
1.63,11003,4128,6384,52.756
1.635,11005,4129,6388,52.756
1.64,11004,4131,6388,52.756
1.645,11003,4130,6392,52.756
1.65,11000,4131,6393,52.756
1.655,10997,4130,6391,52.756
1.66,10994,4130,6390,52.756
1.665,10991,4129,6389,52.756
1.67,10989,4129,6389,52.756
1.675,10988,4127,6388,52.756
1.68,10988,4127,6390,52.756
1.685,10988,4127,6391,52.756
1.69,10989,4127,6390,52.756
1.695,10991,4127,6392,52.756
1.7,10992,4125,6390,52.756
1.705,10994,4124,6389,52.756
1.71,10996,4123,6388,52.756
1.715,10997,4123,6386,52.756
1.72,10997,4126,6387,52.756
1.725,10998,4128,6390,52.756
1.73,11000,4129,6392,52.756
1.735,11001,4129,6396,52.756
1.74,11001,4128,6400,52.756
1.745,11000,4128,6399,52.756
1.75,10999,4129,6398,52.751
1.755,10997,4132,6397,52.751
1.76,10996,4135,6396,52.751
1.765,10996,4135,6394,52.751
1.77,10996,4135,6390,52.751
1.775,10997,4134,6384,52.751
1.78,10998,4134,6378,52.751
1.785,10999,4134,6376,52.751
1.79,10999,4134,6376,52.751
1.795,11000,4136,6376,52.751
1.8,10999,4136,6374,52.751
1.805,11000,4135,6372,52.751
1.81,11001,4134,6373,52.751
1.815,11000,4133,6374,52.751
1.82,10998,4132,6375,52.751
1.825,10996,4132,6376,52.751
1.83,10994,4132,6378,52.751
1.835,10991,4133,6376,52.751
1.84,10991,4135,6376,52.751
1.845,10990,4137,6376,52.751
1.85,10989,4138,6376,52.751
1.855,10990,4140,6374,52.751
1.86,10994,4141,6375,52.751
1.865,10999,4143,6375,52.751
1.87,11004,4145,6376,52.751
1.875,11007,4144,6374,52.751
1.88,11008,4142,6373,52.751
1.885,11008,4140,6371,52.751
1.89,11007,4137,6371,52.751
1.895,11007,4134,6373,52.751
1.9,11005,4133,6376,52.751
1.905,11006,4132,6381,52.751
1.91,11005,4132,6386,52.751
1.915,11002,4134,6389,52.751
1.92,11000,4136,6393,52.751
1.925,10997,4139,6395,52.751
1.93,10994,4139,6397,52.751
1.935,10991,4139,6398,52.751
1.94,10989,4139,6398,52.751
1.945,10988,4138,6398,52.751
1.95,10986,4138,6399,52.751
1.955,10986,4139,6398,52.751
1.96,10987,4140,6398,52.751
1.965,10989,4141,6398,52.751
1.97,10993,4141,6396,52.751
1.975,10996,4141,6397,52.751
1.98,10999,4142,6399,52.751
1.985,11001,4143,6401,52.751
1.99,11000,4144,6402,52.751
1.995,10999,4145,6398,52.751
2.0,10998,4146,6396,52.751
2.005,10997,4146,6391,52.751
2.01,10996,4146,6386,52.751
2.015,10998,4146,6383,52.751
2.02,10998,4145,6382,52.751
2.025,10999,4142,6383,52.751
2.03,11000,4139,6383,52.751
2.035,11001,4136,6382,52.751
2.04,11003,4132,6384,52.751
2.045,11004,4130,6386,52.751
2.05,11003,4128,6386,52.751
2.055,11001,4128,6388,52.751
2.06,10998,4128,6390,52.751
2.065,10996,4129,6389,52.751
2.07,10994,4128,6388,52.751
2.075,10994,4130,6388,52.751
2.08,10993,4136,6385,52.751
2.085,10993,4140,6385,52.751
2.09,10991,4145,6385,52.751
2.095,10990,4149,6384,52.751
2.1,10991,4147,6385,52.751
2.105,10991,4146,6385,52.751
2.11,10990,4144,6386,52.751
2.115,10991,4141,6387,52.751
2.12,10991,4138,6388,52.751
2.125,10992,4137,6388,52.751
2.13,10994,4135,6389,52.751
2.135,10995,4134,6388,52.751
2.14,10996,4133,6387,52.751
2.145,10995,4133,6386,52.751
2.15,10994,4131,6385,52.751
2.155,10993,4130,6384,52.751
2.16,10992,4130,6381,52.751
2.165,10992,4130,6380,52.756
2.17,10992,4129,6377,52.756
2.175,10992,4127,6374,52.756
