# format,MSMR-1.0
# source,rtanjvrh1_normalized.csv
# note,hardware_locked_200hz_time_axis_batch_repaired
# fixed_fs,200.00
# total_samples,126630

t_s,mx,my,mz,yaw_deg
0.0,7064,633,-9154,102.431
0.005,7064,635,-9152,102.431
0.01,7065,637,-9150,102.431
0.015,7065,638,-9150,102.431
0.02,7064,638,-9146,102.431
0.025,7064,637,-9142,102.431
0.03,7062,635,-9138,102.431
0.035,7060,633,-9133,102.431
0.04,7058,633,-9130,102.431
0.045,7058,633,-9130,102.431
0.05,7060,630,-9131,102.431
0.055,7063,627,-9134,102.431
0.06,7067,624,-9137,102.431
0.065,7068,623,-9139,102.431
0.07,7068,622,-9142,102.431
0.075,7068,621,-9143,102.431
0.08,7067,621,-9145,102.431
0.085,7066,622,-9146,102.431
0.09,7064,622,-9147,102.431
0.095,7062,624,-9149,102.431
0.1,7060,625,-9146,102.431
0.105,7058,625,-9142,102.431
0.11,7057,627,-9137,102.431
0.115,7056,627,-9134,102.431
0.12,7056,627,-9131,102.431
0.125,7057,625,-9132,102.431
0.13,7058,624,-9136,102.431
0.135,7061,623,-9137,102.431
0.14,7061,621,-9139,102.431
0.145,7061,618,-9140,102.431
0.15,7060,615,-9140,102.431
0.155,7057,613,-9136,102.431
0.16,7055,610,-9133,102.431
0.165,7054,608,-9130,102.431
0.17,7052,609,-9127,102.431
0.175,7050,610,-9127,102.431
0.18,7051,613,-9128,102.437
0.185,7051,615,-9130,102.437
0.19,7052,616,-9133,102.437
0.195,7055,617,-9136,102.437
0.2,7057,617,-9138,102.437
0.205,7059,617,-9138,102.437
0.21,7061,618,-9140,102.437
0.215,7063,619,-9140,102.437
0.22,7064,621,-9139,102.437
0.225,7066,621,-9139,102.437
0.23,7068,624,-9140,102.437
0.235,7070,625,-9141,102.437
0.24,7071,627,-9146,102.437
0.245,7072,629,-9148,102.437
0.25,7072,630,-9149,102.437
0.255,7072,632,-9150,102.437
0.26,7070,632,-9151,102.437
0.265,7069,629,-9149,102.437
0.27,7068,624,-9149,102.437
0.275,7067,620,-9148,102.437
0.28,7067,617,-9144,102.437
0.285,7066,616,-9145,102.437
0.29,7065,619,-9142,102.437
0.295,7063,621,-9141,102.437
0.3,7062,623,-9137,102.437
0.305,7062,624,-9134,102.437
0.31,7063,625,-9131,102.437
0.315,7066,624,-9129,102.437
0.32,7069,623,-9132,102.437
0.325,7069,624,-9134,102.437
0.33,7070,624,-9135,102.437
0.335,7070,627,-9137,102.437
0.34,7070,629,-9138,102.437
0.345,7070,632,-9139,102.437
0.35,7070,633,-9139,102.437
0.355,7069,633,-9138,102.437
0.36,7068,632,-9134,102.437
0.365,7068,632,-9130,102.437
0.37,7068,632,-9127,102.437
0.375,7067,630,-9128,102.437
0.38,7067,628,-9129,102.437
0.385,7067,626,-9132,102.437
0.39,7067,623,-9136,102.437
0.395,7066,622,-9137,102.437
0.4,7066,622,-9137,102.437
0.405,7066,621,-9137,102.437
0.41,7065,621,-9135,102.437
0.415,7063,622,-9131,102.437
0.42,7060,621,-9127,102.437
0.425,7057,620,-9123,102.437
0.43,7055,619,-9122,102.437
0.435,7054,618,-9120,102.437
0.44,7054,617,-9119,102.437
0.445,7055,616,-9119,102.437
0.45,7056,614,-9119,102.437
0.455,7058,614,-9124,102.437
0.46,7059,614,-9128,102.437
0.465,7059,615,-9132,102.437
0.47,7059,616,-9134,102.437
0.475,7058,617,-9137,102.437
0.48,7057,616,-9135,102.437
0.485,7056,616,-9136,102.437
0.49,7055,617,-9139,102.437
0.495,7054,617,-9140,102.437
0.5,7054,619,-9144,102.442
0.505,7053,620,-9146,102.442
0.51,7052,622,-9149,102.442
0.515,7051,623,-9149,102.442
0.52,7049,623,-9150,102.442
0.525,7047,622,-9149,102.442
0.53,7045,620,-9151,102.442
0.535,7044,620,-9152,102.442
0.54,7044,623,-9151,102.442
0.545,7044,626,-9151,102.442
0.55,7046,629,-9150,102.442
0.555,7047,632,-9148,102.442
0.56,7048,635,-9148,102.442
0.565,7051,637,-9149,102.442
0.57,7052,638,-9148,102.442
0.575,7055,636,-9146,102.442
0.58,7056,634,-9145,102.442
0.585,7058,633,-9143,102.442
0.59,7059,630,-9145,102.442
0.595,7062,627,-9144,102.442
0.6,7062,626,-9144,102.442
0.605,7061,624,-9144,102.442
0.61,7060,621,-9141,102.442
0.615,7058,621,-9137,102.442
0.62,7057,621,-9136,102.442
0.625,7058,621,-9138,102.442
0.63,7060,622,-9140,102.442
0.635,7062,623,-9146,102.442
0.64,7062,624,-9151,102.442
0.645,7061,624,-9154,102.442
0.65,7060,625,-9156,102.442
0.655,7060,625,-9158,102.442
0.66,7058,625,-9156,102.442
0.665,7056,627,-9155,102.442
0.67,7056,628,-9154,102.442
0.675,7054,631,-9149,102.442
0.68,7054,634,-9147,102.442
0.685,7054,635,-9146,102.442
0.69,7053,637,-9145,102.442
0.695,7052,638,-9145,102.442
0.7,7051,638,-9144,102.442
0.705,7050,637,-9144,102.442
0.71,7050,636,-9141,102.442
0.715,7051,635,-9142,102.442
0.72,7054,633,-9142,102.442
0.725,7056,631,-9142,102.442
0.73,7057,630,-9142,102.442
0.735,7058,629,-9144,102.442
0.74,7059,630,-9146,102.442
0.745,7062,631,-9151,102.442
0.75,7065,632,-9156,102.442
0.755,7067,633,-9158,102.442
0.76,7069,632,-9158,102.442
0.765,7069,630,-9157,102.442
0.77,7069,630,-9152,102.442
0.775,7068,631,-9146,102.442
0.78,7065,632,-9141,102.442
0.785,7063,634,-9136,102.442
0.79,7063,636,-9134,102.442
0.795,7062,637,-9132,102.442
0.8,7063,637,-9128,102.442
0.805,7063,634,-9127,102.442
0.81,7063,632,-9124,102.442
0.815,7061,630,-9121,102.442
0.82,7060,629,-9122,102.442
0.825,7059,627,-9126,102.442
0.83,7058,624,-9132,102.442
0.835,7057,622,-9136,102.442
0.84,7057,621,-9140,102.442
0.845,7058,621,-9140,102.442
0.85,7061,621,-9137,102.442
0.855,7063,622,-9132,102.442
0.86,7063,622,-9128,102.442
0.865,7062,621,-9126,102.442
0.87,7062,620,-9126,102.442
0.875,7062,620,-9126,102.442
0.88,7064,620,-9125,102.442
0.885,7066,621,-9125,102.442
0.89,7066,624,-9125,102.442
0.895,7067,626,-9126,102.442
0.9,7066,627,-9127,102.442
0.905,7066,629,-9128,102.442
0.91,7065,629,-9131,102.442
0.915,7064,629,-9131,102.442
0.92,7064,630,-9133,102.442
0.925,7063,632,-9134,102.442
0.93,7061,635,-9135,102.437
0.935,7060,638,-9138,102.437
0.94,7057,641,-9138,102.437
0.945,7055,643,-9138,102.437
0.95,7054,643,-9139,102.437
0.955,7054,641,-9140,102.437
0.96,7055,639,-9138,102.437
0.965,7055,636,-9136,102.437
0.97,7054,634,-9135,102.437
0.975,7053,631,-9134,102.437
0.98,7052,629,-9135,102.437
0.985,7053,628,-9137,102.437
0.99,7053,627,-9139,102.437
0.995,7053,626,-9139,102.437
1.0,7053,626,-9140,102.437
1.005,7052,628,-9144,102.437
1.01,7051,629,-9147,102.437
1.015,7051,630,-9149,102.437
1.02,7050,632,-9153,102.437
1.025,7050,633,-9155,102.437
1.03,7050,633,-9154,102.437
1.035,7051,633,-9153,102.437
1.04,7053,632,-9150,102.437
1.045,7053,632,-9148,102.437
1.05,7053,631,-9145,102.437
1.055,7052,631,-9144,102.437
1.06,7052,630,-9144,102.437
1.065,7051,630,-9142,102.437
1.07,7052,630,-9140,102.437
1.075,7051,628,-9136,102.437
1.08,7049,627,-9131,102.437
1.085,7049,626,-9127,102.437
1.09,7050,623,-9123,102.437
1.095,7051,622,-9120,102.437
1.1,7054,623,-9120,102.437
1.105,7056,621,-9123,102.437
1.11,7058,620,-9126,102.437
1.115,7059,618,-9131,102.437
1.12,7061,616,-9135,102.437
