date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20101101,00:00,-53.46,43.84,-14.32,0.0,0.0,0.0
20101101,01:00,-44.84,61.85,-14.34,0.0,0.0,0.0
20101101,02:00,-34.78,75.57,-14.35,0.0,0.0,0.0
20101101,03:00,-24.12,86.94,-14.36,0.0,0.0,0.0
20101101,04:00,-13.33,97.24,-14.38,0.0,0.0,0.0
20101101,05:00,-2.79,107.35,-14.39,0.0,0.0,0.0
20101101,06:00,7.17,117.95,-14.4,2.9,5.8,8.6
20101101,07:00,16.14,129.63,-14.42,90.6,60.3,150.9
20101101,08:00,23.61,142.89,-14.43,151.4,71.7,223.2
20101101,09:00,28.94,157.98,-14.44,206.6,79.6,286.1
20101101,10:00,31.5,174.54,-14.46,380.8,101.8,482.6
20101101,11:00,30.92,191.52,-14.47,389.9,101.4,491.3
20101101,12:00,27.27,207.63,-14.48,382.7,99.3,482.0
20101101,13:00,21.08,222.04,-14.5,287.4,86.1,373.6
20101101,14:00,12.98,234.66,-14.51,215.1,87.1,302.2
20101101,15:00,3.59,245.86,-14.52,147.3,78.2,225.5
20101101,16:00,-6.63,256.19,-14.54,0.0,3.7,3.7
20101101,17:00,-17.31,266.26,-14.55,0.0,1.8,1.8
20101101,18:00,-28.12,276.79,-14.56,0.0,1.2,1.2
20101101,19:00,-38.66,288.79,-14.58,0.0,0.0,0.0
20101101,20:00,-48.36,303.76,-14.59,0.0,0.0,0.0
20101101,21:00,-56.21,323.88,-14.6,0.0,0.0,0.0
20101101,22:00,-60.45,350.54,-14.62,0.0,0.0,0.0
20101101,23:00,-59.49,19.71,-14.63,0.0,0.0,0.0
20101102,00:00,-53.73,44.13,-14.64,0.0,0.0,0.0
20101102,01:00,-45.08,62.16,-14.66,0.0,0.0,0.0
20101102,02:00,-35.0,75.86,-14.67,0.0,0.0,0.0
20101102,03:00,-24.33,87.2,-14.68,0.0,0.0,0.0
20101102,04:00,-13.55,97.49,-14.7,0.0,0.0,0.0
20101102,05:00,-3.01,107.58,-14.71,0.0,0.0,0.0
20101102,06:00,6.93,118.17,-14.72,2.5,5.4,7.9
