date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20100101,00:00,74.86,16.62,-23.03,869.1,91.5,960.6
20100101,01:00,72.91,325.8,-23.02,992.3,79.3,1071.6
20100101,02:00,63.84,296.71,-23.02,967.8,80.9,1048.7
20100101,03:00,52.6,281.27,-23.02,926.1,80.4,1006.4
20100101,04:00,40.8,270.76,-23.01,695.9,73.2,769.1
20100101,05:00,28.96,262.1,-23.01,604.1,70.1,674.2
20100101,06:00,17.35,253.97,-23.01,507.3,65.8,573.1
20100101,07:00,6.21,245.64,-23.0,121.2,41.6,162.8
20100101,08:00,-4.19,236.55,-23.0,65.0,24.8,89.8
20100101,09:00,-13.47,226.21,-23.0,43.3,16.6,59.9
20100101,10:00,-21.15,214.19,-22.99,0.0,0.0,0.0
20100101,11:00,-26.61,200.32,-22.99,0.0,0.0,0.0
20100101,12:00,-29.22,184.97,-22.99,0.0,0.0,0.0
20100101,13:00,-28.62,169.21,-22.98,0.0,0.0,0.0
20100101,14:00,-24.9,154.32,-22.98,0.0,0.0,0.0
20100101,15:00,-18.54,141.12,-22.98,0.0,0.0,0.0
20100101,16:00,-10.2,129.76,-22.97,0.0,0.0,0.0
20100101,17:00,-0.46,119.93,-22.97,0.0,0.0,0.0
20100101,18:00,10.25,111.18,-22.97,0.5,14.0,14.5
20100101,19:00,21.59,102.98,-22.96,112.1,107.6,219.7
20100101,20:00,33.31,94.75,-22.96,181.5,135.8,317.3
20100101,21:00,45.17,85.58,-22.95,267.6,153.4,421.1
20100101,22:00,56.84,73.75,-22.95,657.6,172.1,829.7
20100101,23:00,67.57,54.72,-22.95,741.1,158.3,899.4
20100102,00:00,74.75,16.94,-22.94,734.7,196.5,931.2
20100102,01:00,72.89,326.26,-22.94,609.7,348.6,958.3
20100102,02:00,63.87,297.02,-22.94,600.4,336.7,937.0
20100102,03:00,52.65,281.49,-22.93,571.2,319.2,890.4
20100102,04:00,40.85,270.93,-22.93,665.0,97.6,762.6
20100102,05:00,29.01,262.24,-22.93,566.1,98.2,664.3
20100102,06:00,17.39,254.1,-22.92,448.2,104.4,552.7
20100102,07:00,6.24,245.77,-22.92,98.3,53.9,152.2
20100102,08:00,-4.17,236.69,-22.91,53.2,31.1,84.4
20100102,09:00,-13.47,226.36,-22.91,35.5,20.7,56.2
20100102,10:00,-21.18,214.34,-22.91,0.0,0.0,0.0
20100102,11:00,-26.66,200.46,-22.9,0.0,0.0,0.0
20100102,12:00,-29.3,185.11,-22.9,0.0,0.0,0.0
20100102,13:00,-28.72,169.32,-22.89,0.0,0.0,0.0
20100102,14:00,-25.02,154.39,-22.89,0.0,0.0,0.0
20100102,15:00,-18.68,141.16,-22.89,0.0,0.0,0.0
20100102,16:00,-10.34,129.78,-22.88,0.0,0.0,0.0
20100102,17:00,-0.6,119.93,-22.88,0.0,0.0,0.0
20100102,18:00,10.11,111.17,-22.88,12.8,8.0,20.8
20100102,19:00,21.45,102.97,-22.87,188.3,56.4,244.6
20100102,20:00,33.17,94.72,-22.87,284.6,66.2,350.8
20100102,21:00,45.03,85.55,-22.86,375.0,77.3,452.4
20100102,22:00,56.7,73.72,-22.86,606.9,179.7,786.5
20100102,23:00,67.43,54.76,-22.86,724.6,147.2,871.7
20100103,00:00,74.64,17.25,-22.85,801.3,126.1,927.4
20100103,01:00,72.86,326.73,-22.85,871.6,161.2,1032.8
20100103,02:00,63.89,297.33,-22.84,818.0,178.9,997.0
20100103,03:00,52.69,281.71,-22.84,747.8,193.6,941.4
20100103,04:00,40.89,271.11,-22.84,399.5,251.5,650.9
20100103,05:00,29.05,262.4,-22.83,323.7,221.2,544.9
20100103,06:00,17.43,254.25,-22.83,255.6,196.2,451.8
20100103,07:00,6.26,245.91,-22.82,39.1,77.2,116.4
20100103,08:00,-4.16,236.83,-22.82,20.7,43.9,64.5
20100103,09:00,-13.48,226.5,-22.82,13.8,29.2,43.0
20100103,10:00,-21.21,214.49,-22.81,0.0,0.0,0.0
20100103,11:00,-26.72,200.61,-22.81,0.0,0.0,0.0
20100103,12:00,-29.39,185.24,-22.8,0.0,0.0,0.0
20100103,13:00,-28.84,169.42,-22.8,0.0,0.0,0.0
20100103,14:00,-25.15,154.46,-22.8,0.0,0.0,0.0
20100103,15:00,-18.81,141.2,-22.79,0.0,0.0,0.0
20100103,16:00,-10.48,129.79,-22.79,0.0,0.0,0.0
20100103,17:00,-0.74,119.93,-22.78,0.0,0.0,0.0
20100103,18:00,9.97,111.16,-22.78,0.2,7.2,7.4
20100103,19:00,21.31,102.94,-22.77,2.3,54.8,57.1
20100103,20:00,33.03,94.68,-22.77,1.8,55.3,57.2
20100103,21:00,44.89,85.51,-22.77,10.1,76.4,86.5
20100103,22:00,56.56,73.68,-22.76,6.2,165.3,171.5
20100103,23:00,67.29,54.77,-22.76,26.8,190.4,217.2
20100104,00:00,74.51,17.54,-22.75,133.2,275.7,409.0
20100104,01:00,72.82,327.2,-22.75,366.7,482.6,849.3
20100104,02:00,63.91,297.66,-22.74,528.7,375.6,904.3
20100104,03:00,52.72,281.94,-22.74,601.2,307.1,908.4
20100104,04:00,40.93,271.3,-22.74,599.0,155.6,754.6
20100104,05:00,29.08,262.56,-22.73,507.1,150.1,657.1
