date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20100701,00:00,29.08,5.01,23.13,311.2,53.4,364.6
20100701,01:00,28.49,349.29,23.12,405.5,60.0,465.5
20100701,02:00,24.78,334.42,23.12,387.8,58.4,446.2
20100701,03:00,18.44,321.23,23.12,352.5,56.7,409.2
20100701,04:00,10.12,309.88,23.12,158.5,44.6,203.1
20100701,05:00,0.39,300.06,23.11,97.5,33.0,130.5
20100701,06:00,-10.31,291.31,23.11,65.0,22.0,87.0
20100701,07:00,-21.65,283.13,23.11,0.0,0.0,0.0
20100701,08:00,-33.37,274.91,23.11,0.0,0.0,0.0
20100701,09:00,-45.23,265.78,23.1,0.0,0.0,0.0
20100701,10:00,-56.91,253.99,23.1,0.0,0.0,0.0
20100701,11:00,-67.67,235.03,23.1,0.0,0.0,0.0
20100701,12:00,-74.89,197.14,23.09,0.0,0.0,0.0
20100701,13:00,-73.03,146.05,23.09,0.0,0.0,0.0
20100701,14:00,-63.97,116.76,23.09,0.0,0.0,0.0
20100701,15:00,-52.73,101.28,23.09,0.0,0.0,0.0
20100701,16:00,-40.93,90.76,23.08,0.0,0.0,0.0
20100701,17:00,-29.09,82.09,23.08,0.0,0.0,0.0
20100701,18:00,-17.48,73.97,23.08,0.0,0.0,0.0
20100701,19:00,-6.33,65.65,23.07,0.0,0.0,0.0
20100701,20:00,4.07,56.57,23.07,1.9,2.5,4.4
20100701,21:00,13.36,46.25,23.07,22.8,16.4,39.2
20100701,22:00,21.04,34.24,23.06,197.1,59.6,256.7
20100701,23:00,26.51,20.39,23.06,256.7,61.4,318.1
20100702,00:00,29.14,5.07,23.06,289.2,70.2,359.4
20100702,01:00,28.56,349.32,23.06,334.6,107.6,442.2
20100702,02:00,24.86,334.44,23.05,312.5,111.3,423.8
20100702,03:00,18.52,321.23,23.05,297.4,95.7,393.1
20100702,04:00,10.2,309.87,23.05,157.5,47.1,204.5
20100702,05:00,0.47,300.04,23.04,97.5,34.2,131.7
20100702,06:00,-10.23,291.28,23.04,65.0,22.8,87.8
20100702,07:00,-21.57,283.09,23.04,0.0,0.0,0.0
20100702,08:00,-33.29,274.87,23.03,0.0,0.0,0.0
20100702,09:00,-45.16,265.72,23.03,0.0,0.0,0.0
20100702,10:00,-56.84,253.93,23.03,0.0,0.0,0.0
20100702,11:00,-67.59,234.98,23.03,0.0,0.0,0.0
20100702,12:00,-74.81,197.23,23.02,0.0,0.0,0.0
20100702,13:00,-72.98,146.3,23.02,0.0,0.0,0.0
20100702,14:00,-63.96,116.96,23.02,0.0,0.0,0.0
20100702,15:00,-52.73,101.42,23.01,0.0,0.0,0.0
20100702,16:00,-40.93,90.87,23.01,0.0,0.0,0.0
20100702,17:00,-29.09,82.19,23.01,0.0,0.0,0.0
20100702,18:00,-17.47,74.06,23.0,0.0,0.0,0.0
20100702,19:00,-6.32,65.73,23.0,0.0,0.0,0.0
20100702,20:00,4.09,56.66,23.0,1.7,2.8,4.5
20100702,21:00,13.39,46.33,22.99,23.9,17.1,41.0
20100702,22:00,21.09,34.32,22.99,169.5,78.8,248.3
20100702,23:00,26.57,20.46,22.99,208.9,93.6,302.4
20100703,00:00,29.21,5.13,22.98,232.6,103.7,336.4
20100703,01:00,28.64,349.36,22.98,244.4,135.5,379.9
20100703,02:00,24.94,334.45,22.98,262.2,124.3,386.5
20100703,03:00,18.61,321.23,22.97,248.5,113.7,362.3
20100703,04:00,10.29,309.85,22.97,132.2,61.9,194.1
20100703,05:00,0.55,300.01,22.97,81.8,43.6,125.4
20100703,06:00,-10.15,291.25,22.96,54.6,29.0,83.6
20100703,07:00,-21.49,283.05,22.96,0.0,0.0,0.0
20100703,08:00,-33.21,274.81,22.96,0.0,0.0,0.0
20100703,09:00,-45.08,265.66,22.95,0.0,0.0,0.0
20100703,10:00,-56.76,253.86,22.95,0.0,0.0,0.0
20100703,11:00,-67.5,234.91,22.95,0.0,0.0,0.0
20100703,12:00,-74.73,197.31,22.94,0.0,0.0,0.0
20100703,13:00,-72.94,146.55,22.94,0.0,0.0,0.0
20100703,14:00,-63.94,117.16,22.94,0.0,0.0,0.0
20100703,15:00,-52.72,101.57,22.93,0.0,0.0,0.0
20100703,16:00,-40.93,90.99,22.93,0.0,0.0,0.0
20100703,17:00,-29.08,82.29,22.93,0.0,0.0,0.0
20100703,18:00,-17.46,74.15,22.92,0.0,0.0,0.0
20100703,19:00,-6.3,65.82,22.92,0.0,0.0,0.0
20100703,20:00,4.11,56.74,22.92,0.0,2.0,2.0
20100703,21:00,13.42,46.42,22.91,0.1,18.3,18.3
20100703,22:00,21.14,34.41,22.91,4.3,109.7,114.0
20100703,23:00,26.63,20.54,22.91,4.7,126.9,131.6
20100704,00:00,29.29,5.18,22.9,3.7,137.5,141.2
20100704,01:00,28.73,349.39,22.9,1.2,166.6,167.8
20100704,02:00,25.04,334.46,22.89,0.9,151.5,152.4
20100704,03:00,18.7,321.22,22.89,0.7,132.7,133.4
20100704,04:00,10.38,309.82,22.89,0.3,40.7,41.0
20100704,05:00,0.64,299.97,22.88,0.2,26.7,26.9
20100704,06:00,-10.07,291.21,22.88,0.1,17.8,17.9
20100704,07:00,-21.41,283.0,22.88,0.0,0.0,0.0
20100704,08:00,-33.14,274.75,22.87,0.0,0.0,0.0
20100704,09:00,-45.0,265.59,22.87,0.0,0.0,0.0
20100704,10:00,-56.67,253.77,22.87,0.0,0.0,0.0
20100704,11:00,-67.41,234.84,22.86,0.0,0.0,0.0
20100704,12:00,-74.63,197.38,22.86,0.0,0.0,0.0
20100704,13:00,-72.88,146.81,22.85,0.0,0.0,0.0
20100704,14:00,-63.92,117.37,22.85,0.0,0.0,0.0
20100704,15:00,-52.71,101.72,22.85,0.0,0.0,0.0
20100704,16:00,-40.92,91.12,22.84,0.0,0.0,0.0
20100704,17:00,-29.07,82.4,22.84,0.0,0.0,0.0
20100704,18:00,-17.45,74.25,22.84,0.0,0.0,0.0
20100704,19:00,-6.28,65.92,22.83,0.0,0.0,0.0
20100704,20:00,4.14,56.84,22.83,0.0,1.3,1.4
20100704,21:00,13.47,46.5,22.82,0.4,8.1,8.5
20100704,22:00,21.19,34.49,22.82,2.2,38.2,40.4
20100704,23:00,26.71,20.61,22.82,2.8,50.8,53.5
20100705,00:00,29.38,5.24,22.81,4.9,66.5,71.4
20100705,01:00,28.83,349.42,22.81,10.9,78.7,89.5
20100705,02:00,25.13,334.46,22.81,15.1,77.2,92.3
20100705,03:00,18.8,321.21,22.8,11.2,72.6,83.7
20100705,04:00,10.47,309.79,22.8,9.1,44.7,53.8
20100705,05:00,0.73,299.93,22.79,5.2,27.4,32.7
20100705,06:00,-9.98,291.16,22.79,3.5,18.3,21.8
20100705,07:00,-21.33,282.94,22.79,0.0,0.0,0.0
20100705,08:00,-33.05,274.68,22.78,0.0,0.0,0.0
20100705,09:00,-44.92,265.51,22.78,0.0,0.0,0.0
20100705,10:00,-56.59,253.68,22.77,0.0,0.0,0.0
20100705,11:00,-67.32,234.74,22.77,0.0,0.0,0.0
20100705,12:00,-74.53,197.44,22.77,0.0,0.0,0.0
