year,number_of_D0_crossings
1590.0,4
1591.0,4
1592.0,4
1593.0,4
1594.0,4
1595.0,4
1596.0,4
1597.0,4
1598.0,4
1599.0,4
1600.0,4
1601.0,4
1602.0,4
1603.0,4
1604.0,4
1605.0,4
1606.0,4
1607.0,4
1608.0,4
1609.0,4
1610.0,4
1611.0,4
1612.0,4
1613.0,4
1614.0,4
1615.0,4
1616.0,4
1617.0,4
1618.0,4
1619.0,4
1620.0,4
1621.0,4
1622.0,4
1623.0,4
1624.0,4
1625.0,4
1626.0,4
1627.0,4
1628.0,4
1629.0,4
1630.0,4
1631.0,4
1632.0,4
1633.0,4
1634.0,4
1635.0,4
1636.0,4
1637.0,4
1638.0,4
1639.0,4
1640.0,4
1641.0,4
1642.0,4
1643.0,4
1644.0,4
1645.0,4
1646.0,4
1647.0,4
1648.0,4
1649.0,4
1650.0,4
1651.0,4
1652.0,4
1653.0,4
1654.0,4
1655.0,4
1656.0,4
1657.0,4
1658.0,4
1659.0,4
1660.0,4
1661.0,4
1662.0,4
1663.0,4
1664.0,4
1665.0,4
1666.0,4
1667.0,4
1668.0,4
1669.0,4
1670.0,4
1671.0,4
1672.0,4
1673.0,4
1674.0,4
1675.0,4
1676.0,4
1677.0,4
1678.0,2
1679.0,2
1680.0,2
1681.0,2
1682.0,2
1683.0,2
1684.0,2
1685.0,2
1686.0,2
1687.0,2
1688.0,2
1689.0,2
1690.0,2
1691.0,2
1692.0,2
1693.0,2
1694.0,2
1695.0,2
1696.0,2
1697.0,2
1698.0,2
1699.0,2
1700.0,2
1701.0,2
1702.0,2
1703.0,2
1704.0,2
1705.0,2
1706.0,2
1707.0,2
1708.0,2
1709.0,2
1710.0,2
1711.0,2
1712.0,2
1713.0,2
1714.0,2
1715.0,2
1716.0,2
1717.0,2
1718.0,2
1719.0,2
1720.0,2
1721.0,2
1722.0,2
1723.0,2
1724.0,2
1725.0,2
1726.0,2
1727.0,2
1728.0,2
1729.0,2
1730.0,2
1731.0,2
1732.0,2
1733.0,2
1734.0,2
1735.0,2
1736.0,2
1737.0,2
1738.0,2
1739.0,2
1740.0,2
1741.0,2
1742.0,2
1743.0,2
1744.0,2
1745.0,2
1746.0,2
1747.0,2
1748.0,2
1749.0,2
1750.0,2
1751.0,2
1752.0,2
1753.0,2
1754.0,2
1755.0,2
1756.0,2
1757.0,2
1758.0,2
1759.0,4
1760.0,4
1761.0,4
1762.0,4
1763.0,4
1764.0,4
1765.0,4
1766.0,4
1767.0,4
1768.0,4
1769.0,4
1770.0,4
1771.0,4
1772.0,4
1773.0,4
1774.0,4
1775.0,4
1776.0,4
1777.0,4
1778.0,4
1779.0,4
1780.0,4
1781.0,4
