Station,Start_Hz,End_Hz,Center_Hz,Width_Hz,Peak_Hz,Peak_Mean_PLV,Peak_Hours_Active,Integrated_PLV_Score,Local_Prominence_pct,Classification,Dynamic_Score_Threshold
FCHU,6.7,8.3,7.5,1.6000000000000005,7.6,0.5418623803936405,15,818.5488634749274,26.18841130424742,Phase Coherent Band,14.82830568078318
FSMI,1.2,1.2,1.2,0.0,1.2,0.16549530472794613,3,10.854524322714909,26.08406956532952,Phase Coherent Band,8.246914496271069
FSMI,1.6,1.6,1.6,0.0,1.6,0.15605500814765452,1,3.6180296769192797,56.701275476555764,Sharp Carrier Peak,8.246914496271069
FSMI,2.3,2.4,2.3499999999999996,0.10000000000000009,2.4,0.17095065063364312,4,26.948185977642694,77.09746619138402,Sharp Carrier Peak,8.246914496271069
FSMI,6.6,6.7,6.65,0.10000000000000053,6.6,0.17196079639213802,4,20.53957945315276,60.995982505014744,Sharp Carrier Peak,8.246914496271069
FSMI,7.8,7.9,7.85,0.10000000000000053,7.9,0.16992318916743332,4,17.046349647495358,66.59377826314046,Sharp Carrier Peak,8.246914496271069
FSMI,8.6,8.7,8.649999999999999,0.09999999999999964,8.6,0.17331115551432671,4,22.574778718017523,193.14355715312968,Sharp Carrier Peak,8.246914496271069
ISLL,1.0,2.2,1.6,1.2000000000000002,1.0,0.6382782560159946,15,736.4206544281133,161.48917565971487,Sharp Carrier Peak,9.893277840127261
ISLL,3.0,3.1,3.05,0.10000000000000009,3.0,0.30956185716871365,3,28.148087583392247,112.43922756941895,Sharp Carrier Peak,9.893277840127261
ISLL,3.8,3.9,3.8499999999999996,0.10000000000000009,3.9,0.30473238013728565,4,27.62695693271209,108.94814037231916,Sharp Carrier Peak,9.893277840127261
ISLL,4.7,5.0,4.85,0.2999999999999998,5.0,0.2684220070604974,4,59.90750246180016,45.745485554593,Sharp Carrier Peak,9.893277840127261
ISLL,6.8,6.8,6.8,0.0,6.8,0.26922747477282133,1,4.832432305288467,45.11359904704131,Sharp Carrier Peak,9.893277840127261
MSTK,1.0,1.2,1.1,0.19999999999999996,1.1,0.20339137260638185,6,45.4980012154751,8.564115480259263,Phase Coherent Band,10.851954446410698
MSTK,4.3,4.3,4.3,0.0,4.3,0.19466966010906517,4,13.193476985633886,90.996732571118,Sharp Carrier Peak,10.851954446410698
MSTK,5.7,5.7,5.7,0.0,5.7,0.18113782743757187,4,13.556526151389113,78.72225069107662,Sharp Carrier Peak,10.851954446410698
MSTK,8.6,8.6,8.6,0.0,8.6,0.188105913901807,3,10.52482186291708,41.68728814062221,Sharp Carrier Peak,10.851954446410698
PINA,1.0,1.7,1.35,0.7,1.6,0.50749141135387,7,300.516276623815,22.756061213902495,Phase Coherent Band,28.70892685958068
PINA,2.0,2.1,2.05,0.10000000000000009,2.0,0.44520441028551483,5,64.60150933248032,21.97242422849338,Phase Coherent Band,28.70892685958068
PINA,4.9,5.0,4.95,0.09999999999999964,5.0,0.4044922705263527,5,65.98522107246515,40.017078268550755,Sharp Carrier Peak,28.70892685958068
PINA,7.5,7.7,7.6,0.20000000000000018,7.6,0.4356491120474142,7,102.1362057046089,27.74015450548398,Phase Coherent Band,28.70892685958068
PINA,7.9,8.0,7.95,0.09999999999999964,8.0,0.40626823117425587,5,55.98377542335199,8.896746203038928,Phase Coherent Band,28.70892685958068
PINA,9.4,9.5,9.45,0.09999999999999964,9.5,0.5414858114407576,8,80.27134745693728,48.783666157581955,Sharp Carrier Peak,28.70892685958068
