event,start_sample,end_sample,peak_sample,start_s,peak_s,end_s,event_duration_s,peak_energy_J_m3,peak_B_nT,timestamp,interval_from_previous_s
1,2250,2349,2299,22.5,22.99,23.49,1.0,3.6643846414628413e-06,4291.760267218463,2012-06-19 00:00:22.990,
2,5250,5349,5300,52.5,53.0,53.49,1.0,3.664773226909789e-06,4291.9878185721545,2012-06-19 00:00:53.000,30.01
3,8250,8349,8299,82.5,82.99,83.49,1.0,3.6643548842857807e-06,4291.742841246309,2012-06-19 00:01:22.990,29.989999999999995
4,11550,11649,11599,115.5,115.99,116.49,1.0,3.664787962018574e-06,4291.996447051999,2012-06-19 00:01:55.990,33.0
5,14250,14349,14299,142.5,142.99,143.49,1.0,3.6643896657663824e-06,4291.763209472214,2012-06-19 00:02:22.990,27.000000000000014
6,17550,17649,17600,175.5,176.0,176.49,1.0,3.664797624894795e-06,4292.002105360679,2012-06-19 00:02:56.000,33.00999999999999
7,20250,20349,20299,202.5,202.99,203.49,1.0,3.6643685025749807e-06,4291.75081620271,2012-06-19 00:03:22.990,26.99000000000001
8,23450,23549,23500,234.5,235.0,235.49,1.0,3.664795104235539e-06,4292.000629334196,2012-06-19 00:03:55.000,32.00999999999999
9,26150,26249,26199,261.5,261.99,262.49,1.0,3.664385627469337e-06,4291.760844628264,2012-06-19 00:04:21.990,26.99000000000001
10,29450,29549,29499,294.5,294.99,295.49,1.0,3.664796919921224e-06,4292.001692548226,2012-06-19 00:04:54.990,33.0
11,32350,32449,32399,323.5,323.99,324.49,1.0,3.664364056903804e-06,4291.7482127911435,2012-06-19 00:05:23.990,29.0
12,35650,35749,35700,356.5,357.0,357.49,1.0,3.6647919073827518e-06,4291.998757347254,2012-06-19 00:05:57.000,33.00999999999999
13,38150,38249,38199,381.5,381.99,382.49,1.0,3.664399347199846e-06,4291.76887895558,2012-06-19 00:06:21.990,24.99000000000001
14,41550,41649,41600,415.5,416.0,416.49,1.0,3.6648100248186e-06,4292.009366396554,2012-06-19 00:06:56.000,34.00999999999999
15,44250,44349,44299,442.5,442.99,443.49,1.0,3.6644059816061647e-06,4291.772764084216,2012-06-19 00:07:22.990,26.99000000000001
16,47350,47449,47400,473.5,474.0,474.49,1.0,3.664781712873978e-06,4291.992787724622,2012-06-19 00:07:54.000,31.00999999999999
17,50050,50149,50099,500.5,500.99,501.49,1.0,3.6647711041317105e-06,4291.986575529488,2012-06-19 00:08:20.990,26.99000000000001
18,53250,53349,53300,532.5,533.0,533.49,1.0,3.6647671576043214e-06,4291.98426454653,2012-06-19 00:08:53.000,32.00999999999999
19,56150,56249,56199,561.5,561.99,562.49,1.0,3.6642327800326378e-06,4291.671335560251,2012-06-19 00:09:21.990,28.99000000000001
20,59450,59549,59500,594.5,595.0,595.49,1.0,3.6646338988639206e-06,4291.9062309919145,2012-06-19 00:09:55.000,33.00999999999999
21,62150,62249,62199,621.5,621.99,622.49,1.0,3.664282677709237e-06,4291.7005563702,2012-06-19 00:10:21.990,26.99000000000001
22,65550,65649,65600,655.5,656.0,656.49,1.0,3.6647036151350432e-06,4291.947055571344,2012-06-19 00:10:56.000,34.00999999999999
23,68250,68349,68299,682.5,682.99,683.49,1.0,3.664350618229316e-06,4291.740343013577,2012-06-19 00:11:22.990,26.99000000000001
24,71550,71649,71600,715.5,716.0,716.49,1.0,3.6647265050574345e-06,4291.960459408588,2012-06-19 00:11:56.000,33.00999999999999
25,74250,74349,74299,742.5,742.99,743.49,1.0,3.6643097476701565e-06,4291.71640885239,2012-06-19 00:12:22.990,26.99000000000001
26,77650,77749,77700,776.5,777.0,777.49,1.0,3.6647482588598034e-06,4291.973197920032,2012-06-19 00:12:57.000,34.00999999999999
27,80150,80249,80199,801.5,801.99,802.49,1.0,3.664348594009714e-06,4291.739157615803,2012-06-19 00:13:21.990,24.99000000000001
28,83450,83549,83500,834.5,835.0,835.49,1.0,3.664770786191197e-06,4291.986389351906,2012-06-19 00:13:55.000,33.00999999999999
29,86250,86349,86299,862.5,862.99,863.49,1.0,3.6644170901595145e-06,4291.779269279168,2012-06-19 00:14:22.990,27.99000000000001
30,89550,89649,89600,895.5,896.0,896.49,1.0,3.6647815027409667e-06,4291.99266467645,2012-06-19 00:14:56.000,33.00999999999999
31,92150,92249,92199,921.5,921.99,922.49,1.0,3.664389913933339e-06,4291.763354799798,2012-06-19 00:15:21.990,25.99000000000001
32,95650,95749,95699,956.5,956.99,957.49,1.0,3.664782247113973e-06,4291.993100561007,2012-06-19 00:15:56.990,35.0
33,98250,98349,98299,982.5,982.99,983.49,1.0,3.664324551237841e-06,4291.725077968069,2012-06-19 00:16:22.990,26.0
34,101450,101549,101500,1014.5,1015.0,1015.49,1.0,3.6647825382578512e-06,4291.993271046919,2012-06-19 00:16:55.000,32.00999999999999
35,104250,104349,104299,1042.5,1042.99,1043.49,1.0,3.6643885391223468e-06,4291.762549704799,2012-06-19 00:17:22.990,27.99000000000001
