event,peak_s,peak_sample,raw_before,raw_at,raw_after,jump_into_counts,jump_out_counts,local_min_counts,local_max_counts,local_range_counts,local_mean_counts,local_std_counts,core_range_counts,core_std_counts,max_abs_step_counts,max_step_relative_s
1,22.99,2299,999999999.0,999999999.0,-648380.0,0.0,-1000648379.0,-648380.0,999999999.0,1000648379.0,500964088.1421446,500281945.0530413,1000648379.0,499718277.6156256,1000648379.0,0.0
2,53.0,5300,-625371.0,999999999.0,999999999.0,1000625370.0,0.0,-625371.0,999999999.0,1000625370.0,500935460.90274316,500310643.75277686,1000625370.0,499745082.1610238,1000625370.0,-0.010000000000000009
3,82.99,8299,999999999.0,999999999.0,-636787.0,0.0,-1000636786.0,-636787.0,999999999.0,1000636786.0,500965646.31172067,500280382.98979986,1000636786.0,499716257.65135247,1000636786.0,0.0
4,115.99,11599,-627201.0,-627247.0,999999999.0,-46.0,1000627246.0,-627285.0,999999999.0,1000627284.0,498439133.4214464,500311646.04095376,1000627284.0,499746022.6383615,1000627246.0,0.0
5,142.99,14299,999999999.0,999999999.0,-635970.0,0.0,-1000635969.0,-635970.0,999999999.0,1000635969.0,500962942.2743142,500283093.77647656,1000635969.0,499718731.25148,1000635969.0,0.0
6,176.0,17600,-628609.0,999999999.0,999999999.0,1000628608.0,0.0,-628609.0,999999999.0,1000628608.0,500933722.0349127,500312386.9622852,1000628608.0,499746709.06331986,1000628608.0,-0.010000000000000009
7,202.99,20299,999999999.0,999999999.0,-638074.0,0.0,-1000638073.0,-638074.0,999999999.0,1000638073.0,500964639.62593514,500281392.18888986,1000638073.0,499717230.59153706,1000638073.0,0.0
8,235.0,23500,-628315.0,999999999.0,999999999.0,1000628314.0,0.0,-628315.0,999999999.0,1000628314.0,500933953.0149626,500312155.4055487,1000628314.0,499746547.1971547,1000628314.0,-0.010000000000000009
9,261.99,26199,999999999.0,999999999.0,-638193.0,0.0,-1000638192.0,-638193.0,999999999.0,1000638192.0,500963430.1645885,500282604.6690762,1000638192.0,499718407.38903904,1000638192.0,0.0
10,294.99,29499,-628527.0,-628560.0,999999999.0,-33.0,1000628559.0,-628589.0,999999999.0,1000628588.0,498438472.2568579,500312305.5587988,1000628588.0,499746675.9418463,1000628559.0,0.0
11,323.99,32399,999999999.0,999999999.0,-646138.0,0.0,-1000646137.0,-646138.0,999999999.0,1000646137.0,500965519.0074813,500280510.61536694,1000646137.0,499716836.9071109,1000646137.0,0.0
12,357.0,35700,-627803.0,999999999.0,999999999.0,1000627802.0,0.0,-627803.0,999999999.0,1000627802.0,500934205.98254365,500311901.8063355,1000627802.0,499746291.6373987,1000627802.0,-0.010000000000000009
13,381.99,38199,999999999.0,999999999.0,-636582.0,0.0,-1000636581.0,-636582.0,999999999.0,1000636581.0,500962359.93516207,500283677.5693505,1000636581.0,499719336.3102915,1000636581.0,0.0
14,416.0,41600,-630467.0,999999999.0,999999999.0,1000630466.0,0.0,-630579.0,999999999.0,1000630578.0,500932824.32169574,500313286.91700137,1000630578.0,499747641.754047,1000630466.0,-0.010000000000000009
15,442.99,44299,999999999.0,999999999.0,-647506.0,0.0,-1000647505.0,-647506.0,999999999.0,1000647505.0,500962398.1296758,500283639.2834021,1000647505.0,499719841.65757495,1000647505.0,0.0
16,474.0,47400,-626550.0,999999999.0,999999999.0,1000626549.0,0.0,-626550.0,999999999.0,1000626549.0,500934842.6832918,500311263.5158176,1000626549.0,499745649.6664975,1000626549.0,-0.010000000000000009
17,500.99,50099,999999999.0,999999999.0,-637338.0,0.0,-1000637337.0,-637338.0,999999999.0,1000637337.0,500935555.0673317,500310549.3533706,1000637337.0,499744958.8590743,1000637337.0,0.0
18,533.0,53300,-624586.0,999999999.0,999999999.0,1000624585.0,0.0,-624952.0,999999999.0,1000624951.0,500935297.75062346,500310807.3121166,1000624585.0,499744701.5932412,1000624585.0,-0.010000000000000009
19,561.99,56199,999999999.0,999999999.0,-636447.0,0.0,-1000636446.0,-636447.0,999999999.0,1000636446.0,500975022.92269325,500270982.9738594,1000636446.0,499707839.2978307,1000636446.0,0.0
20,595.0,59500,-606589.0,999999999.0,999999999.0,1000606588.0,0.0,-606617.0,999999999.0,1000606616.0,500944778.8104738,500301302.57929474,1000606588.0,499735695.1720027,1000606588.0,-0.010000000000000009
21,621.99,62199,999999999.0,999999999.0,-622029.0,0.0,-1000622028.0,-622029.0,999999999.0,1000622028.0,500970396.75561094,500275620.68243706,1000622028.0,499711363.0751486,1000622028.0,0.0
22,656.0,65600,-615983.0,999999999.0,999999999.0,1000615982.0,0.0,-615999.0,999999999.0,1000615998.0,500940095.8553616,500305997.22719055,1000615998.0,499740400.37821203,1000615982.0,-0.010000000000000009
23,682.99,68299,999999999.0,999999999.0,-632022.0,0.0,-1000632021.0,-632022.0,999999999.0,1000632021.0,500965832.5860349,500280196.24832785,1000632021.0,499716040.0177556,1000632021.0,0.0
24,716.0,71600,-618849.0,999999999.0,999999999.0,1000618848.0,0.0,-618849.0,999999999.0,1000618848.0,500938637.2319202,500307459.4926089,1000618848.0,499741820.66516584,1000618848.0,-0.010000000000000009
25,742.99,74299,999999999.0,999999999.0,-627096.0,0.0,-1000627095.0,-627096.0,999999999.0,1000627095.0,500968540.9326683,500277481.13984054,1000627095.0,499713210.885973,1000627095.0,0.0
26,777.0,77700,-621911.0,999999999.0,999999999.0,1000621910.0,0.0,-621927.0,999999999.0,1000621926.0,500937097.69825435,500309002.8703231,1000621926.0,499743362.1145123,1000621910.0,-0.010000000000000009
27,801.99,80199,999999999.0,999999999.0,-629946.0,0.0,-1000629945.0,-629946.0,999999999.0,1000629945.0,500965653.07481295,500280376.2071832,1000629945.0,499716014.5330282,1000629945.0,0.0
28,835.0,83500,-624951.0,999999999.0,999999999.0,1000624950.0,0.0,-624951.0,999999999.0,1000624950.0,500935620.8628429,500310483.3932365,1000624950.0,499744873.1983464,1000624950.0,-0.010000000000000009
29,862.99,86299,999999999.0,999999999.0,-642326.0,0.0,-1000642325.0,-642326.0,999999999.0,1000642325.0,500961450.0698254,500284589.7076859,1000642325.0,499720508.75195944,1000642325.0,0.0
30,896.0,89600,-626552.0,999999999.0,999999999.0,1000626551.0,0.0,-626552.0,999999999.0,1000626551.0,500934737.26433915,500311369.1979377,1000626551.0,499745667.74596375,1000626551.0,-0.010000000000000009
31,921.99,92199,999999999.0,999999999.0,-636345.0,0.0,-1000636344.0,-636345.0,999999999.0,1000636344.0,500963108.34663343,500282927.2894361,1000636344.0,499718713.0249534,1000636344.0,0.0
32,956.99,95699,-626292.0,-626369.0,999999999.0,-77.0,1000626368.0,-626404.0,999999999.0,1000626403.0,498439492.4438903,500311287.9126729,1000626403.0,499745582.45646554,1000626368.0,0.0
33,982.99,98299,999999999.0,999999999.0,-640163.0,0.0,-1000640162.0,-640163.0,999999999.0,1000640162.0,500967853.5511222,500278170.2424045,1000640162.0,499714338.53664285,1000640162.0,0.0
34,1015.0,101500,-626642.0,999999999.0,999999999.0,1000626641.0,0.0,-626642.0,999999999.0,1000626641.0,500934850.8603491,500311255.31838155,1000626641.0,499745707.75053006,1000626641.0,-0.010000000000000009
35,1042.99,104299,999999999.0,999999999.0,-635917.0,0.0,-1000635916.0,-635917.0,999999999.0,1000635916.0,500962986.19451374,500283049.74671024,1000635916.0,499718667.72411966,1000635916.0,0.0
36,1075.99,107599,-629998.0,-629995.0,999999999.0,3.0,1000629994.0,-629998.0,999999999.0,1000629997.0,498437745.85037404,500313030.15603787,1000629997.0,499747395.5790862,1000629994.0,0.0
37,1103.99,110399,999999999.0,999999999.0,-639362.0,0.0,-1000639361.0,-639362.0,999999999.0,1000639361.0,500965336.6134663,500280693.46214515,1000639361.0,499716622.9501744,1000639361.0,0.0
38,1136.0,113600,-628264.0,999999999.0,999999999.0,1000628263.0,0.0,-628275.0,999999999.0,1000628274.0,500933983.45137155,500312124.8931553,1000628274.0,499746534.7113352,1000628263.0,-0.010000000000000009
39,1161.99,116199,999999999.0,999999999.0,-638082.0,0.0,-1000638081.0,-638082.0,999999999.0,1000638081.0,500959516.798005,500286527.8039185,1000638081.0,499722082.3158167,1000638081.0,0.0
40,1194.99,119499,-629514.0,-629549.0,999999999.0,-35.0,1000629548.0,-629590.0,999999999.0,1000629589.0,498437874.7256858,500312901.601678,1000629589.0,499747188.22367406,1000629548.0,0.0
41,1222.99,122299,999999999.0,999999999.0,-642025.0,0.0,-1000642024.0,-642025.0,999999999.0,1000642024.0,500965499.1147132,500280530.5562381,1000642024.0,499716629.61293525,1000642024.0,0.0
42,1257.0,125700,-629859.0,999999999.0,999999999.0,1000629858.0,0.0,-629895.0,999999999.0,1000629894.0,500933160.7880299,500312949.6105617,1000629894.0,499747326.16246945,1000629858.0,-0.010000000000000009
43,1282.99,128299,999999999.0,999999999.0,-637624.0,0.0,-1000637623.0,-637624.0,999999999.0,1000637623.0,500962700.4688279,500283336.1861782,1000637623.0,499719007.29543525,1000637623.0,0.0
44,1317.0,131700,-630348.0,999999999.0,999999999.0,1000630347.0,0.0,-631000.0,999999999.0,1000630999.0,500932768.7331671,500313342.64431834,1000630377.0,499747585.1683116,1000630347.0,-0.010000000000000009
45,1342.99,134299,999999999.0,999999999.0,-639225.0,0.0,-1000639224.0,-639225.0,999999999.0,1000639224.0,500964949.2244389,500281081.8179253,1000639224.0,499717206.7276629,1000639224.0,0.0
46,1375.99,137599,-629660.0,-629727.0,999999999.0,-67.0,1000629726.0,-629770.0,999999999.0,1000629769.0,498437902.6009975,500312873.7958574,1000629769.0,499747275.4882028,1000629726.0,0.0
47,1402.99,140299,999999999.0,999999999.0,-638482.0,0.0,-1000638481.0,-638482.0,999999999.0,1000638481.0,500959771.09725684,500286272.87006575,1000638481.0,499721844.2417582,1000638481.0,0.0
48,1432.99,143299,-628426.0,-628455.0,999999999.0,-29.0,1000628454.0,-628455.0,999999999.0,1000628454.0,498438516.37157106,500312261.55395883,1000628454.0,499746625.86235833,1000628454.0,0.0
49,1461.99,146199,999999999.0,999999999.0,-640662.0,0.0,-1000640661.0,-640662.0,999999999.0,1000640661.0,500963341.1446384,500282693.9120651,1000640661.0,499718637.29226303,1000640661.0,0.0
50,1494.99,149499,-626717.0,-626833.0,999999999.0,-116.0,1000626832.0,-626833.0,999999999.0,1000626832.0,498439295.1795511,500311484.68569887,1000626832.0,499745800.5269802,1000626832.0,0.0
51,1523.99,152399,999999999.0,999999999.0,-642351.0,0.0,-1000642350.0,-642351.0,999999999.0,1000642350.0,500966457.59351623,500279569.68506706,1000642350.0,499715792.1299389,1000642350.0,0.0
52,1555.99,155599,-624980.0,-625045.0,999999999.0,-65.0,1000625044.0,-625045.0,999999999.0,1000625044.0,498440265.96009976,500310516.32308525,1000625044.0,499744912.7625041,1000625044.0,0.0
53,1581.99,158199,999999999.0,999999999.0,-634612.0,0.0,-1000634611.0,-634612.0,999999999.0,1000634611.0,500956932.1396509,500289118.9129218,1000634611.0,499724445.8838917,1000634611.0,0.0
54,1615.0,161500,-627650.0,999999999.0,999999999.0,1000627649.0,0.0,-627679.0,999999999.0,1000627678.0,500934131.3416459,500311976.6335279,1000627678.0,499746223.81442654,1000627649.0,-0.010000000000000009
55,1641.99,164199,999999999.0,999999999.0,-640536.0,0.0,-1000640535.0,-640536.0,999999999.0,1000640535.0,500964603.49625933,500281428.40918726,1000640535.0,499717558.53237617,1000640535.0,0.0
56,1675.99,167599,-623146.0,-622978.0,999999999.0,168.0,1000622977.0,-623172.0,999999999.0,1000623171.0,498441182.99501246,500309601.5721556,1000623171.0,499743931.8765177,1000622977.0,0.0
57,1702.99,170299,999999999.0,999999999.0,-639000.0,0.0,-1000638999.0,-639000.0,999999999.0,1000638999.0,500966944.72069824,500279081.3405788,1000638999.0,499715224.55703104,1000638999.0,0.0
58,1734.99,173499,-622541.0,-622551.0,999999999.0,-10.0,1000622550.0,-622583.0,999999999.0,1000622582.0,498441485.0274314,500309300.2920342,1000622582.0,499743686.60961354,1000622550.0,0.0
59,1762.99,176299,999999999.0,999999999.0,-631923.0,0.0,-1000631922.0,-631923.0,999999999.0,1000631922.0,500966475.40399003,500279551.8262823,1000631922.0,499715256.3180499,1000631922.0,0.0
60,1796.0,179600,-627866.0,999999999.0,999999999.0,1000627865.0,0.0,-627929.0,999999999.0,1000627928.0,500934139.1221945,500311968.8336274,1000627928.0,499746355.6147386,1000627865.0,-0.010000000000000009
61,1822.99,182299,999999999.0,999999999.0,-636812.0,0.0,-1000636811.0,-636812.0,999999999.0,1000636811.0,500964817.8927681,500281213.4765628,1000636811.0,499717010.5356893,1000636811.0,0.0
62,1856.0,185600,-628421.0,999999999.0,999999999.0,1000628420.0,0.0,-628421.0,999999999.0,1000628420.0,500933863.1546135,500312245.490249,1000628420.0,499746603.1336265,1000628420.0,-0.010000000000000009
63,1882.99,188299,999999999.0,999999999.0,-637458.0,0.0,-1000637457.0,-637458.0,999999999.0,1000637457.0,500960344.9127182,500285697.6218459,1000637457.0,499721284.9275441,1000637457.0,0.0
64,1914.99,191499,-628398.0,-628454.0,999999999.0,-56.0,1000628453.0,-628476.0,999999999.0,1000628475.0,498438472.09725684,500312305.71797115,1000628475.0,499746625.317523,1000628453.0,0.0
65,1942.99,194299,999999999.0,999999999.0,-639015.0,0.0,-1000639014.0,-639015.0,999999999.0,1000639014.0,500964739.56857854,500281291.99703157,1000639014.0,499717210.8211672,1000639014.0,0.0
66,1975.99,197599,-627341.0,-627411.0,999999999.0,-70.0,1000627410.0,-627411.0,999999999.0,1000627410.0,498439043.9177057,500311735.3217573,1000627410.0,499746088.60889167,1000627410.0,0.0
67,2002.99,200299,999999999.0,999999999.0,-636713.0,0.0,-1000636712.0,-636713.0,999999999.0,1000636712.0,500966233.04239404,500279794.7946712,1000636712.0,499715669.227813,1000636712.0,0.0
68,2033.99,203399,-627332.0,-627399.0,999999999.0,-67.0,1000627398.0,-627409.0,999999999.0,1000627408.0,498439135.4139651,500311644.0534429,1000627408.0,499746085.9301162,1000627398.0,0.0
69,2062.99,206299,999999999.0,999999999.0,-637856.0,0.0,-1000637855.0,-637856.0,999999999.0,1000637855.0,500962972.8852868,500283063.08962774,1000637855.0,499718826.25513583,1000637855.0,0.0
70,2093.99,209399,-628121.0,-628160.0,999999999.0,-39.0,1000628159.0,-628172.0,999999999.0,1000628171.0,498438714.24438906,500312064.17400235,1000628171.0,499746473.4445536,1000628159.0,0.0
71,2122.99,212299,999999999.0,999999999.0,-639049.0,0.0,-1000639048.0,-639049.0,999999999.0,1000639048.0,500962737.49625933,500283299.0666858,1000639048.0,499719093.35634613,1000639048.0,0.0
72,2153.0,215300,-626590.0,999999999.0,999999999.0,1000626589.0,0.0,-626590.0,999999999.0,1000626589.0,500934833.9526185,500311272.26831514,1000626589.0,499745688.5223674,1000626589.0,-0.010000000000000009
73,2181.99,218199,999999999.0,999999999.0,-638555.0,0.0,-1000638554.0,-638555.0,999999999.0,1000638554.0,500961229.8329177,500284810.4929638,1000638554.0,499720567.2090804,1000638554.0,0.0
74,2213.0,221300,-625448.0,999999999.0,999999999.0,1000625447.0,0.0,-625472.0,999999999.0,1000625471.0,500935318.00249374,500310787.00977397,1000625471.0,499745135.20078504,1000625447.0,-0.010000000000000009
75,2242.99,224299,999999999.0,999999999.0,-642815.0,0.0,-1000642814.0,-642815.0,999999999.0,1000642814.0,500963127.00249374,500282908.5893642,1000642814.0,499718979.2646643,1000642814.0,0.0
