Station,UTC_Hour,Pair,Frequency_Hz,PLV,Hour_Threshold,Passed
IST,2017-03-28T00,H-D,1.0,0.5252510815233946,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.001,0.5231838460487955,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.002,0.5209676661197895,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.003,0.5184187963108319,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.004,0.5160841107172645,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.005,0.5136381823786833,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.006,0.5107020061394337,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.007,0.5079510127247739,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.008,0.5046135634260953,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.009,0.5019573991431541,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.01,0.49964039631471346,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.011,0.4975431321374522,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.012,0.4955935209021512,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.013,0.4937495350090449,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.014,0.4919820654802258,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.015,0.490268238025646,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.016,0.48858827889195233,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.017,0.4869237978632256,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.018,0.4852568134143843,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.019,0.48356929760592604,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.02,0.48184311417477205,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.021,0.4800601122895764,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.022,0.4782020354013969,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.023,0.4762501255563718,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.024,0.4741847575173547,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.025,0.4719854456711713,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.026,0.4696304234243631,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.027,0.46708983341913096,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.028,0.46426863566285526,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.029,0.46129636752985376,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.03,0.45897994328755376,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.031,0.4567972252238017,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.032,0.4545512016768722,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.033,0.45208335516913545,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.034,0.4491964401309358,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.035,0.4452168796929903,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.036,0.4411725549964148,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.037,0.4372798512555324,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.038,0.433896223410822,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.039,0.4310373506968358,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.04,0.42875427730820803,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.041,0.4267747796682598,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.042,0.4250005042737684,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.043,0.4233798712977719,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.044,0.4218720699688967,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.045,0.42044312997825806,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.046,0.4190628647804675,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.047,0.41770306565111626,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.048,0.4163374821782995,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.049,0.41495838575959526,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.05,0.413467502145965,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.051,0.4112868687957309,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.052,0.40965791725584344,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.053,0.40816503460586134,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.054,0.4067169335686773,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.055,0.4052556717274765,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.056,0.40370481154082005,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.057,0.40169410854168536,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.058,0.40017100532962374,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.059,0.39884246301882814,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.06,0.3976519243272277,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.061,0.3965469959304962,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.062,0.39549388782599393,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.063,0.3944660810872246,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.064,0.3934398745108815,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.065,0.39239231925134377,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.066,0.3913000435289579,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.067,0.39013840946810907,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.068,0.3888806694262412,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.069,0.3874967555744835,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.07,0.3859510526622175,0.3742586419530446,1
