Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.0,0.5252510815233946,5.252510815233946
IST,2017-03-28T00,H-D,1.001,0.5231838460487955,5.231838460487955
IST,2017-03-28T00,H-D,1.002,0.5209676661197895,5.209676661197895
IST,2017-03-28T00,H-D,1.003,0.5184187963108319,5.184187963108319
IST,2017-03-28T00,H-D,1.004,0.5160841107172645,5.1608411071726445
IST,2017-03-28T00,H-D,1.005,0.5136381823786833,5.136381823786833
IST,2017-03-28T00,H-D,1.006,0.5107020061394337,5.107020061394337
IST,2017-03-28T00,H-D,1.007,0.5079510127247739,5.079510127247739
IST,2017-03-28T00,H-D,1.008,0.5046135634260953,5.046135634260953
IST,2017-03-28T00,H-D,1.009,0.5019573991431541,5.019573991431541
IST,2017-03-28T00,H-D,1.01,0.49964039631471346,4.996403963147134
IST,2017-03-28T00,H-D,1.011,0.4975431321374522,4.975431321374522
IST,2017-03-28T00,H-D,1.012,0.4955935209021512,4.955935209021512
IST,2017-03-28T00,H-D,1.013,0.4937495350090449,4.937495350090449
IST,2017-03-28T00,H-D,1.014,0.4919820654802258,4.919820654802258
IST,2017-03-28T00,H-D,1.015,0.490268238025646,4.90268238025646
IST,2017-03-28T00,H-D,1.016,0.48858827889195233,4.885882788919523
IST,2017-03-28T00,H-D,1.017,0.4869237978632256,4.869237978632256
IST,2017-03-28T00,H-D,1.018,0.4852568134143843,4.852568134143843
IST,2017-03-28T00,H-D,1.019,0.48356929760592604,4.83569297605926
IST,2017-03-28T00,H-D,1.02,0.48184311417477205,4.818431141747721
IST,2017-03-28T00,H-D,1.021,0.4800601122895764,4.800601122895764
IST,2017-03-28T00,H-D,1.022,0.4782020354013969,4.7820203540139685
IST,2017-03-28T00,H-D,1.023,0.4762501255563718,4.762501255563718
IST,2017-03-28T00,H-D,1.024,0.4741847575173547,4.741847575173547
IST,2017-03-28T00,H-D,1.025,0.4719854456711713,4.719854456711713
IST,2017-03-28T00,H-D,1.026,0.4696304234243631,4.696304234243631
IST,2017-03-28T00,H-D,1.027,0.46708983341913096,4.6708983341913095
IST,2017-03-28T00,H-D,1.028,0.46426863566285526,4.642686356628553
IST,2017-03-28T00,H-D,1.029,0.46129636752985376,4.612963675298538
IST,2017-03-28T00,H-D,1.03,0.45897994328755376,4.589799432875537
IST,2017-03-28T00,H-D,1.031,0.4567972252238017,4.567972252238016
IST,2017-03-28T00,H-D,1.032,0.4545512016768722,4.545512016768722
IST,2017-03-28T00,H-D,1.033,0.45208335516913545,4.5208335516913545
IST,2017-03-28T00,H-D,1.034,0.4491964401309358,4.491964401309358
IST,2017-03-28T00,H-D,1.035,0.4452168796929903,4.452168796929903
IST,2017-03-28T00,H-D,1.036,0.4411725549964148,4.411725549964148
IST,2017-03-28T00,H-D,1.037,0.4372798512555324,4.372798512555324
IST,2017-03-28T00,H-D,1.038,0.433896223410822,4.33896223410822
IST,2017-03-28T00,H-D,1.039,0.4310373506968358,4.310373506968358
IST,2017-03-28T00,H-D,1.04,0.42875427730820803,4.28754277308208
IST,2017-03-28T00,H-D,1.041,0.4267747796682598,4.267747796682598
IST,2017-03-28T00,H-D,1.042,0.4250005042737684,4.250005042737684
IST,2017-03-28T00,H-D,1.043,0.4233798712977719,4.233798712977719
IST,2017-03-28T00,H-D,1.044,0.4218720699688967,4.2187206996889675
IST,2017-03-28T00,H-D,1.045,0.42044312997825806,4.204431299782581
IST,2017-03-28T00,H-D,1.046,0.4190628647804675,4.190628647804675
IST,2017-03-28T00,H-D,1.047,0.41770306565111626,4.177030656511162
IST,2017-03-28T00,H-D,1.048,0.4163374821782995,4.163374821782996
IST,2017-03-28T00,H-D,1.049,0.41495838575959526,4.149583857595952
IST,2017-03-28T00,H-D,1.05,0.413467502145965,4.13467502145965
IST,2017-03-28T00,H-D,1.051,0.4112868687957309,4.112868687957309
IST,2017-03-28T00,H-D,1.052,0.40965791725584344,4.096579172558434
IST,2017-03-28T00,H-D,1.053,0.40816503460586134,4.0816503460586135
IST,2017-03-28T00,H-D,1.054,0.4067169335686773,4.067169335686772
IST,2017-03-28T00,H-D,1.055,0.4052556717274765,4.052556717274765
IST,2017-03-28T00,H-D,1.056,0.40370481154082005,4.037048115408201
IST,2017-03-28T00,H-D,1.057,0.40169410854168536,4.016941085416853
IST,2017-03-28T00,H-D,1.058,0.40017100532962374,4.001710053296238
IST,2017-03-28T00,H-D,1.059,0.39884246301882814,3.9884246301882813
IST,2017-03-28T00,H-D,1.06,0.3976519243272277,3.9765192432722767
IST,2017-03-28T00,H-D,1.061,0.3965469959304962,3.965469959304962
IST,2017-03-28T00,H-D,1.062,0.39549388782599393,3.9549388782599393
IST,2017-03-28T00,H-D,1.063,0.3944660810872246,3.9446608108722456
IST,2017-03-28T00,H-D,1.064,0.3934398745108815,3.9343987451088154
IST,2017-03-28T00,H-D,1.065,0.39239231925134377,3.9239231925134375
IST,2017-03-28T00,H-D,1.066,0.3913000435289579,3.9130004352895793
IST,2017-03-28T00,H-D,1.067,0.39013840946810907,3.9013840946810907
IST,2017-03-28T00,H-D,1.068,0.3888806694262412,3.888806694262412
IST,2017-03-28T00,H-D,1.069,0.3874967555744835,3.874967555744835
IST,2017-03-28T00,H-D,1.07,0.3859510526622175,3.8595105266221754
IST,2017-03-28T00,H-D,1.071,0.38419763306355836,3.8419763306355836
IST,2017-03-28T00,H-D,1.072,0.3821684858403264,3.8216848584032643
IST,2017-03-28T00,H-D,1.073,0.3797376350766673,3.797376350766673
IST,2017-03-28T00,H-D,1.074,0.37613797283850636,3.7613797283850636
IST,2017-03-28T00,H-D,1.389,0.37470812082350385,3.7470812082350387
IST,2017-03-28T00,H-D,1.39,0.37631340636425464,3.7631340636425463
IST,2017-03-28T00,H-D,1.391,0.37780678287892455,3.7780678287892453
IST,2017-03-28T00,H-D,1.392,0.3792139174777763,3.7921391747777626
