Station,UTC_Hour,Frequency_Hz,PLV
IST,2017-03-28T00,6.3,0.3592496722083636
IST,2017-03-28T00,6.301,0.3451620572809057
IST,2017-03-28T00,6.302,0.32944661988842044
IST,2017-03-28T00,6.303,0.3109844316133889
IST,2017-03-28T00,6.304,0.2901250632907405
IST,2017-03-28T00,6.305,0.26588577976534883
IST,2017-03-28T00,6.306,0.23855114097549154
IST,2017-03-28T00,6.307,0.20411312317680208
IST,2017-03-28T00,6.308,0.16318907117542508
IST,2017-03-28T00,6.309,0.13535096437946867
IST,2017-03-28T00,6.31,0.11393620633474207
IST,2017-03-28T00,6.311,0.09729589908577735
IST,2017-03-28T00,6.312,0.08661362693050415
IST,2017-03-28T00,6.313,0.08216080774151384
IST,2017-03-28T00,6.314,0.08407929148956754
IST,2017-03-28T00,6.315,0.09006207069474537
IST,2017-03-28T00,6.316,0.0982129823361434
IST,2017-03-28T00,6.317,0.10670412549506413
IST,2017-03-28T00,6.318,0.11427954558257994
IST,2017-03-28T00,6.319,0.11988432267522985
IST,2017-03-28T00,6.32,0.12179981474631009
IST,2017-03-28T00,6.321,0.1204959168407955
IST,2017-03-28T00,6.322,0.11999298834940275
IST,2017-03-28T00,6.323,0.11817252578713165
IST,2017-03-28T00,6.324,0.11491416599810027
IST,2017-03-28T00,6.325,0.11031838992047932
IST,2017-03-28T00,6.326,0.10483625127428557
IST,2017-03-28T00,6.327,0.0981284908598577
IST,2017-03-28T00,6.328,0.09072639933496705
IST,2017-03-28T00,6.329,0.08288606243041999
IST,2017-03-28T00,6.33,0.07469729185796338
IST,2017-03-28T00,6.331,0.06696935720685152
IST,2017-03-28T00,6.332,0.05971319743203628
IST,2017-03-28T00,6.333,0.05333605139572092
IST,2017-03-28T00,6.334,0.0482994911388725
IST,2017-03-28T00,6.335,0.04496100093877435
IST,2017-03-28T00,6.336,0.04338654804806659
IST,2017-03-28T00,6.337,0.04328958660476519
IST,2017-03-28T00,6.338,0.04408245209432952
IST,2017-03-28T00,6.339,0.04454298676664942
IST,2017-03-28T00,6.34,0.04495220798508346
IST,2017-03-28T00,6.341,0.04406396929945853
IST,2017-03-28T00,6.342,0.041407641609039536
IST,2017-03-28T00,6.343,0.03488453869475706
IST,2017-03-28T00,6.344,0.025585100145660542
IST,2017-03-28T00,6.345,0.02500611429588265
IST,2017-03-28T00,6.346,0.027209378349996535
IST,2017-03-28T00,6.347,0.030680019001122227
IST,2017-03-28T00,6.348,0.033898352275377
IST,2017-03-28T00,6.349,0.03562532714404928
IST,2017-03-28T00,6.35,0.03885489678871946
IST,2017-03-28T00,6.351,0.043454726758143845
IST,2017-03-28T00,6.352,0.049201879020820995
IST,2017-03-28T00,6.353,0.05755862949540544
IST,2017-03-28T00,6.354,0.0664577362812026
IST,2017-03-28T00,6.355,0.0753930772198187
IST,2017-03-28T00,6.356,0.08435850602483515
IST,2017-03-28T00,6.357,0.09327335895627292
IST,2017-03-28T00,6.358,0.1014791174727652
IST,2017-03-28T00,6.359,0.10662629650173165
IST,2017-03-28T00,6.36,0.10860339485005116
IST,2017-03-28T00,6.361,0.11742720300563578
IST,2017-03-28T00,6.362,0.1289894685355249
IST,2017-03-28T00,6.363,0.14271687279660786
IST,2017-03-28T00,6.364,0.15789622846044418
IST,2017-03-28T00,6.365,0.17424318821756174
IST,2017-03-28T00,6.366,0.19157839810520816
IST,2017-03-28T00,6.367,0.21016966535302703
IST,2017-03-28T00,6.368,0.23046999721654807
IST,2017-03-28T00,6.369,0.2547640833394268
IST,2017-03-28T00,6.37,0.28292894864967955
IST,2017-03-28T00,6.371,0.31226793690628596
IST,2017-03-28T00,6.372,0.3353893831554179
IST,2017-03-28T00,6.373,0.3565735898828689
IST,2017-03-28T00,6.374,0.37663300725886273
IST,2017-03-28T00,6.375,0.3963225892075882
IST,2017-03-28T00,6.376,0.4156591054045728
IST,2017-03-28T00,6.377,0.4349727654304297
IST,2017-03-28T00,6.378,0.45445291442227614
IST,2017-03-28T00,6.379,0.4740543075625158
IST,2017-03-28T00,6.38,0.4943089506423859
IST,2017-03-28T00,6.381,0.5159505755287654
IST,2017-03-28T00,6.382,0.5410983920784699
IST,2017-03-28T00,6.383,0.5748518931770086
IST,2017-03-28T00,6.384,0.6022130450155891
IST,2017-03-28T00,6.385,0.6195120786984682
IST,2017-03-28T00,6.386,0.6320083247765886
IST,2017-03-28T00,6.387,0.6410862974846057
IST,2017-03-28T00,6.388,0.6496562662261787
IST,2017-03-28T00,6.389,0.6576725532698751
IST,2017-03-28T00,6.39,0.6649344732651742
IST,2017-03-28T00,6.391,0.6715899106151483
IST,2017-03-28T00,6.392,0.6776062690444455
IST,2017-03-28T00,6.393,0.6835136942482928
IST,2017-03-28T00,6.394,0.6900514224356047
IST,2017-03-28T00,6.395,0.6980287906957878
IST,2017-03-28T00,6.396,0.7013112984025419
IST,2017-03-28T00,6.397,0.7024844204306894
IST,2017-03-28T00,6.398,0.7015504771088982
IST,2017-03-28T00,6.399,0.6987816912094954
IST,2017-03-28T00,6.4,0.6935671359596547
IST,2017-03-28T00,6.401,0.6865347059632884
IST,2017-03-28T00,6.402,0.6772090781675353
IST,2017-03-28T00,6.403,0.6665901810524175
IST,2017-03-28T00,6.404,0.6541305468510636
IST,2017-03-28T00,6.405,0.6394206653854179
IST,2017-03-28T00,6.406,0.62204872910985
IST,2017-03-28T00,6.407,0.6012718211533662
IST,2017-03-28T00,6.408,0.5755979864287261
IST,2017-03-28T00,6.409,0.5400006452750907
IST,2017-03-28T00,6.41,0.4920371115294096
IST,2017-03-28T00,6.411,0.45607863802065907
IST,2017-03-28T00,6.412,0.4296680344560492
IST,2017-03-28T00,6.413,0.4083113344594347
IST,2017-03-28T00,6.414,0.39097551539819597
IST,2017-03-28T00,6.415,0.376673076701602
IST,2017-03-28T00,6.416,0.36458799905494627
IST,2017-03-28T00,6.417,0.3557668761768075
IST,2017-03-28T00,6.418,0.3491370630458666
IST,2017-03-28T00,6.419,0.34418368353938456
IST,2017-03-28T00,6.42,0.3403465597804608
IST,2017-03-28T00,6.421,0.3372371690189565
IST,2017-03-28T00,6.422,0.3342732762665782
IST,2017-03-28T00,6.423,0.330879288263312
IST,2017-03-28T00,6.424,0.3266212701106988
IST,2017-03-28T00,6.425,0.32093017480526387
IST,2017-03-28T00,6.426,0.3124200932061095
IST,2017-03-28T00,6.427,0.300165634003555
IST,2017-03-28T00,6.428,0.29700046942306835
IST,2017-03-28T00,6.429,0.29641081792055474
IST,2017-03-28T00,6.43,0.2976459628427246
IST,2017-03-28T00,6.431,0.2998090992781738
IST,2017-03-28T00,6.432,0.3026955788608174
IST,2017-03-28T00,6.433,0.30644745320994443
IST,2017-03-28T00,6.434,0.3119220751522312
IST,2017-03-28T00,6.435,0.3217564643733303
IST,2017-03-28T00,6.436,0.3271634813818389
IST,2017-03-28T00,6.437,0.33036049700185427
IST,2017-03-28T00,6.438,0.3320766092829781
IST,2017-03-28T00,6.439,0.3326740536589971
IST,2017-03-28T00,6.44,0.33238796325969555
IST,2017-03-28T00,6.441,0.3313416490392711
IST,2017-03-28T00,6.442,0.3296058989493773
IST,2017-03-28T00,6.443,0.3272188092978247
IST,2017-03-28T00,6.444,0.32419093397903576
IST,2017-03-28T00,6.445,0.32049584833441636
IST,2017-03-28T00,6.446,0.31603858645729166
IST,2017-03-28T00,6.447,0.31058396271781
IST,2017-03-28T00,6.448,0.3036055345333745
IST,2017-03-28T00,6.449,0.2939624496955553
IST,2017-03-28T00,6.45,0.2845693330024446
IST,2017-03-28T00,6.451,0.27505881970728147
IST,2017-03-28T00,6.452,0.2657541317310178
