Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
KNG,20220101,0,1.0,0.07009387525577992,0.3574216378852331,0
KNG,20220101,0,1.1,0.23255488557574464,0.3574216378852331,0
KNG,20220101,0,1.2,0.1965193353509501,0.3574216378852331,0
KNG,20220101,0,1.3,0.28288359835048865,0.3574216378852331,0
KNG,20220101,0,1.4,0.28517938113831043,0.3574216378852331,0
KNG,20220101,0,1.5,0.27015910855866815,0.3574216378852331,0
KNG,20220101,0,1.6,0.44869800964947015,0.3574216378852331,1
KNG,20220101,0,1.7,0.3850144102645051,0.3574216378852331,1
KNG,20220101,0,1.8,0.2711622600845876,0.3574216378852331,0
KNG,20220101,0,1.9,0.2879690974766947,0.3574216378852331,0
KNG,20220101,0,2.0,0.5028518289538964,0.3574216378852331,1
KNG,20220101,0,2.1,0.3299396127472903,0.3574216378852331,0
KNG,20220101,0,2.2,0.25873567573111933,0.3574216378852331,0
KNG,20220101,0,2.3,0.04923408004360793,0.3574216378852331,0
KNG,20220101,0,2.4,0.059478365175074314,0.3574216378852331,0
KNG,20220101,0,2.5,0.04878267902834941,0.3574216378852331,0
KNG,20220101,0,2.6,0.10422423083712226,0.3574216378852331,0
KNG,20220101,0,2.7,0.06955228713453648,0.3574216378852331,0
KNG,20220101,0,2.8,0.103403906881094,0.3574216378852331,0
KNG,20220101,0,2.9,0.0964707752163583,0.3574216378852331,0
KNG,20220101,0,3.0,0.17145739080205796,0.3574216378852331,0
KNG,20220101,0,3.1,0.19500523799440111,0.3574216378852331,0
KNG,20220101,0,3.2,0.006462574107547553,0.3574216378852331,0
KNG,20220101,0,3.3,0.1320438043793231,0.3574216378852331,0
KNG,20220101,0,3.4,0.1776696340218273,0.3574216378852331,0
KNG,20220101,0,3.5,0.3243189465981495,0.3574216378852331,0
KNG,20220101,0,3.6,0.3191994339682695,0.3574216378852331,0
KNG,20220101,0,3.7,0.26268600515880497,0.3574216378852331,0
KNG,20220101,0,3.8,0.1537505535542581,0.3574216378852331,0
KNG,20220101,0,3.9,0.028280939541735866,0.3574216378852331,0
KNG,20220101,0,4.0,0.01396514990169552,0.3574216378852331,0
KNG,20220101,0,4.1,0.12659940777859274,0.3574216378852331,0
KNG,20220101,0,4.2,0.1435593083961604,0.3574216378852331,0
KNG,20220101,0,4.3,0.04507135286077928,0.3574216378852331,0
KNG,20220101,0,4.4,0.06769335276759024,0.3574216378852331,0
KNG,20220101,0,4.5,0.12404502401209141,0.3574216378852331,0
KNG,20220101,0,4.6,0.11696609659988054,0.3574216378852331,0
KNG,20220101,0,4.7,0.30998216138713963,0.3574216378852331,0
KNG,20220101,0,4.8,0.3357054074411279,0.3574216378852331,0
KNG,20220101,0,4.9,0.11644007634057572,0.3574216378852331,0
KNG,20220101,0,5.0,0.15693869184912257,0.3574216378852331,0
KNG,20220101,0,5.1,0.21227042177371241,0.3574216378852331,0
KNG,20220101,0,5.2,0.09305621289964706,0.3574216378852331,0
KNG,20220101,0,5.3,0.1657166691644251,0.3574216378852331,0
KNG,20220101,0,5.4,0.318790084226648,0.3574216378852331,0
KNG,20220101,0,5.5,0.31434931946609124,0.3574216378852331,0
KNG,20220101,0,5.6,0.28973777917703075,0.3574216378852331,0
KNG,20220101,0,5.7,0.23222907259210332,0.3574216378852331,0
KNG,20220101,0,5.8,0.13352268510154935,0.3574216378852331,0
KNG,20220101,0,5.9,0.10356262398823676,0.3574216378852331,0
KNG,20220101,0,6.0,0.2202326718698926,0.3574216378852331,0
KNG,20220101,0,6.1,0.24626874899960102,0.3574216378852331,0
KNG,20220101,0,6.2,0.3593875250241187,0.3574216378852331,1
KNG,20220101,0,6.3,0.3960769272493068,0.3574216378852331,1
KNG,20220101,0,6.4,0.2920437988941994,0.3574216378852331,0
KNG,20220101,0,6.5,0.1847149412403775,0.3574216378852331,0
KNG,20220101,0,6.6,0.2466174943888175,0.3574216378852331,0
KNG,20220101,0,6.7,0.2699424138013661,0.3574216378852331,0
KNG,20220101,0,6.8,0.5342492967543274,0.3574216378852331,1
KNG,20220101,0,6.9,0.4122470585500461,0.3574216378852331,1
KNG,20220101,0,7.0,0.18117802122817575,0.3574216378852331,0
KNG,20220101,0,7.1,0.04961372323278882,0.3574216378852331,0
