Station,Date,Hour_UTC,Frequency_Hz,PLV,Score
KNG,20220101,0,1.6,0.44869800964947015,4.486980096494701
KNG,20220101,0,1.7,0.3850144102645051,3.850144102645051
KNG,20220101,0,2.0,0.5028518289538964,5.0285182895389635
KNG,20220101,0,6.2,0.3593875250241187,3.593875250241187
KNG,20220101,0,6.3,0.3960769272493068,3.960769272493068
KNG,20220101,0,6.8,0.5342492967543274,5.342492967543274
KNG,20220101,0,6.9,0.4122470585500461,4.122470585500461
KNG,20220101,0,8.0,0.42734421251488103,4.273442125148811
KNG,20220101,1,1.9,0.32424226633646386,3.2424226633646387
KNG,20220101,1,2.0,0.43409511545107693,4.340951154510769
KNG,20220101,1,2.1,0.44453510082051995,4.4453510082052
KNG,20220101,1,2.2,0.366289979453844,3.66289979453844
KNG,20220101,1,2.3,0.3069377364806083,3.069377364806083
KNG,20220101,1,4.8,0.33476007994751433,3.3476007994751433
KNG,20220101,1,6.1,0.38883608392153324,3.8883608392153324
KNG,20220101,1,6.2,0.34159599437618043,3.4159599437618042
KNG,20220101,1,9.3,0.3258058033586615,3.258058033586615
KNG,20220101,2,4.1,0.34759789092559756,3.475978909255976
KNG,20220101,2,5.3,0.3740616663782668,3.740616663782668
KNG,20220101,2,5.4,0.3852118646039975,3.852118646039975
KNG,20220101,2,9.1,0.37537555317936133,3.7537555317936135
KNG,20220101,2,9.2,0.4700827084440114,4.700827084440114
KNG,20220101,3,2.1,0.39040304379080665,3.9040304379080664
KNG,20220101,3,2.2,0.4785852605158475,4.785852605158475
KNG,20220101,3,2.3,0.4060446078563244,4.060446078563244
KNG,20220101,3,2.4,0.351877978630055,3.51877978630055
KNG,20220101,3,2.5,0.35801985853776075,3.5801985853776075
KNG,20220101,3,4.6,0.35957961757103657,3.595796175710366
KNG,20220101,3,4.7,0.320352220653525,3.2035222065352498
KNG,20220101,3,6.5,0.32517816339817107,3.251781633981711
KNG,20220101,3,9.2,0.3559750496234958,3.559750496234958
KNG,20220101,3,9.3,0.36549478558651827,3.6549478558651827
KNG,20220101,3,9.9,0.360171482698999,3.60171482698999
KNG,20220101,3,10.0,0.3547108778457701,3.547108778457701
KNG,20220101,4,1.7,0.33813578926382937,3.3813578926382934
KNG,20220101,4,1.8,0.3175621212632623,3.1756212126326226
KNG,20220101,4,2.1,0.3403035484666544,3.403035484666544
KNG,20220101,4,5.0,0.35400677190496427,3.5400677190496426
KNG,20220101,4,7.9,0.3211019698874694,3.2110196988746944
KNG,20220101,4,8.1,0.383501988941015,3.83501988941015
KNG,20220101,5,1.3,0.3088096339124972,3.0880963391249723
KNG,20220101,5,2.0,0.40439755559026036,4.043975555902604
KNG,20220101,5,2.3,0.32504737751263374,3.2504737751263373
KNG,20220101,5,2.4,0.34489804997922535,3.4489804997922535
KNG,20220101,5,8.8,0.3176326712230265,3.1763267122302654
KNG,20220101,5,10.0,0.33990995945441016,3.3990995945441016
KNG,20220101,6,3.8,0.3543815354263826,3.543815354263826
KNG,20220101,6,3.9,0.4497156023938995,4.497156023938995
KNG,20220101,6,4.7,0.36019248760059347,3.601924876005935
KNG,20220101,6,5.1,0.32047534973469505,3.2047534973469505
KNG,20220101,6,7.1,0.3310002960681384,3.310002960681384
KNG,20220101,6,8.2,0.3401178429954128,3.401178429954128
KNG,20220101,6,8.3,0.39059164478614833,3.9059164478614834
KNG,20220101,6,8.4,0.435198591150049,4.35198591150049
KNG,20220101,6,8.5,0.33265133162532773,3.326513316253277
KNG,20220101,6,9.2,0.3158577623635077,3.158577623635077
KNG,20220101,6,9.4,0.3821307576483448,3.821307576483448
KNG,20220101,7,1.2,0.3039635326472296,3.039635326472296
KNG,20220101,7,9.1,0.33418468352861336,3.3418468352861335
KNG,20220101,7,9.2,0.35086978340255226,3.5086978340255226
KNG,20220101,7,9.9,0.3433157277083922,3.433157277083922
KNG,20220101,8,2.8,0.3683167242688555,3.6831672426885547
KNG,20220101,8,2.9,0.30702245552808366,3.0702245552808365
KNG,20220101,8,7.3,0.3258321532008325,3.258321532008325
KNG,20220101,8,7.5,0.41875788957778026,4.187578895777802
KNG,20220101,8,7.8,0.373115271041034,3.7311527104103397
KNG,20220101,8,7.9,0.37810756810342677,3.7810756810342676
KNG,20220101,8,8.0,0.45680571210959336,4.568057121095934
KNG,20220101,8,8.1,0.3361364181868227,3.361364181868227
KNG,20220101,8,8.9,0.4510007161063943,4.510007161063943
KNG,20220101,9,1.2,0.47403680016107497,4.74036800161075
KNG,20220101,9,1.3,0.3979653274166701,3.9796532741667012
KNG,20220101,9,1.4,0.36146567428939474,3.6146567428939473
KNG,20220101,9,1.6,0.3818630597379988,3.818630597379988
KNG,20220101,9,5.2,0.3738528647375196,3.738528647375196
KNG,20220101,9,7.5,0.5365181049079567,5.365181049079567
KNG,20220101,9,7.6,0.41050087695320925,4.105008769532093
KNG,20220101,9,9.1,0.37680860015893375,3.7680860015893374
KNG,20220101,10,2.9,0.3763139668354635,3.7631396683546345
KNG,20220101,10,3.1,0.3928710044593672,3.9287100445936716
KNG,20220101,10,3.9,0.383207483171898,3.8320748317189803
KNG,20220101,10,5.1,0.3320843552685424,3.320843552685424
KNG,20220101,10,6.0,0.3178081333082697,3.1780813330826967
KNG,20220101,10,7.0,0.35259512590399983,3.5259512590399984
KNG,20220101,10,8.9,0.4088688940347043,4.088688940347042
KNG,20220101,11,1.8,0.32740898765777476,3.2740898765777477
KNG,20220101,11,1.9,0.3302092970471422,3.302092970471422
KNG,20220101,11,2.0,0.30251300872978004,3.0251300872978004
KNG,20220101,11,2.1,0.31145377250958856,3.1145377250958854
KNG,20220101,11,5.6,0.3125985898800591,3.1259858988005913
KNG,20220101,11,8.1,0.3432260533446944,3.4322605334469443
KNG,20220101,11,8.2,0.31916944312129436,3.1916944312129436
KNG,20220101,11,9.1,0.35915218983301,3.5915218983301003
KNG,20220101,11,9.2,0.34253770447523985,3.4253770447523983
KNG,20220101,11,9.3,0.3037269805095127,3.037269805095127
KNG,20220101,12,1.0,0.3990600273917678,3.9906002739176785
KNG,20220101,12,3.6,0.459421263606043,4.59421263606043
KNG,20220101,12,3.7,0.525962440191828,5.2596244019182805
KNG,20220101,12,3.8,0.4183883244712187,4.183883244712187
KNG,20220101,12,4.0,0.383172373441241,3.83172373441241
KNG,20220101,12,4.1,0.4353772743113959,4.353772743113959
KNG,20220101,12,6.2,0.3961755941258975,3.961755941258975
KNG,20220101,12,6.8,0.43710753425535837,4.371075342553584
KNG,20220101,13,3.7,0.3306174869815498,3.3061748698154982
KNG,20220101,13,4.8,0.3659028607912372,3.6590286079123717
KNG,20220101,13,6.6,0.39709952692725664,3.9709952692725663
KNG,20220101,13,6.7,0.35221433289657916,3.5221433289657917
KNG,20220101,13,7.9,0.34447345915760397,3.4447345915760397
KNG,20220101,13,8.0,0.36592721834185216,3.659272183418522
KNG,20220101,13,8.1,0.3093104334948452,3.0931043349484524
KNG,20220101,13,9.3,0.31730723448972575,3.1730723448972578
KNG,20220101,14,2.0,0.3909915292523711,3.909915292523711
KNG,20220101,14,5.0,0.4352526428061592,4.3525264280615925
KNG,20220101,14,5.1,0.4168946021069947,4.168946021069947
KNG,20220101,14,5.2,0.4509737198626884,4.509737198626884
KNG,20220101,14,5.3,0.34845014239754213,3.4845014239754213
KNG,20220101,14,5.7,0.3711519522809062,3.711519522809062
KNG,20220101,14,6.0,0.34829813237739116,3.4829813237739113
KNG,20220101,14,7.8,0.3737435685882275,3.737435685882275
KNG,20220101,14,7.9,0.3976708775822224,3.976708775822224
KNG,20220101,15,1.7,0.3443238719098745,3.443238719098745
KNG,20220101,15,1.9,0.3603917543386459,3.603917543386459
KNG,20220101,15,2.0,0.5166175718930738,5.166175718930738
KNG,20220101,15,6.7,0.3155071848258727,3.1550718482587268
KNG,20220101,15,7.8,0.4023124017299281,4.023124017299281
KNG,20220101,15,9.7,0.4073136892387717,4.073136892387717
KNG,20220101,15,9.8,0.3706403049012947,3.706403049012947
KNG,20220101,16,1.1,0.4335810567624263,4.335810567624263
KNG,20220101,16,1.6,0.4009754393945131,4.009754393945131
KNG,20220101,16,4.3,0.410447040323685,4.10447040323685
KNG,20220101,17,1.3,0.315086192519747,3.15086192519747
KNG,20220101,17,1.4,0.332931472711365,3.32931472711365
KNG,20220101,17,1.5,0.31038811174534603,3.10388111745346
KNG,20220101,17,1.6,0.34386636072036364,3.4386636072036363
KNG,20220101,17,2.1,0.44391092720671227,4.439109272067123
KNG,20220101,17,2.2,0.35115783741403894,3.5115783741403894
KNG,20220101,17,3.5,0.3783241789931292,3.7832417899312922
KNG,20220101,17,3.6,0.3858504960337397,3.858504960337397
KNG,20220101,17,4.0,0.3691510435994318,3.691510435994318
KNG,20220101,17,4.1,0.37541897314280365,3.7541897314280366
KNG,20220101,17,5.1,0.3831702373411483,3.831702373411483
KNG,20220101,17,5.2,0.3966899817613431,3.9668998176134314
KNG,20220101,17,7.9,0.3318531612784693,3.3185316127846933
KNG,20220101,17,8.0,0.40123186794270943,4.012318679427095
KNG,20220101,17,8.1,0.3890046510122305,3.8900465101223047
KNG,20220101,17,8.2,0.3408875671938767,3.408875671938767
KNG,20220101,17,8.9,0.32671641365584986,3.2671641365584985
KNG,20220101,18,1.0,0.33199136457180706,3.3199136457180707
KNG,20220101,18,1.1,0.3265997788031785,3.2659977880317848
KNG,20220101,18,1.3,0.3996400252291186,3.996400252291186
KNG,20220101,18,1.8,0.3097017468067724,3.0970174680677243
KNG,20220101,18,1.9,0.3682379292074857,3.6823792920748573
KNG,20220101,18,2.0,0.42562458975949974,4.256245897594997
KNG,20220101,18,2.5,0.35651725634254733,3.5651725634254734
KNG,20220101,18,7.2,0.4412211030212411,4.412211030212411
KNG,20220101,18,7.3,0.4170789553023212,4.170789553023212
KNG,20220101,18,7.9,0.40413948313246856,4.041394831324686
KNG,20220101,18,8.5,0.3043872148697792,3.043872148697792
KNG,20220101,18,9.0,0.3350180095015157,3.3501800950151575
KNG,20220101,18,9.1,0.3829805995689091,3.829805995689091
KNG,20220101,18,9.6,0.3302702456324003,3.302702456324003
KNG,20220101,19,1.0,0.3360745030680745,3.360745030680745
KNG,20220101,19,1.7,0.35744123505769765,3.5744123505769765
KNG,20220101,19,6.3,0.330795989765627,3.30795989765627
KNG,20220101,19,6.4,0.3788077216383881,3.788077216383881
KNG,20220101,19,6.5,0.4506072704729684,4.506072704729684
KNG,20220101,19,6.6,0.32126802079425976,3.2126802079425976
KNG,20220101,20,2.2,0.38083722170801343,3.808372217080134
KNG,20220101,20,5.8,0.36628703637516447,3.6628703637516447
KNG,20220101,20,5.9,0.3938703854870472,3.9387038548704725
KNG,20220101,20,6.0,0.30339176100960696,3.0339176100960694
KNG,20220101,20,6.9,0.34956578130500504,3.4956578130500504
KNG,20220101,20,7.0,0.39537397928208606,3.9537397928208606
KNG,20220101,20,7.9,0.33817058651875187,3.3817058651875187
KNG,20220101,20,8.0,0.3503368837100462,3.503368837100462
KNG,20220101,20,8.1,0.3340527094073481,3.3405270940734813
KNG,20220101,20,8.4,0.33061446480781354,3.3061446480781354
KNG,20220101,20,8.5,0.33995315324024805,3.3995315324024804
KNG,20220101,20,8.9,0.3239959030559104,3.2399590305591044
KNG,20220101,20,9.0,0.34218059947043694,3.4218059947043695
KNG,20220101,20,9.1,0.37774230454833996,3.7774230454833995
KNG,20220101,20,9.2,0.32828673028059324,3.2828673028059323
KNG,20220101,21,2.1,0.30833052017199075,3.0833052017199076
KNG,20220101,21,4.6,0.3294199944879433,3.294199944879433
KNG,20220101,21,6.0,0.3264137081032476,3.264137081032476
KNG,20220101,21,6.5,0.3576889959826375,3.576889959826375
KNG,20220101,21,6.6,0.35264875788225664,3.5264875788225662
KNG,20220101,22,1.0,0.45120676369596563,4.512067636959657
KNG,20220101,22,3.7,0.37047629100618423,3.7047629100618424
KNG,20220101,22,4.1,0.3979584391229535,3.979584391229535
KNG,20220101,22,6.6,0.4789910598047662,4.789910598047662
KNG,20220101,22,6.7,0.4280301966864723,4.280301966864723
KNG,20220101,22,9.0,0.5360791957812907,5.360791957812907
KNG,20220101,22,9.1,0.5359870277617681,5.359870277617681
KNG,20220101,22,9.2,0.45168688792607004,4.5168688792607
KNG,20220101,22,9.3,0.3774002968204587,3.774002968204587
KNG,20220101,22,9.4,0.3696170207655524,3.6961702076555243
KNG,20220101,23,1.2,0.35611245855553536,3.5611245855553535
KNG,20220101,23,1.5,0.3477920028239167,3.477920028239167
KNG,20220101,23,1.7,0.31226467521791157,3.122646752179116
KNG,20220101,23,1.8,0.30265232988517177,3.0265232988517177
KNG,20220101,23,4.0,0.30322785514346423,3.032278551434642
KNG,20220101,23,4.1,0.37202212056975403,3.7202212056975403
KNG,20220101,23,6.9,0.30859157295448525,3.0859157295448525
KNG,20220101,23,7.0,0.4235000585476763,4.235000585476763
KNG,20220101,23,7.4,0.31436740133440866,3.1436740133440866
KNG,20220101,23,7.5,0.3727246299076548,3.727246299076548
