Station,Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
KNG,20220101,0,6.887,0.8781246265454149,7.382055874692052
KNG,20220101,1,6.531,0.8619998121156403,7.277397466322279
KNG,20220101,2,7.248,0.8814062970880653,7.59087176212747
KNG,20220101,3,7.973,0.6613486493707947,7.743970516888612
KNG,20220101,4,8.368,0.7907453128388037,7.564663785977606
KNG,20220101,5,6.61,0.7126992776404593,7.333034670774997
KNG,20220101,6,7.003,0.8404200254227895,7.439374453153029
KNG,20220101,7,7.072,0.7787372878959088,7.513446533534646
KNG,20220101,8,7.384,0.833985735273886,7.482102525560398
KNG,20220101,9,6.625,0.7692932787699938,7.384109398901884
KNG,20220101,10,6.967,0.7000690044183575,7.456867092779904
KNG,20220101,11,7.312,0.8017917362672166,7.479376764761653
KNG,20220101,12,7.638,0.8999417775584589,7.539795918979409
KNG,20220101,13,7.918,0.8070947976849092,7.561695434041209
KNG,20220101,14,7.98,0.8502260906183374,7.645232792288375
KNG,20220101,15,6.589,0.8388952123323126,7.373787206334842
KNG,20220101,16,7.819,0.786951373061484,7.478678955706095
KNG,20220101,17,6.665,0.6774699312484452,7.514510991402523
KNG,20220101,18,7.189,0.7530370338482593,7.615997667032644
KNG,20220101,19,7.546,0.8563840029971221,7.317718527169032
KNG,20220101,20,7.989,0.8308942381500202,7.594951483361747
KNG,20220101,21,6.593,0.8541250220083331,7.418885909774504
KNG,20220101,22,6.535,0.801972138852789,7.473170798276509
KNG,20220101,23,6.687,0.8643140441703063,7.2678448915388145
