date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20100701,00:00,-20.5,19.76,23.13,0.0,0.0,0.0
20100701,01:00,-15.66,33.35,23.12,0.0,0.0,0.0
20100701,02:00,-8.78,45.59,23.12,0.0,0.0,0.0
20100701,03:00,-0.38,56.56,23.12,0.0,0.0,0.0
20100701,04:00,9.12,66.59,23.12,3.2,18.6,21.8
20100701,05:00,19.35,76.14,23.11,20.3,46.0,66.3
20100701,06:00,30.02,85.79,23.11,50.3,75.8,126.0
20100701,07:00,40.81,96.37,23.11,144.2,201.9,346.1
20100701,08:00,51.34,109.29,23.11,169.0,215.6,384.7
20100701,09:00,60.87,127.37,23.1,230.0,218.9,449.0
20100701,10:00,67.69,155.44,23.1,482.1,276.4,758.4
20100701,11:00,68.8,193.12,23.1,457.9,287.2,745.1
20100701,12:00,63.44,225.05,23.09,399.8,286.5,686.3
20100701,13:00,54.51,245.71,23.09,442.2,278.3,720.5
20100701,14:00,44.19,259.87,23.09,398.0,265.9,663.9
20100701,15:00,33.42,270.98,23.09,320.9,263.9,584.8
20100701,16:00,22.68,280.81,23.08,40.2,168.8,209.0
20100701,17:00,12.28,290.32,23.08,25.2,145.8,171.0
20100701,18:00,2.5,300.15,23.08,17.0,111.9,128.9
20100701,19:00,-6.3,310.78,23.07,0.0,1.6,1.6
20100701,20:00,-13.72,322.6,23.07,0.0,0.8,0.8
20100701,21:00,-19.27,335.77,23.07,0.0,0.6,0.6
20100701,22:00,-22.45,350.14,23.06,0.0,0.0,0.0
20100701,23:00,-22.9,5.09,23.06,0.0,0.0,0.0
20100702,00:00,-20.57,19.73,23.06,0.0,0.0,0.0
20100702,01:00,-15.74,33.34,23.06,0.0,0.0,0.0
20100702,02:00,-8.87,45.59,23.05,0.0,0.0,0.0
20100702,03:00,-0.46,56.57,23.05,0.0,0.0,0.0
20100702,04:00,9.04,66.61,23.05,0.2,20.0,20.3
20100702,05:00,19.27,76.17,23.04,0.3,52.6,52.9
20100702,06:00,29.94,85.82,23.04,12.7,91.5,104.1
20100702,07:00,40.73,96.4,23.04,79.0,236.2,315.2
20100702,08:00,51.26,109.33,23.03,85.8,257.3,343.0
20100702,09:00,60.78,127.39,23.03,91.7,278.1,369.8
20100702,10:00,67.61,155.39,23.03,142.5,376.5,519.0
20100702,11:00,68.74,192.97,23.03,147.2,397.3,544.5
20100702,12:00,63.41,224.88,23.02,169.0,396.1,565.1
20100702,13:00,54.49,245.57,23.02,165.8,413.6,579.3
20100702,14:00,44.18,259.75,23.02,179.8,375.9,555.8
20100702,15:00,33.41,270.88,23.01,194.2,326.7,520.9
20100702,16:00,22.67,280.72,23.01,103.1,181.6,284.7
20100702,17:00,12.26,290.24,23.01,73.1,150.7,223.8
20100702,18:00,2.48,300.07,23.0,50.2,117.4,167.6
20100702,19:00,-6.33,310.7,23.0,0.1,2.0,2.1
20100702,20:00,-13.77,322.52,23.0,0.0,1.0,1.0
20100702,21:00,-19.32,335.7,22.99,0.0,0.7,0.7
20100702,22:00,-22.51,350.09,22.99,0.0,0.0,0.0
20100702,23:00,-22.98,5.05,22.99,0.0,0.0,0.0
20100703,00:00,-20.66,19.71,22.98,0.0,0.0,0.0
20100703,01:00,-15.83,33.33,22.98,0.0,0.0,0.0
20100703,02:00,-8.95,45.6,22.98,0.0,0.0,0.0
20100703,03:00,-0.54,56.59,22.97,0.0,0.0,0.0
20100703,04:00,8.96,66.64,22.97,9.4,26.9,36.3
20100703,05:00,19.19,76.2,22.97,52.4,48.4,100.8
20100703,06:00,29.86,85.86,22.96,115.9,62.8,178.7
20100703,07:00,40.65,96.44,22.96,366.4,131.1,497.5
20100703,08:00,51.17,109.37,22.96,373.1,176.5,549.6
20100703,09:00,60.7,127.42,22.95,425.7,190.0,615.7
20100703,10:00,67.52,155.35,22.95,558.3,236.1,794.4
20100703,11:00,68.67,192.81,22.95,594.8,230.3,825.0
20100703,12:00,63.36,224.7,22.94,623.5,219.7,843.2
20100703,13:00,54.47,245.42,22.94,634.4,187.4,821.9
20100703,14:00,44.16,259.63,22.94,582.5,180.2,762.7
20100703,15:00,33.4,270.78,22.93,527.8,167.1,694.9
20100703,16:00,22.65,280.63,22.93,268.9,118.5,387.4
20100703,17:00,12.24,290.15,22.93,205.5,98.4,303.9
20100703,18:00,2.45,299.98,22.92,147.9,78.3,226.2
20100703,19:00,-6.37,310.62,22.92,0.4,1.7,2.1
20100703,20:00,-13.82,322.44,22.92,0.2,0.9,1.1
20100703,21:00,-19.39,335.63,22.91,0.1,0.6,0.7
20100703,22:00,-22.59,350.03,22.91,0.0,0.0,0.0
20100703,23:00,-23.06,5.01,22.91,0.0,0.0,0.0
20100704,00:00,-20.75,19.69,22.9,0.0,0.0,0.0
20100704,01:00,-15.92,33.33,22.9,0.0,0.0,0.0
20100704,02:00,-9.05,45.61,22.89,0.0,0.0,0.0
20100704,03:00,-0.63,56.61,22.89,0.0,0.0,0.0
20100704,04:00,8.87,66.67,22.89,5.1,21.0,26.1
20100704,05:00,19.11,76.24,22.88,29.9,56.6,86.5
20100704,06:00,29.77,85.91,22.88,51.5,92.0,143.5
20100704,07:00,40.56,96.5,22.88,265.3,175.1,440.5
20100704,08:00,51.09,109.43,22.87,259.9,206.3,466.2
20100704,09:00,60.6,127.46,22.87,229.3,248.2,477.4
20100704,10:00,67.43,155.32,22.87,283.0,308.6,591.6
20100704,11:00,68.59,192.66,22.86,322.0,306.2,628.2
