date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20100701,06:00,30.02,85.79,23.11,50.3,75.8,126.0
20100701,15:00,33.42,270.98,23.09,320.9,263.9,584.8
20100702,06:00,29.94,85.82,23.04,12.7,91.5,104.1
20100702,15:00,33.41,270.88,23.01,194.2,326.7,520.9
20100703,06:00,29.86,85.86,22.96,115.9,62.8,178.7
20100703,15:00,33.4,270.78,22.93,527.8,167.1,694.9
20100704,06:00,29.77,85.91,22.88,51.5,92.0,143.5
20100704,15:00,33.38,270.67,22.85,322.5,225.2,547.8
20100705,06:00,29.68,85.96,22.79,121.5,61.2,182.6
20100705,15:00,33.35,270.55,22.75,511.3,170.8,682.1
20100706,06:00,29.59,86.02,22.69,115.5,61.6,177.1
20100706,15:00,33.32,270.43,22.66,424.5,217.6,642.0
20100707,06:00,29.5,86.08,22.59,78.4,79.9,158.3
20100707,15:00,33.28,270.3,22.55,402.9,234.1,637.0
20100708,06:00,29.4,86.15,22.48,1.8,32.9,34.6
20100708,15:00,33.24,270.17,22.44,22.4,151.3,173.7
20100709,06:00,29.3,86.23,22.36,114.9,61.0,175.8
20100709,15:00,33.19,270.03,22.32,519.2,160.5,679.8
20100710,06:00,29.2,86.32,22.24,112.6,59.3,171.9
20100710,15:00,33.14,269.89,22.19,371.0,217.6,588.6
20100711,06:00,29.09,86.41,22.11,104.7,63.4,168.2
20100711,15:00,33.08,269.74,22.06,287.0,251.1,538.1
20100712,06:00,28.98,86.51,21.98,83.9,67.5,151.3
20100712,15:00,33.02,269.59,21.92,227.6,272.5,500.0
20100713,06:00,28.87,86.61,21.84,106.8,58.5,165.3
20100713,15:00,32.95,269.44,21.78,423.5,183.1,606.6
20100714,06:00,28.75,86.72,21.69,109.1,56.2,165.4
20100714,15:00,32.87,269.28,21.63,358.5,223.8,582.3
20100715,06:00,28.64,86.84,21.53,86.0,66.6,152.6
20100715,15:00,32.79,269.12,21.47,490.5,160.2,650.7
20100716,06:00,28.52,86.97,21.37,101.2,57.6,158.7
20100716,15:00,32.71,268.95,21.31,357.3,208.8,566.1
20100717,06:00,28.4,87.1,21.21,99.0,57.7,156.7
20100717,15:00,32.62,268.78,21.14,418.0,189.9,607.9
20100718,06:00,28.27,87.23,21.03,97.5,57.8,155.2
20100718,15:00,32.52,268.61,20.97,526.9,140.9,667.7
20100719,06:00,28.15,87.38,20.86,1.1,25.0,26.1
20100719,15:00,32.42,268.43,20.79,117.4,197.8,315.2
20100720,06:00,28.02,87.53,20.67,45.6,66.4,112.0
20100720,15:00,32.31,268.25,20.6,435.2,188.5,623.7
20100721,06:00,27.89,87.68,20.48,94.0,55.8,149.8
20100721,15:00,32.2,268.07,20.41,428.2,194.0,622.2
20100722,06:00,27.75,87.85,20.29,92.7,55.3,148.1
20100722,15:00,32.08,267.88,20.21,445.2,171.6,616.8
20100723,06:00,27.62,88.01,20.09,98.0,52.7,150.6
20100723,15:00,31.95,267.69,20.01,470.6,181.7,652.3
20100724,06:00,27.48,88.19,19.88,69.3,57.0,126.3
20100724,15:00,31.82,267.5,19.8,150.7,239.4,390.1
20100725,06:00,27.34,88.37,19.67,2.7,26.8,29.5
20100725,15:00,31.69,267.3,19.58,238.1,241.7,479.8
20100726,06:00,27.2,88.56,19.45,4.2,41.1,45.2
20100726,07:00,37.96,99.48,19.44,62.9,161.1,224.1
20100726,15:00,31.54,267.11,19.37,128.1,229.9,358.0
20100727,06:00,27.06,88.75,19.23,8.5,82.7,91.2
20100727,07:00,37.82,99.69,19.22,67.3,217.1,284.5
20100727,15:00,31.4,266.91,19.14,232.7,255.7,488.4
20100728,06:00,26.91,88.95,19.0,52.2,65.9,118.1
20100728,07:00,37.67,99.91,18.99,164.6,186.7,351.3
20100728,15:00,31.24,266.7,18.91,304.2,229.6,533.9
20100729,06:00,26.76,89.15,18.76,84.6,54.6,139.1
20100729,07:00,37.52,100.14,18.75,351.5,113.2,464.8
20100729,15:00,31.09,266.5,18.67,470.1,161.8,631.9
20100730,06:00,26.61,89.36,18.52,84.2,53.2,137.4
20100730,07:00,37.37,100.37,18.51,348.9,113.3,462.2
20100730,15:00,30.92,266.29,18.43,460.5,180.9,641.4
20100731,06:00,26.46,89.57,18.28,71.0,59.5,130.5
20100731,07:00,37.21,100.61,18.27,292.1,147.7,439.8
20100731,15:00,30.75,266.09,18.19,291.1,201.7,492.9
20100801,06:00,26.31,89.79,18.03,10.3,37.8,48.2
20100801,07:00,37.06,100.85,18.02,68.3,109.7,178.0
20100801,15:00,30.58,265.88,17.94,157.7,199.5,357.3
20100802,06:00,26.16,90.02,17.78,37.7,57.3,95.0
20100802,07:00,36.9,101.1,17.77,149.4,184.4,333.8
20100802,15:00,30.4,265.66,17.68,370.3,204.5,574.8
20100803,06:00,26.0,90.25,17.52,75.3,52.7,128.0
20100803,07:00,36.74,101.36,17.51,334.1,113.4,447.5
20100803,15:00,30.21,265.45,17.42,523.4,138.5,661.9
20100804,06:00,25.84,90.49,17.26,4.8,31.8,36.6
20100804,07:00,36.58,101.62,17.24,56.0,158.3,214.3
20100804,15:00,30.02,265.24,17.16,80.9,193.6,274.5
20100805,06:00,25.69,90.73,16.99,52.4,60.7,113.1
20100805,07:00,36.41,101.88,16.98,227.6,161.1,388.7
20100805,15:00,29.83,265.02,16.89,413.0,178.9,591.8
20100806,06:00,25.53,90.97,16.72,63.8,52.8,116.6
20100806,07:00,36.25,102.15,16.7,270.1,138.3,408.4
20100806,15:00,29.63,264.8,16.61,265.2,222.8,488.1
20100807,06:00,25.36,91.22,16.44,15.2,45.0,60.2
20100807,07:00,36.08,102.43,16.43,106.2,179.7,285.9
20100807,15:00,29.42,264.59,16.33,448.6,160.7,609.3
20100808,06:00,25.2,91.48,16.16,13.0,48.0,61.0
20100808,07:00,35.91,102.71,16.14,54.9,163.8,218.6
20100808,15:00,29.21,264.37,16.05,401.0,184.8,585.8
20100809,06:00,25.04,91.74,15.87,69.2,49.3,118.5
20100809,07:00,35.74,102.99,15.86,277.0,141.3,418.3
20100809,15:00,28.99,264.15,15.76,298.2,228.9,527.1
20100810,07:00,35.56,103.28,15.57,320.9,113.9,434.8
20100810,15:00,28.77,263.93,15.47,421.7,182.3,604.1
20100811,07:00,35.39,103.58,15.27,270.8,139.1,409.9
20100811,15:00,28.55,263.71,15.18,455.8,149.0,604.8
20100812,07:00,35.21,103.88,14.98,245.4,137.4,382.8
20100812,15:00,28.31,263.48,14.88,363.9,180.1,544.0
20100813,07:00,35.03,104.18,14.67,145.6,144.1,289.7
20100813,15:00,28.08,263.26,14.57,435.0,152.9,588.0
20100814,07:00,34.85,104.48,14.37,296.0,112.6,408.6
20100814,15:00,27.84,263.04,14.26,484.2,131.4,615.5
20100815,07:00,34.67,104.8,14.06,233.4,141.8,375.3
