date,UTC,sun_elevation_deg,sun_azimuth_deg,sun_declination_deg,direct,diffuse,total
20100601,00:00,-21.19,21.52,22.01,0.0,0.0,0.0
20100601,01:00,-16.05,35.15,22.02,0.0,0.0,0.0
20100601,02:00,-8.91,47.38,22.02,0.0,0.0,0.0
20100601,03:00,-0.29,58.32,22.03,0.0,0.0,0.0
20100601,04:00,9.37,68.36,22.03,7.9,27.0,34.9
20100601,05:00,19.71,77.97,22.04,50.9,55.2,106.1
20100601,06:00,30.43,87.76,22.04,121.7,70.9,192.5
20100601,07:00,41.21,98.62,22.05,328.6,172.9,501.5
20100601,08:00,51.63,112.05,22.06,297.9,206.5,504.5
20100601,09:00,60.88,130.94,22.06,245.6,225.7,471.3
20100601,10:00,67.12,159.7,22.07,56.3,275.1,331.4
20100601,11:00,67.52,196.24,22.07,66.7,270.9,337.6
20100601,12:00,61.82,226.32,22.08,60.7,284.0,344.7
20100601,13:00,52.81,246.14,22.08,256.7,310.9,567.6
20100601,14:00,42.48,260.03,22.09,323.8,279.9,603.7
20100601,15:00,31.72,271.1,22.09,268.3,252.7,521.1
20100601,16:00,20.98,280.97,22.1,74.0,125.1,199.1
20100601,17:00,10.6,290.56,22.11,63.0,100.0,163.0
20100601,18:00,0.85,300.53,22.11,44.2,75.5,119.8
20100601,19:00,-7.89,311.35,22.12,0.0,0.1,0.1
20100601,20:00,-15.21,323.4,22.12,0.0,0.0,0.0
20100601,21:00,-20.6,336.87,22.13,0.0,0.0,0.0
20100601,22:00,-23.54,351.52,22.13,0.0,0.0,0.0
20100601,23:00,-23.71,6.68,22.14,0.0,0.0,0.0
20100602,00:00,-21.07,21.44,22.14,0.0,0.0,0.0
20100602,01:00,-15.94,35.06,22.15,0.0,0.0,0.0
20100602,02:00,-8.82,47.27,22.16,0.0,0.0,0.0
20100602,03:00,-0.21,58.21,22.16,0.0,0.0,0.0
20100602,04:00,9.44,68.24,22.17,5.1,28.0,33.1
20100602,05:00,19.77,77.84,22.17,14.9,50.4,65.2
20100602,06:00,30.48,87.61,22.18,24.1,67.3,91.5
20100602,07:00,41.27,98.45,22.18,53.2,149.4,202.7
20100602,08:00,51.7,111.85,22.19,72.9,168.7,241.6
20100602,09:00,60.96,130.72,22.19,85.2,193.2,278.5
20100602,10:00,67.24,159.51,22.2,352.1,329.7,681.9
20100602,11:00,67.65,196.22,22.2,286.5,307.2,593.7
20100602,12:00,61.95,226.41,22.21,221.6,279.4,500.9
20100602,13:00,52.93,246.26,22.21,40.7,141.0,181.7
20100602,14:00,42.59,260.14,22.22,58.9,144.4,203.3
20100602,15:00,31.83,271.19,22.23,74.1,147.8,221.9
20100602,16:00,21.1,281.05,22.23,86.1,129.0,215.1
20100602,17:00,10.71,290.63,22.24,68.8,108.0,176.8
20100602,18:00,0.97,300.59,22.24,47.9,81.9,129.8
20100602,19:00,-7.77,311.39,22.25,0.0,0.1,0.1
20100602,20:00,-15.08,323.43,22.25,0.0,0.1,0.1
20100602,21:00,-20.46,336.87,22.26,0.0,0.0,0.0
20100602,22:00,-23.41,351.5,22.26,0.0,0.0,0.0
20100602,23:00,-23.58,6.63,22.27,0.0,0.0,0.0
20100603,00:00,-20.96,21.36,22.27,0.0,0.0,0.0
20100603,01:00,-15.84,34.96,22.28,0.0,0.0,0.0
20100603,02:00,-8.73,47.16,22.28,0.0,0.0,0.0
20100603,03:00,-0.14,58.1,22.29,0.0,0.0,0.0
20100603,04:00,9.5,68.12,22.29,5.4,33.1,38.4
20100603,05:00,19.82,77.71,22.3,17.6,71.2,88.7
20100603,06:00,30.54,87.47,22.3,34.7,111.1,145.8
20100603,07:00,41.32,98.29,22.31,230.6,209.6,440.1
20100603,08:00,51.76,111.66,22.31,246.6,230.0,476.6
20100603,09:00,61.04,130.51,22.32,254.7,230.9,485.6
20100603,10:00,67.35,159.33,22.32,174.9,221.8,396.7
